Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 4564786 3203069 3541098 5283570 4564786 
"64/8" 3958892 4274062 7100397 6271021 3738358 
"64/16" 5389653 3363612 5283570 3363612 4274062 
"64/32" 4274062 4274062 4897948 4564786 4564786 
"64/64" 4564786 4988978 7100397 6421025 4018152 
"128/4" 3277486 5122535 4267461 3759450 3053774 
"128/8" 6045455 4717434 4012317 5784891 6330599 
"128/16" 7176872 8036304 7082197 4934216 4135958 
"128/32" 7582312 7082197 7476717 8548124 7917784 
"128/64" 7917784 6727225 5784891 6045455 7582312 
"128/128" 7476717 7082197 5784891 7082197 9129573 
"256/4" 3823789 3605511 3879045 4117018 3823789 
"256/8" 5810112 4572895 6107548 5117791 4840911 
"256/16" 4929815 7791708 7518900 8271916 4929815 
"256/32" 7518900 8815202 8024634 7314033 6719046 
"256/64" 5455847 6107548 8024634 7518900 6073004 
"256/128" 8815202 6595234 7518900 8271916 8534922 
"256/256" 9114515 9518507 7120034 5569035 8534922 
"512/4" 5886650 5566231 3710197 4000485 5807059 
"512/8" 7410080 6931711 4742616 4650188 8018812 
"512/16" 8992598 9638369 5684095 8665997 7647578 
"512/32" 5509113 8808176 5624545 8265729 8109658 
"512/64" 6246213 8844453 5684095 8665997 8528336 
"512/128" 8109658 6395018 6035551 9510316 9638369 
"512/256" 5684095 8265729 6246213 7758090 10694336 
"512/512" 8992598 10856530 8992598 10911694 10235583 
"1024/4" 3567824 5593820 6402699 4095102 6016997 
"1024/8" 6609617 8262639 4826859 4282950 4629166 
"1024/16" 4674510 8542002 7306780 5885083 9485232 
"1024/32" 8610501 9569770 8680108 6244448 5660167 
"1024/64" 8199542 8750850 9485232 5991815 8750850 
"1024/128" 9064828 6692005 10769573 8750850 10039528 
"1024/256" 8970167 9855234 6650556 6609617 9765601 
"1024/512" 7699755 10255274 10454984 5096034 10039528 
"1024/1024" 8525047 10230845 9300377 6692005 9765601 
"2048/4" 5738844 5593112 5567735 5674397 6670210 
"2048/8" 4096676 7940367 4829046 7042051 8029434 
"2048/16" 6895083 8574451 8531869 7933034 7343043 
"2048/32" 5345969 9258333 6185123 8390200 7817519 
"2048/64" 9062970 6563185 9610516 9483197 9441504 
"2048/128" 9567698 6189580 9578367 11015480 9024882 
"2048/256" 10834854 7237860 6243566 10389302 9441504 
"2048/512" 10192069 9525260 10726615 9944290 10834854 
"2048/1024" 9932791 9268323 10673302 6738230 11015480 
"2048/2048" 9268323 9228493 6003564 9062970 9441504 
"4096/4" 6131713 4751325 4011358 4141917 6628532 
"4096/8" 5087609 7351860 5551194 8017464 7612471 
"4096/16" 6243125 8699523 6024207 8770583 8660056 
"4096/32" 10136778 10190895 6836927 10665388 10041975 
"4096/64" 6225028 10065509 9823772 6351609 9550708 
"4096/128" 9707206 9773474 10190895 9105266 9685316 
"4096/256" 6389405 10313249 9751284 10012712 7123239 
"4096/512" 10534589 10502389 9966244 6659365 9989424 
"4096/1024" 6672297 11099499 10239486 9914481 9891647 
"4096/2048" 9529517 9183139 6801738 10718622 9461292 
"4096/4096" 7954358 8276241 6122971 8360824 8430572 
"8192/4" 4224832 6440672 7049878 6305921 6220301 
"8192/8" 4793620 8134781 8633521 5075439 7236972 
"8192/16" 8218448 7185515 8463394 7346838 9471217 
"8192/32" 11236730 11084481 8856046 9625100 9571475 
"8192/64" 6775991 10995799 8659632 6895660 9224572 
"8192/128" 10238893 8315913 10199382 6552443 10076743 
"8192/256" 8208631 10381195 6820377 10266427 10064936 
"8192/512" 6720329 11703682 7025373 10381195 10254172 
"8192/1024" 9857043 10211507 10306460 7399047 11442544 
"8192/2048" 6890129 6638529 6742748 9798016 7154097 
"8192/4096" 6491781 7212665 6606618 8136708 6141364 
"8192/8192" 7313997 6831225 6648806 7160060 7321790 
"16384/4" 4286713 5898259 5546453 6405137 6313339 
"16384/8" 6298872 8233027 8154866 6764523 7327103 
"16384/16" 6895526 7938202 9132392 8645258 6048288 
"16384/32" 9168947 8967926 9677701 8870685 9106976 
"16384/64" 9672252 9357474 10310799 6998761 10144884 
"16384/128" 7628034 10290727 9735283 7588444 7961193 
"16384/256" 11761383 10343390 10113530 9817340 9677701 
"16384/512" 9106976 8747603 10442410 10429731 10310799 
"16384/1024" 10482232 7843072 9559234 10390307 11121805 
"16384/2048" 10150878 8039428 7373488 10246230 9026826 
"16384/4096" 8229083 6524947 8086731 8217275 7933620 
"16384/8192" 6784558 6333122 6798654 6636481 6614761 
"16384/16384" 5899778 6843338 6723489 6695321 6798654 
"32768/64" 10386229 10409040 9391880 9097214 10249138 
"32768/128" 9634828 8659859 9843218 10265980 10412984 
"32768/256" 7730059 10611566 10542379 10163493 9787840 
"32768/512" 7386885 10632089 9026711 10546424 10515761 
"32768/1024" 11366288 8756412 10563446 10057142 10475685 
"32768/2048" 8019635 8588965 9335106 9651743 10279033 
"32768/4096" 8960212 8089019 7827797 7486676 8335794 
"32768/8192" 6477223 6302571 6533882 6532640 5969687 
"32768/16384" 6677691 6693953 6577346 6144498 6316184 
"65536/64" 10505635 10482398 8582745 10122997 9033179 
"65536/128" 12328129 8732158 10544727 8521019 9725094 
"65536/256" 9556049 10845104 9497935 10568647 10701548 
"65536/512" 10788069 10098081 9908436 10715315 9947880 
"65536/1024" 10722421 10710305 10755986 9861159 9940326 
"65536/2048" 8437582 10625023 10634066 10584111 10217823 
"65536/4096" 8245478 7644457 8435510 8599392 8667725 
"65536/8192" 6688058 6400576 6251657 6588509 6725038 
"65536/16384" 6717478 6573383 6729813 6194458 6627747 
"131072/64" 11160785 11108690 11536935 11208571 11047968 
"131072/128" 12213048 11442326 10757840 11440183 10236812 
"131072/256" 11246864 12098284 11585073 11443517 11435424 
"131072/512" 11496404 11775400 12502177 12095090 11472413 
"131072/1024" 11492318 10698801 11071998 11477443 11118125 
"131072/2048" 11260687 11012779 12233704 11428292 10978471 
"131072/4096" 8394012 8930434 8953560 8923186 9137042 
"131072/8192" 6795514 6835224 6708936 6548391 6700024 
"131072/16384" 6885477 6807884 6805693 6781850 6747555 
"262144/64" 11605470 11779160 11117204 11744810 11477419 
"262144/128" 12125075 11948251 11895639 11957477 12194465 
"262144/256" 12033247 11976102 12064275 12040363 12011688 
"262144/512" 12047619 11887536 11936318 12061496 12095464 
"262144/1024" 12282465 12427398 12172864 12099324 12075936 
"262144/2048" 11406573 12200690 12069308 12052638 11931396 
"262144/4096" 9574641 9261088 9410983 9313648 9497969 
"262144/8192" 6736344 6885511 6855759 6815683 6833772 
"262144/16384" 6928029 6905577 6870882 6872299 6855588 
"524288/64" 12023563 12144146 12053748 12064262 12043516 
"524288/128" 12591547 12206365 11780662 12354215 12194723 
"524288/256" 12311263 12366443 12417419 12284716 12307749 
"524288/512" 12547577 12467898 12475608 12379252 12432724 
"524288/1024" 10430670 12095118 12624003 12475042 12509817 
"524288/2048" 12473839 12326307 12444262 12381343 12302860 
