Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 3791156 4988978 5860307 5860307 4897948 
"64/8" 5860307 4897948 7100397 5860307 4897948 
"64/16" 3541098 3791156 5389653 3738358 4018152 
"64/32" 2444640 3588436 4564786 2203800 3363612 
"64/64" 2358717 3203069 3363612 2801873 4274062 
"128/4" 2714132 3468030 3359523 3560017 3785961 
"128/8" 5122535 3560017 3560017 3053774 3657016 
"128/16" 5325799 5122535 5325799 5545860 3536566 
"128/32" 5603747 5847904 5325799 5847904 7082197 
"128/64" 3759450 3759450 6045455 6727225 5122535 
"128/128" 5784891 6406138 3124872 6114306 7082197 
"256/4" 5455847 3654598 3465855 3159869 3823789 
"256/8" 5687020 5569035 5971678 5455847 4197489 
"256/16" 6398720 6761355 5810112 6249745 5841722 
"256/32" 3935921 4132864 6398720 5938650 6249745 
"256/64" 5971678 4070199 6107548 5938650 6249745 
"256/128" 6073004 4197489 6107548 6936061 6891544 
"256/256" 4132864 4197489 6554972 6398720 6936061 
"512/4" 3913012 4030519 3970896 5699180 3934520 
"512/8" 6156675 4061007 6174377 6174377 6018636 
"512/16" 6018636 6491676 5886650 6571132 6395018 
"512/32" 4030519 7022379 6018636 7211022 6338392 
"512/64" 6395018 6652558 4447925 5566231 6018636 
"512/128" 4532414 3849877 6174377 4871723 5870558 
"512/256" 6472112 4827914 4701087 4882800 4784885 
"512/512" 4271001 6931711 6395018 7309196 7091952 
"1024/4" 3908759 3722435 3778101 5630486 4033569 
"1024/8" 4064103 6050905 4451639 4374559 6163794 
"1024/16" 4033569 6733974 6519323 6208343 6744549 
"1024/32" 4232305 4700088 6830356 6317933 6650556 
"1024/64" 6093831 6364746 6963241 6918376 4634161 
"1024/128" 6650556 6733974 4374559 6569179 7054742 
"1024/256" 6692005 6529233 6441107 6529233 7008693 
"1024/512" 7257394 4926518 4949226 7160597 5630486 
"1024/1024" 4474829 3908759 6609617 6787181 4614246 
"2048/4" 4864597 5578583 5596757 3999400 3784436 
"2048/8" 6523312 4741090 6543188 4581773 6603549 
"2048/16" 6588354 6895083 4405533 6780783 6759439 
"2048/32" 4621211 6990474 4762117 4385291 6378005 
"2048/64" 4633675 7112016 4376355 7065219 7042051 
"2048/128" 7311791 6945257 6114678 6759439 6690992 
"2048/256" 6690992 5119743 4462754 7189398 4923146 
"2048/512" 7286980 7262337 7159438 4842658 7088541 
"2048/1024" 5264067 4741090 7311791 4889518 7286980 
"2048/2048" 7213548 7082696 7237860 4889518 7065219 
"4096/4" 5113352 6195843 5603704 4116116 6131713 
"4096/8" 4487004 4399673 4565707 6410863 6471234 
"4096/16" 7460407 5978090 6978564 6872481 4441761 
"4096/32" 7568872 7146945 6661947 7076294 4633432 
"4096/64" 6532752 7434579 6908408 5127086 4649735 
"4096/128" 7261741 5171846 4842392 7277121 4819300 
"4096/256" 7225093 4841028 7314299 4952675 4911613 
"4096/512" 4824714 5440445 7392988 7877762 5211065 
"4096/1024" 4858827 7380284 5050220 4659824 5062125 
"4096/2048" 7200866 4763181 7314299 7473388 4893426 
"4096/4096" 4676314 4612286 4249491 4607338 6512939 
"8192/4" 4277959 5906977 6379683 6365501 6290911 
"8192/8" 6050521 6912307 7001038 6954278 6850292 
"8192/16" 5217241 4873164 4816466 4734829 6995337 
"8192/32" 7571884 4964702 7346838 5313247 7154097 
"8192/64" 5732541 8079310 7461712 4879393 6687628 
"8192/128" 5630154 7537004 5047109 6595205 7427838 
"8192/256" 6239504 4953250 4982701 5630154 7440706 
"8192/512" 5158495 8167655 5013234 7502444 7440706 
"8192/1024" 5069448 5523358 7543623 7528746 5958192 
"8192/2048" 5382328 7413415 4968291 4799646 7269124 
"8192/4096" 6050521 6307078 4578974 6244039 6192276 
"8192/8192" 5696426 5622783 5577150 5681356 5645881 
"16384/4" 4894966 6507029 6467833 6458108 6417699 
"16384/8" 7132419 7111751 7035303 7114697 6948516 
"16384/16" 7227690 7192137 6563586 7177114 6122653 
"16384/32" 5696807 7470478 7420464 7393320 7320858 
"16384/64" 7595993 5957575 7550092 5035203 7491652 
"16384/128" 6325543 7610294 6442970 6622411 5944691 
"16384/256" 6640970 7526113 7556734 6714948 7167383 
"16384/512" 6455075 7567552 7610294 7641605 7550092 
"16384/1024" 7554242 6005999 5048891 6601417 5163459 
"16384/2048" 7481865 7499010 5813926 7182365 7327103 
"16384/4096" 6320888 6272425 5327997 4539892 5940066 
"16384/8192" 5568926 5181758 5391113 4979742 5287006 
"16384/16384" 5042592 5268360 5803614 5378876 5820327 
"32768/64" 7726582 7701039 7562475 7455810 7533045 
"32768/128" 5177426 6836804 7673950 7077256 7084918 
"32768/256" 7118679 7638550 7649178 7320782 5069339 
"32768/512" 6918716 7715738 7154624 6915931 7574561 
"32768/1024" 7661544 6667002 7207906 7677379 7638550 
"32768/2048" 7196960 7190559 7023010 6865149 6767456 
"32768/4096" 5101516 6386329 6362677 6760465 6432659 
"32768/8192" 5592904 5492547 5680984 5284323 5074955 
"32768/16384" 5686861 5234412 5391283 5471338 5326511 
"65536/64" 7689149 9028136 8207318 8276761 8039291 
"65536/128" 8470342 8749669 8078750 7687429 8173639 
"65536/256" 8985931 8610706 8683607 7818625 7552876 
"65536/512" 6557545 8815895 8970389 8486818 8126998 
"65536/1024" 8290490 8686077 8737154 7994167 5376184 
"65536/2048" 5116786 8320101 7769564 8260345 8239546 
"65536/4096" 4831250 7082692 6678471 7186762 6887650 
"65536/8192" 5576091 5548739 5470010 5530096 5391263 
"65536/16384" 5682958 5521654 5490661 5649553 5220773 
"131072/64" 8685364 8765685 8721326 9028848 8793869 
"131072/128" 8948022 8372025 8840677 8983700 8861482 
"131072/256" 9029441 9066969 9060096 8729496 8732824 
"131072/512" 8369858 8826341 9019664 8884970 9022032 
"131072/1024" 8489676 7802846 9049358 8403635 9055171 
"131072/2048" 8462233 7282613 8731160 8906129 8623105 
"131072/4096" 7360322 7193891 7082309 7158483 7311865 
"131072/8192" 5591563 5662343 5613143 5555737 5623938 
"131072/16384" 5642583 5578230 5682711 5636104 5613086 
"262144/64" 8728235 8789145 8940732 8963765 8814582 
"262144/128" 9111435 9102534 8932306 9050982 8915864 
"262144/256" 8908857 8835619 8766161 9112039 9023869 
