Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 2067979 2772930 2892445 1526887 2561267 
"64/8" 3203069 2379626 3406295 3057153 2133730 
"64/16" 2467108 2358717 2444640 1828508 2467108 
"64/32" 2662899 3057153 3588436 3363612 3363612 
"64/64" 2203800 1828508 1828508 2561267 2467108 
"128/4" 1487977 2511022 1622919 2326073 1663139 
"128/8" 2377579 2453642 2843510 2132084 3036502 
"128/16" 2920861 4717434 4012317 2558895 2558895 
"128/32" 2066432 4889281 2969325 5603747 4267461 
"128/64" 5325799 4759253 7476717 4934216 4934216 
"128/128" 5122535 2843510 5122535 4557257 5122535 
"256/4" 1907837 2000242 2672291 2975955 2911402 
"256/8" 3605511 3326279 3454704 3511189 3717869 
"256/16" 3823789 2588541 3823789 4477549 2061693 
"256/32" 4819184 5217259 4652146 3368013 4907284 
"256/64" 5540300 5320671 5347168 5971678 3410808 
"256/128" 7518900 4572895 5242734 6891544 7120034 
"256/256" 4496299 5217259 5347168 3499745 5117791 
"512/4" 2691737 2535981 2991733 1924603 2800557 
"512/8" 4030519 4571003 3788747 4571003 3504346 
"512/16" 4271001 5019764 4650188 4457157 4305250 
"512/32" 4690818 5624545 3244885 4973263 4784885 
"512/64" 4620174 3533174 5509113 5453155 5951911 
"512/128" 5566231 5398323 5886650 6246213 5760329 
"512/256" 7309196 7022379 4690818 7115451 4610256 
"512/512" 3459188 4973263 4660280 6472112 3182373 
"1024/4" 1815435 1962242 1920993 1899750 3074849 
"1024/8" 3447541 3877004 4064103 2365323 3458646 
"1024/16" 3764854 3966517 4079544 4550690 2559871 
"1024/32" 2744728 4826859 4995276 4741598 4720752 
"1024/64" 5336651 4920874 3618930 5593820 5813392 
"1024/128" 3324778 4679604 3748425 3110479 5782087 
"1024/256" 5925680 5120336 6102490 5751117 3794792 
"1024/512" 7869040 7524394 7699755 8199542 7590887 
"1024/1024" 2985091 5417427 6172653 5096034 5363307 
"2048/4" 2639154 1930406 2680329 1876840 2622235 
"2048/8" 2495039 3189957 3814687 3489282 4394265 
"2048/16" 4562305 4240255 2730599 4128177 4248644 
"2048/32" 3690142 4633675 3089009 5071381 4540600 
"2048/64" 4730646 4284671 4853603 4937295 4818211 
"2048/128" 5489457 3929871 2913021 4796687 4623699 
"2048/256" 4096676 4240255 2976615 4633675 4347560 
"2048/512" 5953632 5735012 5332694 4453499 3862718 
"2048/1024" 5640860 5888333 6058611 5056455 7013303 
"2048/2048" 3612546 6110328 5225638 5264067 5689430 
"4096/4" 2663212 2476625 2144586 2717987 3119752 
"4096/8" 3427880 2319470 2415343 3091124 3349029 
"4096/16" 3864287 4447510 3396032 4858827 2684016 
"4096/32" 4422323 2976515 2981164 3091124 4633432 
"4096/64" 4409837 4367238 3112404 3743865 4751325 
"4096/128" 4941279 3089456 4385074 3029528 4447510 
"4096/256" 4240052 2959594 3018881 4390677 3984379 
"4096/512" 4516494 4761860 4462528 3856480 4316760 
"4096/1024" 4785737 4713521 5340661 3540193 4491697 
"4096/2048" 6225028 4505833 6094733 5347310 5969780 
"4096/4096" 4871226 4880914 5424983 4819300 4703198 
"8192/4" 2786495 2926772 2910163 2903033 2904014 
"8192/8" 3773388 3367015 3342450 3731993 2430172 
"8192/16" 4409161 4092001 4506310 3978292 3223903 
"8192/32" 4087619 4423351 4716630 4667931 3942233 
"8192/64" 4327528 4571664 4280090 4584473 4339005 
"8192/128" 4049561 4198503 3065970 3093575 4295608 
"8192/256" 3959039 3218769 4088106 4364911 3986600 
"8192/512" 3191265 3756063 4130865 4013610 3399327 
"8192/1024" 4035293 4244140 4122934 2902788 3449147 
"8192/2048" 3077504 4381051 4392252 3527764 4268923 
"8192/4096" 5531360 5494212 5603526 4357162 5509188 
"8192/8192" 4137332 4085675 4228992 4498640 4019714 
"16384/4" 2345950 2916809 2640030 2871830 2184496 
"16384/8" 3192571 3525738 3449979 2726984 2863334 
"16384/16" 3456574 3516536 3710994 3613618 3893497 
"16384/32" 3213171 4406561 4267811 4025555 3831626 
"16384/64" 3171501 4228160 3567840 4434142 4332113 
"16384/128" 4110556 3593775 3710994 4105399 3782069 
