Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 1101022 1562436 1780008 1679761 1690338 
"64/8" 1279447 1385075 1452528 2298136 1124074 
"64/16" 1255511 2133730 1392258 1255511 2133730 
"64/32" 1562436 1690338 2561267 1734015 1828508 
"64/64" 1933893 1879725 1363961 1330167 1310683 
"128/4" 1421023 1618028 1727352 1852520 1391557 
"128/8" 1705404 1852520 1778862 1306873 1294270 
"128/16" 2453642 2166499 1391557 1487977 2202044 
"128/32" 1579934 1637771 1637771 2558895 1622919 
"128/64" 2202044 2858650 2326073 1663139 1642783 
"128/128" 1451764 2336194 1598754 1778862 1642783 
"256/4" 1855098 1230218 1089202 1718521 1707589 
"256/8" 1300235 1202660 1368162 1938842 1489641 
"256/16" 1286217 2187712 1610276 1707589 1694118 
"256/32" 2842047 1696795 1755037 2345409 2943325 
"256/64" 1907837 2266207 3454704 2754556 3368013 
"256/128" 2170027 2131261 2783115 2783115 3087188 
"256/256" 1814348 1755037 1704877 2305128 1942349 
"512/4" 1753325 1213400 1251589 1718254 1909204 
"512/8" 1537424 2337255 2307123 2317080 2337255 
"512/16" 2572435 2642062 2560168 2337255 1399189 
"512/32" 2768068 2894940 2452009 2942541 2845081 
"512/64" 1999881 1968713 2032051 1869318 2625909 
"512/128" 3086326 2337255 2958758 3527371 3431550 
"512/256" 2307123 3604335 3099691 2381315 2357784 
"512/512" 2548017 2979282 2486072 2471765 3029721 
"1024/4" 1238168 1151834 1224752 1200782 1729884 
"1024/8" 2552265 1294520 1532928 1530742 2337008 
"1024/16" 1630707 1848247 2300703 2619192 2604895 
"1024/32" 2651532 1560781 2805690 1825466 2348509 
"1024/64" 2553783 1625769 2098375 2926114 2916180 
"1024/128" 2710090 1954207 2976816 2985091 1812371 
"1024/256" 3271594 2995501 2226749 2765939 2069060 
"1024/512" 3083680 3425544 3191372 3160839 3436508 
"1024/1024" 1809317 1950656 2789291 1917562 2798378 
"2048/4" 1221235 1254223 1248753 1256425 1253308 
"2048/8" 1494992 1406616 1527152 2089598 2311106 
"2048/16" 2265991 1709505 2601586 1378181 2316716 
"2048/32" 1685687 2461436 2011785 2738433 1699359 
"2048/64" 2449504 1782585 2805512 2528082 1773019 
"2048/128" 2482062 2494314 2373693 2528082 1833573 
"2048/256" 2432165 1868674 2461436 2832339 1980705 
"2048/512" 2074960 2880782 2199836 2172024 2155672 
"2048/1024" 3384788 2250555 2270183 3324528 3165272 
"2048/2048" 2844532 2608697 2599225 1897990 2602375 
"4096/4" 1399832 1257234 1268092 1532985 1391217 
"4096/8" 1521041 1530663 1877210 1534628 1526040 
"4096/16" 1801994 2734426 1686979 2119975 2590526 
"4096/32" 2644356 2701744 1972927 2195003 2727047 
"4096/64" 2703870 2542602 2822940 2555461 2710696 
"4096/128" 2714551 1826129 2477696 2419425 2185509 
"4096/256" 2661562 2455738 2478054 3056478 2623759 
"4096/512" 2915397 2536221 2471992 2786313 1804455 
"4096/1024" 2223411 2193882 3112404 2202319 2196126 
"4096/2048" 3197560 2396810 3354915 2725317 3290024 
"4096/4096" 2491711 2886982 2908979 2894765 2925823 
"8192/4" 1258561 1517334 1281180 1266354 1468879 
"8192/8" 1808330 1767766 1555386 1729766 1815976 
"8192/16" 2137224 2199754 1699983 1700320 1594655 
"8192/32" 2274906 2226120 1829805 2224823 1953278 
"8192/64" 2499834 2695556 2549735 2090923 1833516 
"8192/128" 2595576 2702765 1794447 2249291 2396109 
"8192/256" 2202151 2246937 2610564 2263069 2535436 
"8192/512" 2422291 2635797 2640050 2526115 1816456 
"8192/1024" 2702765 2843453 1973472 1932949 1966807 
"8192/2048" 2094619 2368852 3126794 2925775 2926772 
"8192/4096" 3114889 2615532 2950902 2335204 2724410 
"8192/8192" 1933058 2747283 1937527 2754551 2831736 
"16384/4" 1284817 1650252 1281104 1281104 1608496 
"16384/8" 1549173 1478162 1867133 1534368 1537527 
"16384/16" 1732810 1705248 2144213 2198263 1699597 
"16384/32" 1684226 1697623 1823677 2070998 1898915 
"16384/64" 2262682 1816015 1777957 2343550 1813188 
"16384/128" 1798289 2398853 1833898 1837379 2252078 
"16384/256" 2226972 2735233 2808911 1934789 2276851 
"16384/512" 1782615 2521001 2533081 1808178 2621399 
"16384/1024" 2228199 2575325 2490665 2578514 2814548 
"16384/2048" 2872310 2620999 2524520 2857857 2826240 
"16384/4096" 2637902 2545278 2968212 2827286 3118961 
"16384/8192" 3320614 3184434 3770863 3419763 3334148 
"16384/16384" 1923901 2731971 3085491 3044213 3006126 
"32768/64" 1916813 2415837 1851508 2031864 1964738 
"32768/128" 1793544 1779241 2463734 2034902 2394289 
"32768/256" 1747435 2642812 2628558 2299663 1876765 
"32768/512" 2560776 2369685 2309090 1869464 1866925 
"32768/1024" 2316563 2351320 2388838 2781444 2815575 
"32768/2048" 2799004 1811582 2681955 1793450 2699867 
"32768/4096" 2738656 2727948 1823794 2637031 2678870 
"32768/8192" 3105136 3158078 3087211 3096322 2809072 
"32768/16384" 3577666 3538337 3539430 3613219 3332434 
"65536/64" 2729080 2099173 2348043 2341482 2560199 
"65536/128" 2591774 2614975 2280069 2433844 2052556 
"65536/256" 2712250 2032627 2050886 2027529 2519739 
"65536/512" 2130558 1830057 2203327 2549537 2511910 
"65536/1024" 1933842 2209117 2727590 2604865 2616618 
"65536/2048" 2672978 2484776 2663421 2720356 2172796 
"65536/4096" 2704857 2632708 2486192 2402867 2706188 
"65536/8192" 2821784 2058103 2310057 2822508 2721595 
"65536/16384" 3393897 3482252 2997159 3401625 3467361 
"131072/64" 2345726 2876528 2514666 2364299 2919918 
"131072/128" 2405703 2088794 2559696 2205155 2754952 
"131072/256" 2757785 2487697 2503478 2622708 2608967 
"131072/512" 2156964 2479138 2637062 2598829 2111580 
"131072/1024" 2776883 2760098 2772262 2739167 2772780 
"131072/2048" 2693959 2705413 2574633 2578981 2708773 
"131072/4096" 2500654 2648241 2644712 2487708 2641560 
"131072/8192" 1989613 2713425 2691150 2480737 2459099 
"131072/16384" 2634673 3036959 3099052 3083616 3079402 
"262144/64" 2736425 3084878 2678163 3106335 2580384 
"262144/128" 2894992 2897868 2501591 2980806 2472124 
"262144/256" 2745252 2688103 2451592 2756394 2726802 
"262144/512" 2398764 2803226 2551753 2433841 2371508 
"262144/1024" 2652853 2800741 2811677 2804126 2670468 
"262144/2048" 2456834 2710481 2716770 2712520 2718859 
"262144/4096" 2632710 2608371 2547413 2620181 2624747 
"262144/8192" 2651266 2658446 2653467 2652878 2662140 
"262144/16384" 2934129 2853333 2914722 2938834 2913394 
"524288/64" 2925568 2911692 3002518 2772341 3111520 
"524288/128" 2707707 2628578 2733798 2680615 2863055 
"524288/256" 2770650 2691665 2598108 2771837 2671327 
"524288/512" 2653492 2688723 2602934 2715829 2762519 
"524288/1024" 2618247 2753784 2637569 2772704 2696901 
"524288/2048" 2697146 2585948 2711319 2549320 2698688 
"524288/4096" 2606775 2608371 2514874 2609866 2616231 
"524288/8192" 2619488 2552732 2618468 2612582 2633422 
"524288/16384" 2836813 2761822 2842945 2842162 2840070 
