Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 32804 32455 28433 33194 29603 
"64/8" 59051 60611 48517 61303 60597 
"64/16" 113082 89994 119634 109933 113082 
"64/32" 209747 189331 173879 174444 186051 
"64/64" 307554 302018 320021 314030 281731 
"128/4" 32104 31690 32611 31888 32340 
"128/8" 63491 60296 59813 53225 51907 
"128/16" 114086 103546 103487 98765 96754 
"128/32" 184187 191070 177021 168202 152398 
"128/64" 357483 279502 297797 317523 299124 
"128/128" 546819 425141 368779 467329 476031 
"256/4" 30743 29064 29980 31636 31675 
"256/8" 54120 49488 47233 60967 58356 
"256/16" 96491 115520 106228 95734 104147 
"256/32" 189078 193056 178279 176549 178754 
"256/64" 309899 309989 270613 302564 295975 
"256/128" 453858 365118 492360 522551 577651 
"256/256" 690151 652807 688381 675391 805021 
"512/4" 31653 33307 31841 18616 23995 
"512/8" 56431 61156 62983 62174 63667 
"512/16" 103290 108088 102501 85120 92516 
"512/32" 204701 193942 223305 197309 216222 
"512/64" 311644 324060 369440 337983 368110 
"512/128" 409293 438368 539595 420761 469723 
"512/256" 721163 734482 693899 685482 665926 
"512/512" 957072 1165966 939486 915847 932550 
"1024/4" 22374 21906 21790 21391 18268 
"1024/8" 39768 58181 58122 55021 58423 
"1024/16" 122197 110521 109849 116600 116376 
"1024/32" 205788 189842 184074 169307 189524 
"1024/64" 339985 295008 330107 330641 319523 
"1024/128" 472763 562035 473180 539514 490415 
"1024/256" 691420 810095 765890 823768 720655 
"1024/512" 881958 1048113 916590 896689 1102176 
"1024/1024" 1460969 1347311 1499217 1250425 1358390 
"2048/4" 26242 30864 27555 20601 26431 
"2048/8" 45500 50642 45678 46475 58315 
"2048/16" 111008 104070 121096 121550 125582 
"2048/32" 179856 204372 203457 184889 204430 
"2048/64" 371010 320606 364153 386850 338909 
"2048/128" 610435 472862 558665 638808 538391 
"2048/256" 900242 801912 858323 771656 799971 
"2048/512" 1149954 1111849 1038082 1102290 930068 
"2048/1024" 1288076 1218291 1187142 1423162 1242072 
"2048/2048" 1651654 1446164 1636862 1528239 1423398 
"4096/4" 25654 26085 29174 30452 29498 
"4096/8" 39696 45714 52608 52242 35198 
"4096/16" 125466 109055 107124 52240 117148 
"4096/32" 218396 223618 196346 231791 197275 
"4096/64" 338094 303296 349249 306631 323844 
"4096/128" 470155 509066 573105 632407 567389 
"4096/256" 876130 838664 746762 941837 959458 
"4096/512" 1013812 1092533 1122221 1174306 1133699 
"4096/1024" 1371667 1388967 1322158 1434667 1285648 
"4096/2048" 1608932 1639643 1478117 1424201 1276003 
"4096/4096" 2000961 1919365 1969083 1572412 1574862 
"8192/4" 20161 26977 21574 24475 26890 
"8192/8" 37251 38340 48604 44452 46872 
"8192/16" 100460 88642 96665 108580 73993 
"8192/32" 199464 201912 126952 189410 117631 
"8192/64" 402891 300172 346062 300030 293442 
"8192/128" 620135 572311 540691 598436 564534 
"8192/256" 855128 835499 931213 1064995 796511 
"8192/512" 1135415 1253190 1180917 1420011 979529 
"8192/1024" 1427385 1227273 1411900 1490803 1478168 
"8192/2048" 1731160 1704875 1695704 1734131 1470199 
"8192/4096" 1642057 1373356 1766312 1435915 1814825 
"8192/8192" 2005376 2396109 1956058 1747092 1880169 
"16384/4" 11585 9748 9567 21064 18226 
"16384/8" 42942 42765 41833 21960 24954 
"16384/16" 101539 85289 98589 80386 85993 
"16384/32" 170618 154795 153619 141560 200462 
"16384/64" 229954 400009 220353 326621 378970 
"16384/128" 697880 584265 612168 469655 611047 
"16384/256" 927165 856330 1033176 893937 856052 
"16384/512" 1165392 1221857 1129682 1148467 1555907 
"16384/1024" 1813762 1418774 1902016 1832040 1923471 
"16384/2048" 2058282 1752877 1942391 1724462 1669780 
"16384/4096" 1834534 1965221 1804427 1702586 1713240 
"16384/8192" 1976639 1709873 1690815 2019509 1890192 
"16384/16384" 2179923 2246556 2202490 2389427 2138341 
"32768/64" 230414 377925 402076 256850 286513 
"32768/128" 493545 409103 527054 534707 597496 
"32768/256" 858613 887230 551622 868762 416795 
"32768/512" 1181215 1237087 1266195 1179219 1184412 
"32768/1024" 1907899 1426191 1556168 1564547 1536028 
"32768/2048" 1997548 2204073 1745194 2136407 1744729 
"32768/4096" 1776826 2013261 1955374 2111463 2060096 
"32768/8192" 2053908 1882343 2025187 2506738 1903011 
"32768/16384" 2278089 2636829 2210169 2157197 2260033 
"65536/64" 255172 305223 295901 322838 296776 
"65536/128" 475425 432187 376312 338909 463735 
"65536/256" 604849 837713 730881 884973 715638 
"65536/512" 1033263 1181849 1005649 1344160 1163638 
"65536/1024" 1601873 1821809 1905106 1513913 1837851 
"65536/2048" 2188765 2094598 1991972 1913514 1790936 
"65536/4096" 2100921 2309067 2275803 2002260 2261889 
"65536/8192" 2236656 2251182 2396707 2481411 2177064 
"65536/16384" 2808120 2759297 2776465 2793508 2747136 
"131072/64" 222011 224363 195141 181205 148616 
"131072/128" 337362 282071 364290 371471 347241 
"131072/256" 457580 432889 522155 418776 390496 
"131072/512" 962016 863696 764335 602053 615046 
"131072/1024" 1134980 1104564 857862 1105217 1121884 
"131072/2048" 2173740 2120531 2188136 1719648 2106789 
"131072/4096" 2267802 2245690 2317358 2205748 2035530 
"131072/8192" 2401290 2403579 2419244 2538821 2347780 
"131072/16384" 2748589 2808849 2815855 2880764 2767448 
"262144/64" 118322 186499 164583 165671 142964 
"262144/128" 251863 271571 270342 310675 264271 
"262144/256" 313123 333125 371848 471699 448873 
"262144/512" 610085 569453 672491 849850 785673 
"262144/1024" 1457042 1034139 1559611 1464198 1003314 
"262144/2048" 1250622 1827372 1343041 1748279 1256984 
"262144/4096" 1473398 1521217 1819308 1714681 1976373 
"262144/8192" 2093299 1712363 1886269 2420356 1565328 
"262144/16384" 2349932 2544324 2650059 2503904 2474338 
"524288/64" 135612 145093 150411 182450 151810 
"524288/128" 221617 225777 256400 232964 213994 
"524288/256" 396648 387948 397866 376471 329076 
"524288/512" 764499 689680 685819 651303 736160 
"524288/1024" 1005982 919566 1064940 918791 1019964 
"524288/2048" 1495734 1822095 2025458 1876814 2097630 
"524288/4096" 1966321 2013844 1701797 2113681 1923688 
"524288/8192" 2041516 2579028 2267701 2403346 2515668 
"524288/16384" 2958516 2411850 2878977 2704633 2403393 
