Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 4385 16252 15230 12728 13349 
"64/8" 19081 20929 17748 25415 16327 
"64/16" 28986 27467 34633 35400 30274 
"64/32" 50317 42896 44137 55509 37602 
"64/64" 62083 65571 59934 51367 60720 
"128/4" 11752 17046 12651 13861 13112 
"128/8" 27875 27746 21709 22964 21753 
"128/16" 39543 41734 32486 37747 39300 
"128/32" 56436 54192 42592 47884 56141 
"128/64" 65076 67728 48120 68707 66768 
"128/128" 71185 79893 56633 83341 83614 
"256/4" 9935 13209 13928 10340 14273 
"256/8" 22965 18608 24873 18787 26039 
"256/16" 40979 39769 32652 38729 46460 
"256/32" 58582 53987 48687 57053 45804 
"256/64" 67851 67030 66701 60462 49805 
"256/128" 66963 83088 73585 81320 70253 
"256/256" 70818 84097 90239 84855 93394 
"512/4" 14182 17291 12663 15346 10680 
"512/8" 15619 16083 17066 18115 17643 
"512/16" 33837 39451 34202 39884 30734 
"512/32" 55699 65315 48990 55700 63437 
"512/64" 50673 79912 56687 58440 78588 
"512/128" 67770 60241 80988 67351 83427 
"512/256" 68522 58661 78795 57359 84321 
"512/512" 79590 74734 82342 97392 68282 
"1024/4" 14405 15708 12163 19153 17642 
"1024/8" 17242 19012 19320 18625 17828 
"1024/16" 35157 27940 26405 33297 28811 
"1024/32" 60731 59469 64192 52706 63820 
"1024/64" 79085 70146 72680 67981 82889 
"1024/128" 86574 89276 75091 73441 70983 
"1024/256" 67297 72270 73431 66840 106401 
"1024/512" 81043 105774 97626 89098 107822 
"1024/1024" 62102 63334 95192 116348 112266 
"2048/4" 18028 17979 15589 17621 18651 
"2048/8" 20332 21595 20980 22246 20635 
"2048/16" 52212 35816 38601 46507 37732 
"2048/32" 56847 52576 46034 56526 61731 
"2048/64" 39128 82401 90148 87100 77472 
"2048/128" 98603 58532 99858 71960 57603 
"2048/256" 110829 84484 90691 109448 81551 
"2048/512" 114700 93358 89249 87558 101788 
"2048/1024" 72092 91384 106196 82162 122078 
"2048/2048" 109109 74108 120292 93743 62183 
"4096/4" 19938 18810 17474 17182 19807 
"4096/8" 26207 23961 25850 25373 22254 
"4096/16" 43113 42997 38440 41486 37045 
"4096/32" 70011 76608 70631 77115 80308 
"4096/64" 77860 40581 68240 68509 59906 
"4096/128" 100839 102826 104671 101303 102068 
"4096/256" 109019 68021 97243 115062 115292 
"4096/512" 111374 118374 75917 101994 117165 
"4096/1024" 122283 85670 83301 122151 95846 
"4096/2048" 123989 120907 77309 84458 98511 
"4096/4096" 125444 104232 125744 115082 81916 
"8192/4" 18748 17338 17128 16942 16261 
"8192/8" 25938 24118 24063 24107 26069 
"8192/16" 35267 39302 35449 39394 32632 
"8192/32" 59111 59973 48840 59351 48533 
"8192/64" 64536 63501 70145 49350 69029 
"8192/128" 83162 62394 75574 59482 96473 
"8192/256" 112846 89581 114486 113297 110385 
"8192/512" 101884 104755 119607 117992 112427 
"8192/1024" 123214 98565 121667 122942 105642 
"8192/2048" 125661 126416 123781 125663 123045 
"8192/4096" 124790 126234 103501 111738 125692 
"8192/8192" 122631 125544 125359 125616 124889 
"16384/4" 15391 17123 18587 16854 18865 
"16384/8" 22858 25169 25619 21119 23355 
"16384/16" 35661 39455 35934 35842 34164 
"16384/32" 53475 48246 49736 55278 52451 
"16384/64" 78214 69982 60708 73267 74248 
"16384/128" 68196 83174 71445 91240 80011 
"16384/256" 75031 107178 106469 105785 107752 
"16384/512" 119204 110916 114346 115073 119496 
"16384/1024" 122348 102331 124121 121881 122202 
"16384/2048" 126105 118086 114117 125915 125678 
"16384/4096" 125657 109113 126526 118127 125658 
"16384/8192" 123690 125604 123650 109693 125425 
"16384/16384" 125666 118697 112776 125876 124941 
"32768/64" 71232 82134 69094 75349 69431 
"32768/128" 75136 83929 85033 81561 95999 
"32768/256" 104801 108535 104853 102748 101275 
"32768/512" 120023 119505 111233 112371 116352 
"32768/1024" 122792 116614 119978 120810 121527 
"32768/2048" 125820 123464 125954 124065 122143 
"32768/4096" 125648 122305 125923 122818 119710 
"32768/8192" 125662 125867 125970 123093 115406 
"32768/16384" 125886 125607 124955 124011 121687 
"65536/64" 71839 83395 83322 73548 74945 
"65536/128" 89299 96641 87657 95580 83765 
"65536/256" 106988 94528 104111 104405 99264 
"65536/512" 116401 116088 113233 114200 107824 
"65536/1024" 123562 113831 120064 121554 120170 
"65536/2048" 123923 125507 120848 121652 123276 
"65536/4096" 112458 125287 125053 123568 125077 
"65536/8192" 122577 115955 124673 124764 120862 
"65536/16384" 118938 121843 125323 123795 123221 
"131072/64" 72495 73270 74339 71687 72393 
"131072/128" 92477 87206 88131 89484 85672 
"131072/256" 99977 99614 97293 102764 102495 
"131072/512" 114384 110174 105612 103950 105486 
"131072/1024" 120641 118845 114807 118388 113631 
"131072/2048" 121646 123030 122362 122763 120575 
"131072/4096" 122951 124616 124811 121131 124420 
"131072/8192" 122449 124128 124988 121854 122809 
"131072/16384" 124769 123878 124101 120746 123233 
"262144/64" 73747 68070 69891 71345 69507 
