Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 12774 30887 29655 25570 30668 
"64/8" 52719 52369 49013 44166 46955 
"64/16" 106699 95399 90418 74860 91186 
"64/32" 173429 173429 172095 134432 102385 
"64/64" 268756 280553 195680 223732 261173 
"128/4" 13356 13699 13104 22551 11893 
"128/8" 48206 51717 46040 37768 49268 
"128/16" 107121 79751 79597 75067 64903 
"128/32" 168413 168837 125589 128382 130727 
"128/64" 236527 253983 225027 199668 216934 
"128/128" 366763 313811 373136 423798 606767 
"256/4" 13195 23769 19781 19479 28406 
"256/8" 54076 25700 26531 26313 23679 
"256/16" 31158 107883 91461 31565 96822 
"256/32" 27639 126162 142447 159006 165374 
"256/64" 202562 34982 235531 247075 254211 
"256/128" 459687 429530 421768 435276 419626 
"256/256" 661250 727563 679237 661657 792543 
"512/4" 25089 24892 24968 25310 20716 
"512/8" 47451 48210 31242 28661 45600 
"512/16" 49482 129852 7341 50439 54025 
"512/32" 175393 62483 177892 177100 179273 
"512/64" 264898 260686 370779 283503 368362 
"512/128" 427376 418302 449094 409605 430201 
"512/256" 654559 731480 779258 660600 717308 
"512/512" 1177473 1028091 1069035 1034530 1147892 
"1024/4" 27044 32041 29868 32494 31839 
"1024/8" 38198 37081 37349 32084 37743 
"1024/16" 89244 91312 87052 78714 77040 
"1024/32" 181914 95442 100589 96659 159274 
"1024/64" 318315 307138 315555 294159 319903 
"1024/128" 439301 371414 465286 597784 466296 
"1024/256" 621755 139906 61210 778665 656040 
"1024/512" 881234 911146 124060 221164 1029275 
"1024/1024" 1313122 1406431 1391395 1270397 1387350 
"2048/4" 33750 37599 14020 37069 34813 
"2048/8" 38805 46062 45450 46364 44549 
"2048/16" 115955 122648 118709 101145 125421 
"2048/32" 163108 173017 172812 108560 191028 
"2048/64" 202531 195439 350741 231255 172388 
"2048/128" 531528 425944 475059 520987 468657 
"2048/256" 779641 733317 827163 783195 833585 
"2048/512" 1034333 939015 934724 1124660 928359 
"2048/1024" 1348116 1386635 1142156 1322178 1302925 
"2048/2048" 1551424 1521471 1666393 1407538 1393382 
"4096/4" 33239 37625 30816 35293 36634 
"4096/8" 53485 63036 49660 63363 64602 
"4096/16" 136165 96476 123895 85622 127260 
"4096/32" 229647 195046 171452 61974 172020 
"4096/64" 323155 279990 214216 278863 232358 
"4096/128" 443571 328576 340851 350804 361105 
"4096/256" 800001 815107 730753 802804 414534 
"4096/512" 1049485 1100440 1106750 1036192 1012378 
"4096/1024" 1375841 1306175 1324707 1299162 541937 
"4096/2048" 1830994 1636364 1311960 1427752 1504787 
"4096/4096" 1865186 1837653 1638392 1584010 1475451 
"8192/4" 42175 41641 38792 44922 38409 
"8192/8" 66889 56002 60800 58933 57223 
"8192/16" 111586 105621 111668 70939 108777 
"8192/32" 177878 193376 183755 161320 163627 
"8192/64" 368940 263551 326831 311896 285306 
"8192/128" 374077 300117 429304 411371 553771 
"8192/256" 838823 820691 806305 853874 469749 
"8192/512" 1037218 974888 1010348 1035125 310409 
"8192/1024" 1389405 1142361 1310749 1228194 694770 
"8192/2048" 1566376 1559480 1608842 1806809 753704 
"8192/4096" 1677983 1658304 1780499 1432682 1800843 
"8192/8192" 2024757 2032302 1897614 2086099 1883674 
"16384/4" 42139 45779 37670 45920 40408 
"16384/8" 41580 67294 59466 55802 57022 
"16384/16" 71793 103829 112192 104967 103179 
"16384/32" 159030 172211 180239 171252 191547 
"16384/64" 328120 291499 280778 320079 362118 
"16384/128" 491552 508472 504634 533247 468675 
"16384/256" 659338 544408 815121 816302 796038 
"16384/512" 1080447 1063607 1108900 1075341 1158203 
"16384/1024" 1303732 1325688 1522673 1480710 1536667 
"16384/2048" 1653428 1688364 1548161 1762453 1627197 
