Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 14359 16507 14140 16339 12272 
"64/8" 21227 22873 19765 24844 16410 
"64/16" 25796 32322 31904 34876 28581 
"64/32" 36717 43241 42583 39309 48160 
"64/64" 49156 44444 48525 61191 48932 
"128/4" 3427 17752 13568 13742 12778 
"128/8" 22019 27198 19826 19586 19532 
"128/16" 36260 40817 35945 32136 33632 
"128/32" 3431 50138 44122 42697 56836 
"128/64" 59036 55291 52630 64097 67728 
"128/128" 86497 83993 13404 61838 56585 
"256/4" 3433 7460 8368 9473 9324 
"256/8" 23205 25705 23042 21574 25381 
"256/16" 39629 37825 33710 37769 40881 
"256/32" 57772 49336 48548 53862 56560 
"256/64" 58486 65289 67565 67476 57117 
"256/128" 59825 84183 79851 79578 83437 
"256/256" 58579 93467 73308 57837 84996 
"512/4" 16412 17689 13986 10183 9928 
"512/8" 19709 20825 17985 20007 21261 
"512/16" 34108 34737 31104 40599 33257 
"512/32" 56270 64736 53753 45665 60484 
"512/64" 70571 63809 56825 69973 75393 
"512/128" 57167 63595 79513 77328 89981 
"512/256" 76748 62318 86999 87703 85889 
"512/512" 74333 88443 61873 97507 97427 
"1024/4" 13506 13190 15651 21924 17762 
"1024/8" 17771 10155 19987 20202 17829 
"1024/16" 35895 31974 30348 31613 29945 
"1024/32" 51806 60399 64719 52865 60047 
"1024/64" 74792 62715 63574 75694 78708 
"1024/128" 64978 55731 91460 70093 94411 
"1024/256" 69574 84894 74435 98405 58712 
"1024/512" 67391 81860 104108 89346 74598 
"1024/1024" 76298 62041 89393 70845 119474 
"2048/4" 19523 17568 18231 20211 19444 
"2048/8" 17400 20058 21041 21620 20342 
"2048/16" 40874 41874 53087 46550 52378 
"2048/32" 74361 47926 43221 53228 53930 
"2048/64" 76491 63866 82651 84586 79419 
"2048/128" 59842 83828 96010 104542 68244 
"2048/256" 94924 86254 104266 88911 97556 
"2048/512" 114298 112273 90212 114432 68467 
"2048/1024" 113923 120611 114432 78111 75424 
"2048/2048" 65559 91945 63348 64748 101101 
"4096/4" 16575 18215 17019 17601 18902 
"4096/8" 26667 27140 24407 27163 22764 
"4096/16" 39528 45125 44017 33510 34226 
"4096/32" 53903 60597 51957 53158 68858 
"4096/64" 67275 54340 79022 63930 56688 
"4096/128" 98924 66842 92007 88203 100876 
"4096/256" 108549 80458 107334 97073 107991 
"4096/512" 118638 120513 117958 116340 115059 
"4096/1024" 96683 81063 95739 122181 84437 
"4096/2048" 106758 84269 91067 121864 119525 
"4096/4096" 122689 99174 114859 82585 122389 
"8192/4" 18456 18286 17840 18998 18940 
"8192/8" 23683 23055 23819 23163 22432 
"8192/16" 35980 41747 34123 33286 37069 
"8192/32" 49517 50573 63007 71670 52906 
"8192/64" 63066 95375 82433 61729 48397 
"8192/128" 80638 75099 90677 64465 66876 
"8192/256" 112008 112114 111526 114112 112671 
"8192/512" 105326 118709 107163 118179 114783 
"8192/1024" 113736 114093 105546 122162 119872 
"8192/2048" 111204 125374 125939 124166 113959 
"8192/4096" 116433 97686 105730 119458 115117 
"8192/8192" 103002 125522 125615 104862 126476 
"16384/4" 15367 17807 19484 19856 18222 
"16384/8" 22078 23562 22904 23243 23890 
"16384/16" 40376 36815 37179 35403 31658 
"16384/32" 52961 60024 50315 59023 48444 
"16384/64" 73258 58459 58235 74486 74820 
"16384/128" 78606 104354 94756 95622 82324 
"16384/256" 93338 75609 114008 95706 98800 
"16384/512" 102097 103786 75625 112537 118632 
"16384/1024" 115513 118665 102170 119462 117740 
"16384/2048" 118176 125893 126930 121802 125287 
"16384/4096" 126286 111515 121161 125354 125429 
"16384/8192" 125529 125646 122627 125220 126165 
"16384/16384" 120058 110570 122620 124451 125082 
"32768/64" 83146 77137 83433 83632 67449 
"32768/128" 80468 92998 91973 85803 81074 
"32768/256" 97160 101738 107037 98065 98425 
"32768/512" 117711 112086 113890 107708 117301 
"32768/1024" 120032 114364 116133 122666 117778 
"32768/2048" 119201 126206 122737 125291 118443 
"32768/4096" 124121 125695 123859 120906 123939 
"32768/8192" 123505 121867 123250 122820 124174 
"32768/16384" 123691 125676 124213 117300 123690 
"65536/64" 78186 72708 77006 66095 67476 
"65536/128" 86849 83576 88450 85030 85970 
"65536/256" 87146 98316 95325 105312 96346 
"65536/512" 115067 111154 114390 110957 113002 
"65536/1024" 120694 121001 120306 118703 116580 
"65536/2048" 119043 125036 124975 122405 119240 
"65536/4096" 123634 122423 124585 123487 121029 
"65536/8192" 125763 125062 125907 123116 124528 
"65536/16384" 124478 124754 124916 121051 123855 
"131072/64" 74368 71263 74665 75998 75115 
"131072/128" 88614 89705 85278 87355 84171 
"131072/256" 105093 100423 100135 104141 102722 
"131072/512" 102143 109035 109067 109000 103318 
"131072/1024" 119928 117325 120816 119824 109816 
"131072/2048" 125702 118628 122750 124911 122158 
"131072/4096" 123895 122112 122870 121872 121988 
"131072/8192" 123159 123677 124471 121059 121260 
