Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 32175 31983 29492 30332 27363 
"64/8" 57544 58067 60955 50393 56934 
"64/16" 107900 62068 106869 83969 106487 
"64/32" 171545 179819 171545 187088 154201 
"64/64" 284418 283217 290890 316997 283217 
"128/4" 30462 29037 27345 29151 30584 
"128/8" 60121 60148 59069 51782 51593 
"128/16" 103307 90400 67337 70171 71546 
"128/32" 172749 187402 168678 117328 141437 
"128/64" 290387 253503 202531 289604 273522 
"128/128" 486822 421139 367768 441213 447838 
"256/4" 29499 27356 28156 30947 28880 
"256/8" 54923 48724 44983 51707 26865 
"256/16" 95301 112683 91955 90338 89666 
"256/32" 195873 148659 158326 175224 186193 
"256/64" 38612 267779 231669 272053 278546 
"256/128" 445942 389629 435452 496228 489442 
"256/256" 638445 666586 680960 618584 31465 
"512/4" 31118 31324 29890 30256 30856 
"512/8" 57599 59598 62775 60656 58016 
"512/16" 95844 94728 93978 96365 86662 
"512/32" 173972 174099 219561 192637 194451 
"512/64" 288919 310473 317590 322599 330341 
"512/128" 457904 506983 457514 380098 501419 
"512/256" 668413 755144 747521 645703 665720 
"512/512" 60887 1150351 914287 893368 803757 
"1024/4" 30337 31445 30133 30278 30321 
"1024/8" 44390 56838 52767 48059 56599 
"1024/16" 119767 106015 100057 118544 114670 
"1024/32" 202051 208343 173234 158026 186658 
"1024/64" 268909 301616 284118 327365 320500 
"1024/128" 429333 552634 457943 546099 484387 
"1024/256" 804330 672791 680789 739261 767670 
"1024/512" 987392 981750 929283 1005892 929283 
"1024/1024" 1172909 1316341 1365299 1326505 1326505 
"2048/4" 30396 31016 30353 30689 29783 
"2048/8" 56775 60885 53725 54895 57696 
"2048/16" 108728 105382 119557 113607 121327 
"2048/32" 166491 200648 185813 184207 190828 
