Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 446 16322 13437 11111 13206 
"64/8" 20867 20638 16912 23205 19036 
"64/16" 25497 30373 30175 33313 25754 
"64/32" 37319 46379 38414 11592 36823 
"64/64" 42075 45360 45545 63885 46508 
"128/4" 39739 38472 40291 7743 7364 
"128/8" 24666 25681 6490 19577 21487 
"128/16" 36749 37893 30540 29766 32794 
"128/32" 49061 49591 45879 44227 46024 
"128/64" 53399 64872 55606 47974 54192 
"128/128" 54494 64715 57841 69034 79751 
"256/4" 4520 7739 11657 11122 8238 
"256/8" 22984 30866 37116 37943 43739 
"256/16" 16936 35373 14046 17469 40360 
"256/32" 54076 41734 49117 53951 52860 
"256/64" 47075 59287 61984 64127 62851 
"256/128" 34047 63460 79185 73499 68799 
"256/256" 84018 74810 72935 83848 59979 
"512/4" 16558 15280 16192 15839 7620 
"512/8" 22822 17964 17025 18661 17552 
"512/16" 50398 54329 46972 25977 23578 
"512/32" 34987 32725 43705 22284 56748 
"512/64" 69198 52438 56724 69321 51251 
"512/128" 60248 54572 58248 73604 62514 
"512/256" 65666 68049 58891 85191 88290 
"512/512" 70825 105960 60343 92369 102315 
"1024/4" 11120 20796 13363 19530 16212 
"1024/8" 19416 17511 16953 18002 15887 
"1024/16" 33174 33402 33202 39835 39779 
"1024/32" 45943 63827 72439 38336 43801 
"1024/64" 57648 54732 54997 44574 82156 
"1024/128" 64172 63789 62076 57489 68303 
"1024/256" 97560 60281 69447 61653 102780 
"1024/512" 74984 115094 76258 79097 108645 
"1024/1024" 116140 61032 99147 71859 92762 
"2048/4" 19057 20612 11805 14094 19268 
"2048/8" 20533 18716 12627 21349 20901 
"2048/16" 45773 35935 30034 32575 42495 
"2048/32" 55396 64043 58621 47704 43952 
"2048/64" 75611 73855 69374 47680 57339 
"2048/128" 76597 86501 70120 56587 96567 
"2048/256" 108376 75557 93669 76207 102379 
"2048/512" 82150 64662 94421 100589 109132 
"2048/1024" 113406 114707 92373 107983 119187 
"2048/2048" 115752 103237 113589 74502 103784 
"4096/4" 16246 17856 16684 19585 19744 
"4096/8" 25233 23069 23135 21546 21724 
"4096/16" 47839 36909 35360 34970 34969 
"4096/32" 51568 61357 48918 67243 51510 
"4096/64" 61881 55498 60421 64982 81582 
"4096/128" 63014 115846 102790 60622 83479 
"4096/256" 105787 103325 102287 101260 81157 
"4096/512" 116139 118036 114798 117156 117216 
"4096/1024" 117796 120658 119934 122403 110756 
"4096/2048" 124654 127082 121197 123945 124396 
"4096/4096" 121521 124772 124389 107648 88948 
"8192/4" 19697 18254 17491 15616 19997 
"8192/8" 25710 24992 22148 21294 24704 
"8192/16" 38924 36796 34446 36503 38570 
"8192/32" 49793 51927 60718 60264 50628 
"8192/64" 91995 63763 88054 66575 76974 
"8192/128" 67188 92602 75241 72418 80614 
"8192/256" 105924 89200 109883 99852 110281 
"8192/512" 116973 115352 114072 99487 93343 
"8192/1024" 119324 122109 120147 104437 120936 
"8192/2048" 124164 123991 121203 115730 123667 
"8192/4096" 117689 124982 124269 119166 125964 
"8192/8192" 125684 121605 122446 111767 123200 
"16384/4" 18893 17648 16690 18901 17618 
"16384/8" 19940 23678 21783 22783 22156 
