Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 12802 30175 26004 29783 27071 
"64/8" 51733 48229 47945 40507 47269 
"64/16" 76091 70718 72086 57250 73547 
"64/32" 94659 131921 139751 121694 117179 
"64/64" 190405 169273 206519 173429 183884 
"128/4" 23712 26885 27083 28319 30657 
"128/8" 38106 46060 54912 48086 41397 
"128/16" 104738 89021 72807 82801 77249 
"128/32" 139599 141289 143020 132763 129154 
"128/64" 215541 211549 213314 198781 230238 
"128/128" 387686 326403 383258 421139 380003 
"256/4" 15207 27092 26471 27541 28249 
"256/8" 52609 44212 46151 20605 50622 
"256/16" 110152 99496 86628 95275 94016 
"256/32" 183520 130947 149884 135731 148065 
"256/64" 269729 222407 231669 218248 221034 
"256/128" 397563 335879 371561 378637 377572 
"256/256" 572721 663292 533190 583299 650041 
"512/4" 21474 19231 12380 19400 17627 
"512/8" 29801 28096 26810 33967 26845 
"512/16" 26086 96930 89872 81347 101690 
"512/32" 183251 168525 192051 164952 197983 
"512/64" 251585 230941 282719 241948 255750 
"512/128" 380367 451075 455573 375381 410623 
"512/256" 584380 790153 619084 601568 596058 
"512/512" 927716 958781 866338 853257 1077618 
"1024/4" 21268 27973 24739 28965 26319 
"1024/8" 35133 28190 35941 29380 35288 
"1024/16" 72690 84245 55516 80094 56712 
"1024/32" 187718 156740 160752 163109 183680 
"1024/64" 298535 323835 290498 266044 317797 
"1024/128" 381951 561081 498325 579867 492553 
"1024/256" 720051 845498 658453 694214 749060 
"1024/512" 935966 999107 858340 940269 911726 
"1024/1024" 1183902 1272279 1226500 1322828 1034232 
"2048/4" 30616 30783 32156 30428 26532 
"2048/8" 32781 47724 43570 44205 45828 
"2048/16" 107840 91498 72301 59519 101758 
"2048/32" 95358 139016 103843 132145 104758 
"2048/64" 320247 294208 314790 269862 309270 
"2048/128" 497338 558048 554589 593768 530281 
"2048/256" 797816 694708 788877 507535 765877 
"2048/512" 1125249 1041733 944280 1021904 1127168 
"2048/1024" 1605053 445217 1311078 1289817 1373553 
"2048/2048" 1402711 1451540 1383731 1597590 1340333 
"4096/4" 27784 28507 30903 23535 24010 
"4096/8" 45890 53337 41184 45110 47356 
"4096/16" 109174 122807 108371 95384 99145 
"4096/32" 186851 178094 201009 140173 164996 
"4096/64" 326838 293262 321282 179807 187381 
"4096/128" 440658 479338 462348 506619 512131 
"4096/256" 779457 814489 780342 962845 627648 
"4096/512" 1136550 1021710 1400745 1018862 1057560 
"4096/1024" 1438752 1398920 1442740 1322972 395486 
"4096/2048" 2035817 1867822 1950527 1621536 1497051 
"4096/4096" 1843372 873146 1770790 1666362 1589432 
"8192/4" 14839 16207 13309 15051 23882 
"8192/8" 35960 50044 52285 42833 47963 
"8192/16" 116489 111346 76145 90617 91793 
"8192/32" 192548 189563 179263 154306 150735 
"8192/64" 331338 308131 311859 185229 239673 
"8192/128" 538488 523849 404147 365063 533504 
"8192/256" 828308 803608 795717 633174 751199 
"8192/512" 985315 1147818 1124785 1101068 910630 
"8192/1024" 1469444 1520691 1503129 1395103 586575 
"8192/2048" 1805574 1753781 1624435 1608164 1277227 
"8192/4096" 1638065 1788656 1850401 1512258 1715601 
"8192/8192" 1683244 1675201 1713804 1907305 1706315 
"16384/4" 9334 15591 12121 11285 12677 
"16384/8" 25429 23340 23403 32520 34003 
"16384/16" 84371 92268 86806 100662 85158 
"16384/32" 126763 187354 175524 162589 172172 
"16384/64" 371981 180817 359267 304806 305437 
"16384/128" 392779 587427 402278 364745 223078 
"16384/256" 705960 800900 835923 820719 860092 
"16384/512" 1010360 1116159 1152666 1100624 1066529 
"16384/1024" 1648470 1554183 1515353 1310419 1371624 
"16384/2048" 1891701 1558130 1838018 1660139 1530200 
"16384/4096" 1839839 1557706 1641853 1712045 1755654 
"16384/8192" 1749085 1552533 1943764 2006595 1842157 
"16384/16384" 1620444 2112118 2167204 2072060 2064527 
"32768/64" 335841 288460 241450 239988 239777 
"32768/128" 447673 446377 539177 551001 264117 
"32768/256" 821252 819445 849259 720681 812720 
"32768/512" 1123649 1070948 1045228 1066767 1110781 
"32768/1024" 1147257 1262879 1455769 1378265 1355790 
"32768/2048" 1739275 1548297 2121207 1467505 1115043 
"32768/4096" 2138501 1882781 1857288 1781848 1504435 
"32768/8192" 1887228 1890187 1623464 1930951 1838825 
"32768/16384" 2053509 2121567 2055321 2049559 1638405 
"65536/64" 247463 279830 302059 288917 277547 
"65536/128" 485254 516641 516003 295923 456505 
"65536/256" 1098804 944066 768687 787485 727538 
"65536/512" 899552 966651 949315 1146414 1082738 
"65536/1024" 1394351 1493318 1263290 1399355 1740198 
"65536/2048" 1776583 1419385 2081575 1953731 1407134 
"65536/4096" 1925834 2157837 1885711 1759727 1524019 
"65536/8192" 1921701 1799942 1533439 1783186 1831325 
"65536/16384" 2620510 2269246 1986129 2198973 2122825 
"131072/64" 268978 214552 172625 184523 221629 
"131072/128" 411788 381402 288190 380188 396495 
"131072/256" 572975 765267 641905 461486 710071 
"131072/512" 1058466 941506 1171907 1146976 839097 
"131072/1024" 1420018 1419729 1718525 1429122 1819589 
"131072/2048" 1619153 1755702 1705045 1951753 1976331 
"131072/4096" 1977191 2020687 1716678 1851504 1787203 
"131072/8192" 2019313 2001559 1849654 2123143 2153027 
"131072/16384" 2176735 2357364 2329505 2383477 2175796 
"262144/64" 117672 123597 144849 137257 142613 
"262144/128" 288321 313815 202523 258853 286507 
"262144/256" 474130 491893 428219 357177 387185 
"262144/512" 560063 886475 695437 728513 741632 
"262144/1024" 1345052 1369348 1150521 1747487 1377848 
"262144/2048" 1484579 1784652 1785078 1712251 1782323 
"262144/4096" 1984556 2053213 1832880 1906448 1780516 
"262144/8192" 2104562 1933228 2082740 2086119 1895638 
"262144/16384" 2528613 2267170 2413274 2534261 2504503 
"524288/64" 138502 140469 122405 119116 139848 
"524288/128" 231846 224079 249881 233444 249943 
"524288/256" 423553 394366 394860 401217 384786 
"524288/512" 702546 708631 666568 702132 713870 
"524288/1024" 1085399 1056021 1245230 1048613 942916 
"524288/2048" 1425331 1453234 1794837 1663417 1705756 
"524288/4096" 2126178 1625810 1965539 1759982 2104939 
"524288/8192" 2074564 2562000 1978647 2295067 2424847 
"524288/16384" 2901186 2087956 2838376 2696150 2718882 
