Mode 6-HDD-1-NVMe/gzip-compression-1 6-HDD-1-NVMe/gzip-compression-2 6-HDD-1-NVMe/gzip-compression-3 6-HDD-1-NVMe/gzip-compression-4 6-HDD-1-NVMe/gzip-compression-5 
"64/4" 467 3724 13693 3481 12371 
"64/8" 19949 19464 18818 21556 16744 
"64/16" 29492 31559 27233 32889 23970 
"64/32" 23409 43423 39051 43720 36384 
"64/64" 1803 42354 64515 51703 53073 
"128/4" 13331 14012 5703 14608 11789 
"128/8" 25575 25848 17777 18202 17733 
"128/16" 34278 30345 26818 32299 27699 
"128/32" 46750 53554 49669 45746 52353 
"128/64" 52547 61127 53666 53963 63907 
"128/128" 75874 53219 78434 78423 70642 
"256/4" 10922 9488 14634 12444 12915 
"256/8" 13708 19594 24467 22849 17868 
"256/16" 41065 39561 37101 36982 31888 
"256/32" 54607 53976 47015 58223 56713 
"256/64" 66577 48844 67261 65139 58248 
"256/128" 77549 82104 77065 77955 82902 
"256/256" 90209 92018 79928 90612 76669 
"512/4" 15853 13876 14318 10110 11279 
"512/8" 14026 20603 16570 13977 14371 
"512/16" 37437 38383 28677 37490 32909 
"512/32" 43214 50270 51853 53416 56406 
"512/64" 56554 73564 54157 65464 50950 
"512/128" 78807 58858 56681 55137 83020 
"512/256" 59833 83210 88919 80578 70699 
"512/512" 60916 70543 64990 96330 86137 
"1024/4" 10281 14211 13615 17735 17607 
"1024/8" 14389 16415 17075 17181 20894 
"1024/16" 26233 28657 29154 25605 24533 
"1024/32" 58254 59500 52588 53002 47590 
"1024/64" 60666 70233 62473 66775 61944 
"1024/128" 62542 71823 86830 63327 86772 
"1024/256" 91985 64031 69854 61903 73903 
"1024/512" 84503 92560 93850 83339 73441 
"1024/1024" 88321 105806 81946 103423 79514 
"2048/4" 18297 16716 17752 16374 16548 
"2048/8" 19084 20775 17686 19634 20107 
"2048/16" 35838 47299 35837 39705 34792 
"2048/32" 52696 50527 51581 57289 44647 
"2048/64" 69712 77324 81648 66638 77015 
"2048/128" 77891 73972 62090 56344 84743 
"2048/256" 80868 93790 95429 90228 103100 
"2048/512" 71262 79485 97019 102564 69515 
"2048/1024" 99591 79460 102657 110876 111838 
"2048/2048" 71485 116074 113923 115646 112048 
"4096/4" 19880 16764 17141 20905 19197 
"4096/8" 25866 24070 19822 25966 25005 
"4096/16" 39234 48157 41595 40896 37103 
"4096/32" 56089 50948 53538 50105 50878 
"4096/64" 58276 57396 53869 65299 54908 
"4096/128" 94639 84212 84596 92121 63932 
"4096/256" 104096 91230 103528 64615 72647 
"4096/512" 70282 112145 101685 108057 113223 
"4096/1024" 115706 97934 113196 116376 67052 
"4096/2048" 102182 120481 118785 118983 119214 
"4096/4096" 117762 119892 70152 82447 79753 
"8192/4" 16826 18647 17669 18541 18247 
"8192/8" 23441 22847 20911 23794 22303 
"8192/16" 40002 33134 40208 28566 31381 
"8192/32" 41113 50319 48655 70533 45529 
"8192/64" 91863 49985 70419 69482 87006 
"8192/128" 86941 99556 74718 94587 88872 
"8192/256" 103939 94606 104922 109524 107994 
"8192/512" 87119 83416 115429 115390 114938 
"8192/1024" 117207 120671 115897 115014 120702 
"8192/2048" 105140 123314 121438 98532 124025 
"8192/4096" 120122 122916 122601 119441 122403 
"8192/8192" 105556 124147 119892 98201 123353 
"16384/4" 18885 19164 17947 18429 16477 
"16384/8" 19766 21935 23430 22260 22710 
"16384/16" 34070 36486 31699 37866 34880 
"16384/32" 52924 64064 49908 56994 49445 
"16384/64" 73488 73044 79132 74405 77630 
"16384/128" 87912 65260 80847 80941 80149 
"16384/256" 85123 103153 91095 109624 85372 
"16384/512" 116010 101712 101438 115099 117745 
"16384/1024" 103374 120813 114525 120003 118710 
"16384/2048" 104911 123778 109222 123348 123039 
"16384/4096" 124339 122294 121171 123918 104846 
"16384/8192" 102080 124605 108972 123649 110669 
"16384/16384" 112804 123654 122767 125062 124032 
"32768/64" 81227 80013 72737 82922 67920 
"32768/128" 85664 90997 80142 82337 98854 
"32768/256" 98526 96300 94550 99970 100559 
"32768/512" 108678 117266 107955 111997 117465 
"32768/1024" 110611 119578 117021 121970 114702 
"32768/2048" 125080 125636 122558 124139 101050 
"32768/4096" 117257 125498 121868 118538 103620 
"32768/8192" 123714 125641 116110 125047 116732 
"32768/16384" 122447 125033 123621 125259 123170 
"65536/64" 86946 79447 65316 72361 69640 
"65536/128" 94612 74219 89897 86511 80570 
"65536/256" 102717 102751 95007 97211 101488 
"65536/512" 110908 111868 114097 110239 108090 
"65536/1024" 118984 120789 119344 118607 117075 
"65536/2048" 124839 123398 124960 123445 122113 
"65536/4096" 121903 120440 120515 125369 114322 
"65536/8192" 121225 124388 124368 123917 117698 
"65536/16384" 125130 123315 124671 123924 123386 
"131072/64" 71631 81040 68841 79214 67217 
"131072/128" 86998 89807 93174 90923 87342 
"131072/256" 105001 101133 100071 103400 106651 
"131072/512" 113283 109533 111673 111537 109046 
"131072/1024" 116534 118458 118828 118372 116145 
"131072/2048" 121857 123296 123466 124326 123271 
"131072/4096" 124337 120895 122308 123149 121730 
"131072/8192" 123121 124717 121969 121288 121509 
"131072/16384" 125435 124096 119000 121115 123456 
"262144/64" 72953 67957 70523 73446 74370 
"262144/128" 92902 82955 91136 90230 88723 
"262144/256" 106232 100481 100333 103433 94250 
"262144/512" 110962 109265 109513 108188 107526 
"262144/1024" 120567 114878 116386 116972 117991 
"262144/2048" 123851 123512 122139 123512 123917 
"262144/4096" 123135 121561 119383 123306 121189 
"262144/8192" 125046 122405 122311 122444 120443 
"262144/16384" 123599 122302 123716 121923 122867 
"524288/64" 77118 70890 74767 72597 71052 
"524288/128" 85260 85684 87330 87960 88816 
"524288/256" 106762 95574 100453 103329 96538 
"524288/512" 109310 111386 105646 109032 107959 
"524288/1024" 119562 116570 117410 117207 115340 
"524288/2048" 124419 121753 123036 124107 120540 
"524288/4096" 123022 121121 122310 124253 118978 
"524288/8192" 125064 122355 121930 121163 122837 
"524288/16384" 121632 122627 117476 120388 124069 
