Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 29264 29184 29531 27467 26654 
"64/8" 44050 52206 51534 5890 46540 
"64/16" 82372 59430 74424 78632 63179 
"64/32" 120981 122137 124517 106997 126991 
"64/64" 221334 167583 186568 153848 156905 
"128/4" 19789 29451 30599 13144 24791 
"128/8" 44945 54890 56561 52099 48762 
"128/16" 66918 75649 89258 81223 82852 
"128/32" 160173 138840 147459 113077 117972 
"128/64" 260136 196597 190528 190731 198708 
"128/128" 299792 318465 261657 264493 273522 
"256/4" 14208 14096 15412 12104 14486 
"256/8" 50147 49422 51622 24963 53814 
"256/16" 98873 94922 98194 93639 88916 
"256/32" 135099 168859 162127 160696 154321 
"256/64" 220670 258620 223985 216227 241030 
"256/128" 318069 426628 326483 377572 384329 
"256/256" 565185 480463 519266 521283 532133 
"512/4" 14694 15405 22431 15386 8198 
"512/8" 29960 29005 29973 29607 26873 
"512/16" 92788 93005 95114 84377 97653 
"512/32" 131249 199528 47881 150808 147544 
"512/64" 272633 240377 260559 117917 243815 
"512/128" 328220 326325 313739 389969 316653 
"512/256" 447131 548134 538377 468800 474078 
"512/512" 716112 685263 863551 761841 715159 
"1024/4" 22336 14977 19120 14739 15745 
"1024/8" 30947 26893 27217 25536 38765 
"1024/16" 61798 36446 61956 55846 57022 
"1024/32" 179677 156763 70358 178215 196504 
"1024/64" 275480 253587 297748 66902 247751 
"1024/128" 454888 474068 462331 491594 496596 
"1024/256" 658959 591935 686227 574285 632840 
"1024/512" 872995 654341 726261 763576 846331 
"1024/1024" 890553 894262 1080004 996094 941093 
"2048/4" 26179 16557 25181 11015 20027 
"2048/8" 35245 25531 36199 39847 45359 
"2048/16" 49239 56563 73679 63926 41631 
"2048/32" 102997 69322 110154 112700 105704 
"2048/64" 306446 272706 303715 280004 278787 
"2048/128" 492208 175807 506906 541958 584953 
"2048/256" 629769 639188 634655 726740 677877 
"2048/512" 759646 859096 876362 783481 1039590 
"2048/1024" 1147343 1199744 224856 1201758 1004458 
"2048/2048" 1140942 1080249 1204792 1290592 1194904 
"4096/4" 20266 24037 26172 17383 16255 
"4096/8" 39329 33817 32688 25822 44530 
"4096/16" 72670 91202 76577 74751 75618 
"4096/32" 104811 125413 105239 95920 87128 
"4096/64" 206514 169542 189462 195644 234592 
"4096/128" 420757 387660 423621 427819 413446 
"4096/256" 739625 753773 734314 732873 713692 
"4096/512" 914464 899667 927949 889650 903784 
"4096/1024" 1136474 1175028 1176074 1262315 396664 
"4096/2048" 1289605 1350533 1270061 1300736 1347461 
"4096/4096" 1445288 1348307 1193062 1312762 1429177 
"8192/4" 15613 20546 22501 18817 19706 
"8192/8" 50385 42734 44704 53690 43671 
"8192/16" 84728 93071 66376 56393 81880 
"8192/32" 128311 117682 139800 136310 97880 
"8192/64" 215126 295400 170994 230974 165823 
"8192/128" 285316 317802 291852 465189 338583 
"8192/256" 735962 730905 775460 437325 755926 
"8192/512" 916631 999154 941935 876796 848916 
"8192/1024" 1081453 1117433 1258561 1207901 981543 
"8192/2048" 1136843 1161673 1213961 1238018 772184 
"8192/4096" 1403022 1340564 1291292 1325361 1446067 
"8192/8192" 1604709 1449667 1369688 598082 1599034 
"16384/4" 7230 6804 9521 7576 7965 
"16384/8" 39022 26371 26801 45152 38100 
"16384/16" 70341 81967 88407 73898 62313 
"16384/32" 71333 120752 144221 144222 105217 
"16384/64" 266480 234940 208408 215587 223075 
"16384/128" 311483 334463 242966 265031 349831 
"16384/256" 688145 638752 713688 523434 728695 
"16384/512" 916787 911437 909663 970561 867070 
"16384/1024" 1053368 834421 1043896 1249063 1072605 
"16384/2048" 1311144 1206116 1371624 1355392 1163380 
"16384/4096" 1215525 1195042 1210749 1474293 1387520 
"16384/8192" 1318086 1399502 1645470 1610230 1488633 
"16384/16384" 1689069 1702586 1361380 1737806 1603280 
"32768/64" 232571 168349 227892 207015 208818 
"32768/128" 413711 284239 379888 270985 296999 
"32768/256" 735633 590361 599741 645305 684890 
"32768/512" 922961 966295 1004011 815328 895030 
"32768/1024" 1107549 1183555 1086973 1148628 1084777 
"32768/2048" 1283003 1448757 1345214 1275762 1163220 
"32768/4096" 1310517 1484257 1454799 1657132 1523801 
"32768/8192" 1915023 1601874 1466378 1558674 1620975 
"32768/16384" 1856961 1785528 1804517 1870228 1728535 
"65536/64" 247823 200121 248794 225888 205643 
"65536/128" 375035 375956 378868 274636 287988 
"65536/256" 653652 508907 490469 580088 464106 
"65536/512" 832615 822365 963848 793136 900926 
"65536/1024" 1159045 1157181 1146256 1206855 1207655 
"65536/2048" 1407437 1287823 1502115 1378865 1340725 
"65536/4096" 1378367 1417022 1533798 1571639 1650414 
"65536/8192" 1502945 1717677 1725310 1818266 1866327 
"65536/16384" 1661789 1869576 1790504 2088264 1907777 
"131072/64" 199073 141581 166636 191746 158423 
