Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 4274062 4018152 6421025 4018152 5860307 
"64/8" 4274062 5389653 4207076 7100397 4897948 
"64/16" 4564786 7100397 7100397 4988978 4897948 
"64/32" 4897948 5860307 5860307 4564786 3541098 
"64/64" 5283570 4274062 5389653 7940539 5283570 
"128/4" 3759450 5379161 3124872 5603747 5325799 
"128/8" 4759253 7582312 4934216 5122535 5325799 
"128/16" 5325799 8036304 4444086 4135958 4135958 
"128/32" 4104338 5545860 2571150 5847904 5847904 
"128/64" 4759253 9129573 6045455 6114306 6406138 
"128/128" 9977956 4934216 6727225 4759253 10779307 
"256/4" 5938650 4009406 3545976 3994490 3950402 
"256/8" 3994490 7791708 9518507 7518900 9518507 
"256/16" 4572895 5810112 4652146 5810112 4572895 
"256/32" 4572895 6398720 7120034 6398720 6249745 
"256/64" 6554972 6719046 10245071 7364196 10245071 
"256/128" 6595234 6761355 6936061 6719046 5242734 
"256/256" 6761355 6554972 5428265 9868433 5242734 
"512/4" 7211022 6104175 4571003 6018636 6491676 
"512/8" 5509113 4650188 6632013 5331314 4228947 
"512/16" 6736026 6821616 9304292 9814569 8808176 
"512/32" 10044089 10856530 9145790 9638369 5067142 
"512/64" 5177083 12499490 6909408 8992598 10235583 
"512/128" 7022379 6999490 7115451 12499490 6909408 
"512/256" 5453155 10044089 10434519 7022379 6999490 
"512/512" 7022379 5760329 7115451 5822804 6931711 
"1024/4" 4339202 4512441 6393168 6128613 3999762 
"1024/8" 9142007 9320560 5336651 5917516 7769397 
"1024/16" 5821271 5120336 6692005 6163794 10689164 
"1024/32" 6059442 7369466 10531896 6609617 6025439 
"1024/64" 6918376 6819511 5690162 7986094 7020149 
"1024/128" 7113161 5853003 11773301 6280976 12348754 
"1024/256" 7008693 10255274 9765601 10796646 5194651 
"1024/512" 6787181 9064828 9743447 6059442 9832672 
"1024/1024" 9320560 6355328 6733974 8768716 6529233 
"2048/4" 5900467 6479029 5336007 4257067 5640860 
"2048/8" 7969835 7393606 5549749 5444228 5785224 
"2048/16" 7088541 9796850 5564129 9179186 5953632 
"2048/32" 8357547 6382745 9610516 9179186 9024882 
"2048/64" 9483197 6629029 8903279 10503637 6623917 
"2048/128" 6114678 6303124 9752360 9389900 9610516 
"2048/256" 8866519 9062970 9189005 6717153 6802261 
"2048/512" 6649556 6503556 8830061 7262337 6711905 
"2048/1024" 8565901 6823876 6523312 8713618 8431376 
"2048/2048" 5251194 6498636 6483920 6284678 8159088 
"4096/4" 5841891 6370451 6410863 6321227 4219226 
"4096/8" 6964419 5306022 9307517 5513780 7935986 
"4096/16" 8888565 5926533 9038203 5746149 8256354 
"4096/32" 9729195 9846293 6608135 9000323 9227530 
"4096/64" 10012712 9571993 9062041 10190895 9332798 
"4096/128" 7015611 8717180 9636422 9550708 7038605 
"4096/256" 9960466 10950922 6953144 10319444 7173805 
"4096/512" 9292414 6930704 10012712 6964419 10239486 
"4096/1024" 7222056 9550708 9989424 9440496 7087972 
"4096/2048" 6309619 6975730 6703539 6780263 6532752 
"4096/4096" 7969117 6490793 6330545 6522830 8463799 
"8192/4" 4216019 6420214 6339662 6425016 4478702 
"8192/8" 7728574 7468200 8192973 7474698 8226319 
"8192/16" 6168929 7321790 9266865 6450345 6930432 
"8192/32" 6809564 10238893 9965682 7313997 10422130 
"8192/64" 7006749 10409500 7447157 9558162 10556617 
"8192/128" 7230880 9753515 10556617 10569606 7243074 
"8192/256" 9492149 6737460 10572859 9362822 11266205 
"8192/512" 7262978 10598950 10488942 10463389 8819674 
"8192/1024" 9988860 7320230 7205103 9682056 8605412 
"8192/2048" 8490582 9124139 6345516 6983962 10501766 
"8192/4096" 7765253 6521352 8358395 6244039 6848927 
"8192/8192" 6548696 6364322 7128863 7230880 5619105 
"16384/4" 6595715 6506413 6282173 6478809 4254600 
"16384/8" 7195149 7570887 6402750 8233027 7677462 
"16384/16" 8410367 9246672 9304262 9389438 8519852 
"16384/32" 6764523 9978425 10033789 6827021 7674033 
"16384/64" 5756940 10988425 10842786 10362106 10603539 
"16384/128" 10168903 10107580 7627187 11306626 6564213 
"16384/256" 11528555 8225143 7768594 10729361 8423769 
"16384/512" 10220324 10417083 7183116 7198918 9781010 
"16384/1024" 11360833 9051796 10569291 11330862 7288248 
"16384/2048" 10357421 11394742 9942333 10396595 6986664 
"16384/4096" 8187902 6737331 8367356 7167383 8355148 
"16384/8192" 6034479 6301760 6700543 6690106 6764523 
"16384/16384" 6857679 6579926 5973110 7031703 5561715 
"32768/64" 7195453 9642940 11284166 9947950 9773224 
"32768/128" 10876083 8493425 9105049 9481945 10549662 
"32768/256" 10814466 10825540 10786458 10922758 10793234 
"32768/512" 11161370 10458944 10807663 12342075 10743456 
"32768/1024" 9807396 11421071 10793234 12235496 10941018 
"32768/2048" 10621407 10746816 10583783 11586680 11591566 
"32768/4096" 7841195 8084736 8612107 8200509 8064811 
"32768/8192" 6809705 5964247 6738258 6639946 6868236 
"32768/16384" 6633216 7022651 6779808 6705056 6664415 
"65536/64" 9761356 10365004 9338215 11377488 12192516 
"65536/128" 10864822 11287319 10845104 11607624 10359926 
"65536/256" 12307154 11874388 10951832 11223718 11429051 
"65536/512" 11431428 9829774 10049717 11700514 9370367 
"65536/1024" 10933536 11529723 11204503 12002979 11115247 
"65536/2048" 9455462 10772004 11200850 10385760 11917633 
"65536/4096" 8419233 8749669 8901830 9101071 8893478 
"65536/8192" 6564749 6926178 6433834 6915375 6587245 
"65536/16384" 7001866 6975745 6791333 6922690 5874990 
"131072/64" 11306077 12118286 11575803 11296552 10846774 
"131072/128" 11518805 12100415 12331394 12523537 11352303 
"131072/256" 11401510 12603064 11691507 12561883 11077799 
"131072/512" 11639525 11625987 11959063 11857435 11512534 
"131072/1024" 11624020 11807265 11633368 11897208 11760537 
"131072/2048" 11746967 11702707 11101287 11704949 12369961 
"131072/4096" 8926809 9423501 9086451 9122487 9111752 
"131072/8192" 6910142 6846631 6862785 6886857 6843733 
"131072/16384" 6901468 6889878 6909795 6943131 6870332 
"262144/64" 11055834 11619943 12019961 11763784 12306661 
"262144/128" 12350759 12474773 11854214 11840299 11903752 
"262144/256" 9393135 12317690 12430348 12164514 12342579 
