Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 4564786 3541098 6421025 5860307 3958892 
"64/8" 4643754 5860307 2278628 3541098 4564786 
"64/16" 3791156 4018152 3958892 3738358 4018152 
"64/32" 4988978 4564786 2467108 3363612 4274062 
"64/64" 2379626 3363612 4897948 3541098 3541098 
"128/4" 3199360 2660335 3982553 2843510 3468030 
"128/8" 2770150 4889281 3657016 2905056 3657016 
"128/16" 3895854 3982553 3277486 5325799 5325799 
"128/32" 3036502 4596273 3277486 4135958 3982553 
"128/64" 3106789 3560017 3895854 3759450 4012317 
"128/128" 3106789 4557257 2326073 5545860 3895854 
"256/4" 3123106 3605511 3454704 5217259 3605511 
"256/8" 3236056 3823789 3994490 3865082 6249745 
"256/16" 3368013 5938650 3879045 5687020 3823789 
"256/32" 5569035 4264168 3879045 3705040 4264168 
"256/64" 3410808 3654598 3770085 5810112 5687020 
"256/128" 3410808 3879045 4264168 3605511 4652146 
"256/256" 5971678 5971678 3705040 5687020 5117791 
"512/4" 3533174 3795443 3822466 5344582 4973263 
"512/8" 4447925 4000485 5566231 3684733 5968453 
"512/16" 3905895 6246213 6018636 6652558 5807059 
"512/32" 5822804 5624545 4305250 5760329 4131319 
"512/64" 3736016 6909408 3905895 6174377 4099771 
"512/128" 3736016 4532414 4091959 6156675 4271001 
"512/256" 5886650 4340054 4827914 4030519 5744919 
"512/512" 3877684 6246213 4411377 4099771 3877684 
"1024/4" 3880507 6244448 4848656 4095102 5690162 
"1024/8" 4304412 3984917 3923040 5950309 6025439 
"1024/16" 5065980 3937426 4270175 6431462 6280976 
"1024/32" 5630486 6787181 6918376 4014717 4232305 
"1024/64" 6529233 6364746 6519323 3908759 4048778 
"1024/128" 4415030 4339202 4762630 7472033 4433259 
"1024/256" 4249053 4433259 4304412 4531485 4339202 
"1024/512" 7420395 6650556 4392454 7113161 6650556 
"1024/1024" 4304412 6830356 4943530 4512441 6692005 
"2048/4" 5267294 4138120 4394265 4923146 6171791 
"2048/8" 4338776 4552633 4572018 6261772 6171791 
"2048/16" 6802261 4358590 4613765 4540600 4594025 
"2048/32" 6543188 7286980 7262337 4248644 6543188 
"2048/64" 6171791 4663865 5884299 4540600 4875642 
"2048/128" 6321679 4481379 4994712 6873016 6829301 
"2048/256" 6588354 5020987 4762117 4490751 4983122 
"2048/512" 4923146 5991003 7503399 5018054 6479029 
"2048/1024" 7112016 5416763 5345969 4631177 5816563 
"2048/2048" 6280083 4754210 4807425 7036283 7286980 
"4096/4" 3938705 5859825 6459069 6272759 5389246 
"4096/8" 6022095 5988509 6989921 5057654 6953144 
"4096/16" 7035723 4718699 7135072 4639689 7073381 
"4096/32" 7038605 7408930 6714018 7326777 6706156 
"4096/64" 7286380 7502762 7486415 6430059 6693092 
"4096/128" 6727163 7447471 6861502 5777065 5036894 
"4096/256" 6826060 4796426 5001700 7421732 6850558 
"4096/512" 4723889 5225329 7367624 7367624 6649056 
"4096/1024" 4746074 6953144 6793669 7473388 5120972 
"4096/2048" 4958393 6449370 7396171 5013377 8276241 
"4096/4096" 4623457 4362802 6628532 4876757 4597474 
"8192/4" 4228992 6440672 6460047 4433053 5932474 
"8192/8" 6409435 4740709 6804170 6995337 7061469 
"8192/16" 7160060 5672914 5569014 4782278 4687034 
"8192/32" 6737460 6094523 4922735 5928379 6770651 
"8192/64" 5025700 7565215 5197511 6018726 4821197 
"8192/128" 5034537 7537004 5159270 7507362 4979812 
"8192/256" 6527546 7495897 7576893 6854392 7565215 
"8192/512" 6311712 7585256 6350207 7600357 6496691 
"8192/1024" 6590145 6959913 5076189 5603526 6924845 
"8192/2048" 4325349 5295233 5406890 6742748 4941141 
"8192/4096" 5978928 6440672 6360787 5817959 4584473 
"8192/8192" 5461029 5129233 5516264 5584401 4273171 
"16384/4" 6270136 6491049 5347067 6537983 4240161 
"16384/8" 6527426 4782546 7145026 5361251 4827566 
"16384/16" 7410062 7268974 7295211 7288248 6212881 
"16384/32" 4982630 5614884 5929815 4936458 6641612 
"16384/64" 5257880 7652668 7173368 7516235 7317740 
"16384/128" 7086085 7382994 5110468 7546776 7627187 
"16384/256" 6462967 5234650 7645856 5070872 6025484 
"16384/512" 7189127 6840613 6781211 6325543 5123041 
"16384/1024" 7160661 6008099 5131457 7698966 5070872 
"16384/2048" 7581746 5567122 7108073 7145026 5025996 
"16384/4096" 5642083 4653015 5514407 5997088 6017042 
