Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 3057153 1879725 2923952 1679761 1638743 
"64/8" 4018152 1679761 3203069 3203069 4018152 
"64/16" 2689580 4274062 1879725 2662899 2561267 
"64/32" 5389653 2561267 5389653 3541098 3541098 
"64/64" 1892980 2801873 4018152 2662899 2662899 
"128/4" 2066432 1455701 2660335 1749872 2090572 
"128/8" 2202044 2175277 3359523 2905056 3380677 
"128/16" 2660335 2727923 2727923 2140585 2727923 
"128/32" 4596273 2499332 2499332 3277486 4934216 
"128/64" 4267461 3199360 4407601 4267461 4596273 
"128/128" 2608629 2409592 3053774 3124872 2409592 
"256/4" 2699161 1778290 3159869 2692393 2699161 
"256/8" 2325094 3159869 3879045 3557725 3654598 
"256/16" 2310087 2747508 2325094 2726577 4070199 
"256/32" 2330140 4404088 4734192 4840911 3123106 
"256/64" 5455847 5320671 3654598 3557725 3557725 
"256/128" 7571923 4819184 4264168 6554972 4840911 
"256/256" 3316006 3368013 5142301 3368013 3368013 
"512/4" 1803387 1827947 1924603 3220553 2047551 
"512/8" 2625909 2357784 2357784 3815675 3849877 
"512/16" 3849877 3941742 2753870 3264616 3046915 
"512/32" 4882800 3437042 3029721 3481620 3610395 
"512/64" 2736325 2926501 2875558 3299730 3279573 
"512/128" 3029721 4494470 3284589 3158966 5067142 
"512/256" 4871723 4262523 8665997 4927617 4916336 
"512/512" 5278892 3437042 3877684 3934520 3431550 
"1024/4" 2900425 3261656 2039583 2031864 2900425 
"1024/8" 4211554 4215688 3541348 3821805 2659742 
"1024/16" 3738636 4694950 4854136 2694787 4574926 
"1024/32" 3200886 2803859 5251818 2926114 3130886 
"1024/64" 5251818 2985091 4211554 4110780 4654248 
"1024/128" 5120336 3029305 5479632 3229770 5096034 
"1024/256" 4451639 3414650 3696803 3735385 5536137 
"1024/512" 7644933 6963241 8199542 7524394 4995276 
"1024/1024" 5564829 5593820 3751699 6093831 4898425 
"2048/4" 3079044 2434922 2180847 2365196 1980705 
"2048/8" 3657149 2373037 2569678 3586902 2575842 
"2048/16" 3016334 3038742 4581773 3517861 2977647 
"2048/32" 3764533 3297725 4310472 3199462 3175804 
"2048/64" 5135046 3250308 3234398 5184636 4559883 
"2048/128" 3234398 2873074 3899542 4540600 2916978 
"2048/256" 4889518 4196751 4994712 3174630 4886737 
"2048/512" 5264067 3764533 3871422 4971585 4934459 
"2048/1024" 6670210 5083385 4772701 4957240 4923146 
"2048/2048" 5172149 4831762 5264067 3555722 4559883 
"4096/4" 1964355 2714122 3023131 2285832 2689478 
"4096/8" 3810292 3889659 3893185 3527834 3602551 
"4096/16" 3989004 3977000 4441761 2759904 3664018 
"4096/32" 4032070 3158176 3368069 3096138 4623457 
"4096/64" 4819300 4249491 3565171 3555579 3091680 
"4096/128" 4117102 4501111 4453274 3250804 4491697 
"4096/256" 4047268 4047268 3341213 4043458 4117102 
"4096/512" 4249491 3220336 3720353 4205798 3245890 
"4096/1024" 4824714 4586428 3527834 4796426 4858827 
"4096/2048" 4613524 4713521 5867831 5038371 5113352 
"4096/4096" 4541567 4922872 4965558 4315676 4607338 
"8192/4" 2728088 2970290 2588342 2412935 2509144 
"8192/8" 3528126 2471958 2911150 3272728 3744193 
"8192/16" 3873350 3637565 3804725 4137332 3156669 
"8192/32" 4469381 3080815 4079854 3485889 4641448 
"8192/64" 4703073 5100301 4568624 3153193 5139206 
"8192/128" 3032953 3041006 4313945 4280090 3007204 
"8192/256" 3086627 3783776 3986600 2939290 3025209 
"8192/512" 2946853 3052081 4075498 3008521 4186227 
"8192/1024" 3255981 3376942 3951754 4231075 2808359 
"8192/2048" 3463751 3917512 3471099 4185717 4415961 
"8192/4096" 4489235 5572627 5740202 5607184 5580773 
"8192/8192" 3185053 4187757 4037189 4313945 4500997 
"16384/4" 2325311 3023985 1931580 2296251 2189856 
"16384/8" 2958500 3093687 3262443 3434118 2507112 
"16384/16" 3945131 2996949 4288854 2929368 3750898 
"16384/32" 3632913 3811860 4589312 3117829 3306554 
