Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 1421755 1226821 1210227 1492919 1828508 
"64/8" 1518251 1460430 1105556 2358717 1357066 
"64/16" 2203800 1363961 1526887 1363961 1599680 
"64/32" 2772930 2892445 1679761 1722886 1828508 
"64/64" 1392258 1255511 1336792 1385075 1879725 
"128/4" 1579934 998261 1007629 1755594 1561553 
"128/8" 1111981 1705404 1254941 1281909 2166499 
"128/16" 1440082 1373754 1618028 1622919 2202044 
"128/32" 2248149 3053774 1637771 1710838 1663139 
"128/64" 1561553 1684006 1663139 1543594 2511022 
"128/128" 1526043 1603529 1598754 1584598 1579934 
"256/4" 1673001 1718521 1248819 1248819 1368162 
"256/8" 2049885 2223962 1354356 1455317 2266207 
"256/16" 1629830 2305128 1497953 1375171 2223962 
"256/32" 1649865 2557711 2613746 1707589 1718521 
"256/64" 1894373 2000242 1967260 2148318 1897721 
"256/128" 2692393 1881098 2015259 1911233 1938842 
"256/256" 1755037 2486631 2392442 2205688 2266207 
"512/4" 1105920 1143004 1803387 1187895 1546280 
"512/8" 1368865 2285029 2055390 1152822 1391933 
"512/16" 1945526 2327124 1575781 1712772 2169601 
"512/32" 1904125 2830083 1662389 2926501 2178404 
"512/64" 2942541 1848401 1809465 1827947 1961520 
"512/128" 2007358 2091421 2065273 3068685 2039772 
"512/256" 2065273 2132967 2178404 3220553 2105777 
"512/512" 2625909 1580419 1809465 1823291 1809465 
"1024/4" 1747480 1289855 1216082 1964935 1356245 
"1024/8" 1587902 2178189 1495042 1289467 1370965 
"1024/16" 2321847 2410457 2659742 1675884 2586074 
"1024/32" 2723840 1756772 2638501 1835608 2737730 
"1024/64" 2674649 1805514 1851434 2646630 1720874 
"1024/128" 2910252 1939207 2027069 1946237 2666347 
"1024/256" 3140041 2065081 2192645 3048658 2138070 
"1024/512" 2182617 2160657 2316837 2321847 2343383 
"1024/1024" 1906496 2612819 1931359 1914144 2619192 
"2048/4" 1245675 1257897 1282308 1283266 1249480 
"2048/8" 1526066 2378293 1610168 1548069 1820362 
"2048/16" 2599225 2669500 1768274 2064488 1846580 
"2048/32" 2748949 1856558 1488257 2687877 2525110 
"2048/64" 2853035 1728076 2869235 2913021 1780738 
"2048/128" 2172024 1930406 1926942 1900089 2470639 
"2048/256" 1880950 2087567 1998214 2172024 2720222 
"2048/512" 2938934 2204918 2345819 3246623 3210223 
"2048/1024" 2288326 2426668 2378293 2683678 3482209 
"2048/2048" 2072957 2005679 2645657 1937372 2909075 
"4096/4" 1228203 1282385 1447846 1374520 1261851 
"4096/8" 1542205 1544562 1569825 1294171 1386165 
"4096/16" 2607037 2659502 2064440 2418063 1707434 
"4096/32" 2786313 2828518 2778652 1840015 2401165 
"4096/64" 1878031 2605455 2590526 2588965 2416702 
"4096/128" 1921297 2555081 2582349 1685489 1891888 
"4096/256" 1991221 2769693 2761679 1878031 2425231 
"4096/512" 2003996 2759904 2122332 2181070 2063448 
"4096/1024" 2905044 2579635 2235854 2936325 3133979 
"4096/2048" 2752387 2423862 3199942 2549015 2392470 
"4096/4096" 2661562 2420789 2862450 1932970 2884558 
"8192/4" 1288048 1438982 1574776 1686963 1571463 
"8192/8" 1432383 1780038 1696793 1899817 1314510 
"8192/16" 1713804 2435857 1614208 1773606 1692947 
"8192/32" 1805574 2166056 2262324 1913572 2264859 
"8192/64" 2279887 2934020 2427940 2569758 1848808 
"8192/128" 2537121 2964907 2691123 2629946 2994102 
"8192/256" 1850799 2283220 2582505 2608780 2681462 
"8192/512" 2463097 2659668 3036437 2464511 1956058 
"8192/1024" 2298493 2576116 1910487 2019639 2469648 
"8192/2048" 2429313 2254900 2513733 2137756 3008521 
"8192/4096" 2673533 3357474 3489075 2671039 2830803 
"8192/8192" 1874221 2555994 2052699 2115642 2539371 
"16384/4" 1276013 1705417 1562594 1628778 1272752 
"16384/8" 1481795 1554324 1827557 2024686 1547568 
"16384/16" 1711448 2007064 2319033 2271507 2429039 
"16384/32" 2223945 2351972 2172961 1822082 1739257 
"16384/64" 1870080 1860561 2160323 2713095 1848997 
"16384/128" 2225169 1782060 2691629 2877482 2011529 
"16384/256" 1726281 2633151 2432306 1786275 1687493 
"16384/512" 2166658 2129462 2592033 2573685 2367285 
"16384/1024" 2318016 2765615 2725254 2584623 1854235 
"16384/2048" 2550474 2773204 2222506 2891649 1851937 
"16384/4096" 2821482 2861784 2035782 2131113 2138940 
"16384/8192" 3263683 2914706 3613618 3283330 2829265 
"16384/16384" 2335903 2552463 2565614 2212275 2015718 
"32768/64" 2596136 3078567 1954651 2138601 2545269 
"32768/128" 1800829 1862977 2397756 2300318 1775563 
"32768/256" 2199769 2281719 1703933 2194465 2365240 
"32768/512" 2313132 2718666 2016629 1911135 2022475 
"32768/1024" 1856134 2168463 2241785 1919838 1842769 
"32768/2048" 2275411 2701194 2803800 1971841 2283198 
"32768/4096" 2749669 2798263 2825299 2759607 1997926 
"32768/8192" 3141116 3255011 3244330 2313132 2106059 
"32768/16384" 3805823 3569026 2954481 3685104 3753849 
"65536/64" 2748289 2132013 2980520 3061416 1960517 
"65536/128" 2027410 2003909 2228966 2217565 2618188 
"65536/256" 2073332 1890601 2022785 2177564 2295396 
"65536/512" 1850620 2820683 2722970 2352242 2560509 
"65536/1024" 2799027 2791862 1984322 2158346 2718446 
"65536/2048" 2463023 2685671 2036739 1959986 2329497 
"65536/4096" 2403581 2487227 2669059 1970580 2283801 
"65536/8192" 2721137 2694173 2818023 2633237 1965283 
"65536/16384" 3509103 2874906 3490965 3495626 3461641 
"131072/64" 2356303 2326281 2211097 2937062 2266578 
"131072/128" 2516980 2616989 2248694 2375434 2339189 
"131072/256" 2698786 2043726 2289868 2661794 2635734 
"131072/512" 2703564 2801520 2719681 2604924 2566867 
"131072/1024" 2681725 2680417 2553715 2790004 2610156 
"131072/2048" 2562452 2725276 2747435 2625701 2690360 
"131072/4096" 2634345 2642843 2629532 2654148 2663315 
"131072/8192" 2721134 2735405 2730202 2716402 2699674 
"131072/16384" 2949020 3039914 3078022 3068367 3062010 
"262144/64" 3098518 2821606 2539048 2588744 2953272 
"262144/128" 2440523 2439641 2416961 2410766 2452669 
