Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 32210 32048 32144 32210 27504 
"64/8" 61303 61783 64655 60488 55269 
"64/16" 107727 110521 111485 106109 89903 
"64/32" 207157 188798 198722 140630 172537 
"64/64" 336467 284418 262193 293755 282027 
"128/4" 32314 31945 29914 32023 32762 
"128/8" 64482 62712 63371 52656 60637 
"128/16" 109302 90660 117765 95941 110631 
"128/32" 158612 132240 153312 141736 174603 
"128/64" 222601 251484 236631 294207 288981 
"128/128" 329812 564055 384356 452366 351630 
"256/4" 31277 31128 31604 31253 29177 
"256/8" 49786 58797 56662 60835 55907 
"256/16" 102605 124697 120756 102732 106757 
"256/32" 196303 167228 181320 177044 185903 
"256/64" 289589 226968 277969 276466 262284 
"256/128" 388501 500857 486779 481109 506050 
"256/256" 643419 746272 700964 516270 643033 
"512/4" 30054 31894 31752 30830 31389 
"512/8" 63078 63247 61039 64336 64419 
"512/16" 94674 105373 177041 91394 94449 
"512/32" 183376 178143 179333 155481 178825 
"512/64" 261225 285235 271771 302940 326772 
"512/128" 399992 577932 336870 580588 387926 
"512/256" 686139 768934 691887 802555 606667 
"512/512" 941133 946109 866338 846197 820650 
"1024/4" 31739 17129 22163 25064 33995 
"1024/8" 53408 25379 45154 60996 63511 
"1024/16" 117230 123044 122298 122942 113690 
"1024/32" 183979 198218 197571 202690 227658 
"1024/64" 289110 314009 309194 311437 260699 
"1024/128" 484387 409754 484824 580181 521626 
"1024/256" 803878 622927 704808 777537 778101 
"1024/512" 810859 821876 864908 800582 910953 
"1024/1024" 1019987 1065535 1010864 1119120 994020 
"2048/4" 27098 30149 23227 31390 27768 
"2048/8" 50233 48435 64019 69061 43397 
"2048/16" 108912 115770 126141 115733 74410 
"2048/32" 190157 185644 208595 208575 198814 
"2048/64" 282491 293283 333825 339244 288370 
"2048/128" 528130 508707 555450 580683 527287 
"2048/256" 738296 779004 800343 742315 675638 
"2048/512" 847651 812686 905365 828759 966485 
"2048/1024" 1100454 1226466 960219 1183218 1071223 
"2048/2048" 1162246 1140185 1224892 1156300 1081882 
"4096/4" 21594 33221 28579 24709 28200 
"4096/8" 55125 59822 52156 46210 57329 
"4096/16" 102956 70850 110347 120265 103596 
"4096/32" 176354 195579 209204 220345 204554 
"4096/64" 308619 285376 287092 385183 325002 
"4096/128" 397435 415406 409143 553282 435608 
"4096/256" 812870 746794 769197 780165 794562 
"4096/512" 915536 945986 915341 901650 973374 
"4096/1024" 1044635 1234025 1271188 993699 1227852 
"4096/2048" 1232255 1469142 1136474 1183202 1090521 
"4096/4096" 1368062 1225574 1376834 1264173 1109108 
"8192/4" 20860 21058 17651 24763 16884 
"8192/8" 46138 57579 34545 46113 44536 
"8192/16" 91960 97693 93305 102437 70373 
"8192/32" 217347 111088 228793 148075 223629 
"8192/64" 362559 354645 344276 311591 370811 
"8192/128" 548730 529606 583101 591483 576207 
"8192/256" 855106 733715 781901 762620 775023 
"8192/512" 1101386 884379 1106137 1105532 913390 
"8192/1024" 1312853 1032263 1062229 1059511 1059903 
"8192/2048" 1477342 1560685 1527520 1238777 1387274 
"8192/4096" 1474995 1383754 1452732 1199761 1237082 
"8192/8192" 1367616 1284005 1478168 1488671 1541016 
"16384/4" 9112 15861 9624 8646 8169 
"16384/8" 49301 43128 35521 43751 45172 
"16384/16" 81503 78489 100861 73787 83484 
"16384/32" 176169 177028 181705 150902 147986 
"16384/64" 245714 201213 212809 192381 299788 
"16384/128" 639728 565281 552190 561095 404104 
"16384/256" 777705 767362 315755 974429 804001 
"16384/512" 933564 1150813 962851 989498 1097741 
"16384/1024" 1286139 1212287 1231690 1329330 1287127 
"16384/2048" 1518031 1543328 1266536 1510457 1241212 
"16384/4096" 1609098 1543189 1643031 1635640 1750065 
"16384/8192" 1711108 1582202 1637901 1666742 1630092 
"16384/16384" 1691356 1892118 2091165 1963817 2145351 
"32768/64" 302734 253561 279026 210408 266267 
"32768/128" 501745 389464 528369 366470 498547 
"32768/256" 211869 521659 466993 623108 768589 
"32768/512" 1153274 982430 1237744 897585 988564 
"32768/1024" 1523953 1225428 1302235 1298617 1525289 
"32768/2048" 1488839 1658212 1469482 1524798 1587443 
"32768/4096" 1747635 1646866 1658792 1630088 1632760 
"32768/8192" 1875664 1581233 2072991 2190513 2219305 
"32768/16384" 1980536 2003167 2346784 2039462 2280773 
"65536/64" 267855 296334 260920 193683 249145 
"65536/128" 484160 439611 448366 498406 491233 
"65536/256" 706382 555233 550228 595046 551784 
"65536/512" 1167513 709393 948601 929376 490387 
"65536/1024" 1669824 1624911 1682313 1420713 1642711 
"65536/2048" 1902074 1713181 1895202 1648998 1892631 
"65536/4096" 1972914 1985641 1996457 1913954 2087059 
"65536/8192" 2078333 2056025 2063743 2365074 2296681 
"65536/16384" 2329833 2183514 2324631 2445558 2347020 
"131072/64" 158267 177768 155572 159793 161192 
"131072/128" 263657 205624 249747 319085 264821 
"131072/256" 353110 486116 361782 391660 502572 
"131072/512" 499868 634228 613115 677532 680653 
"131072/1024" 983839 937225 927227 1270988 1411273 
"131072/2048" 1692843 1902158 1611668 1604541 1711367 
"131072/4096" 1989671 1946218 1988498 2016462 1932957 
"131072/8192" 2074645 2063153 2063316 2280143 1996739 
