Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 18991 19281 13837 16512 13487 
"64/8" 28802 29052 32804 27433 23783 
"64/16" 48298 44688 50469 37231 50630 
"64/32" 65507 64968 76091 51074 71263 
"64/64" 171655 202469 147184 195680 222989 
"128/4" 11588 16016 15839 15511 13784 
"128/8" 35644 30872 33763 29263 24720 
"128/16" 57605 49381 55104 41026 51425 
"128/32" 84990 76143 93567 75649 75553 
"128/64" 127105 133456 111019 118180 112768 
"128/128" 264493 352785 352553 302666 285144 
"256/4" 10133 8611 9996 11784 9971 
"256/8" 27823 21708 24975 24221 24866 
"256/16" 49014 56587 55100 57878 62899 
"256/32" 88426 106661 90072 104400 98051 
"256/64" 191917 172632 142221 179141 164512 
"256/128" 241300 272883 141901 238354 231719 
"256/256" 507966 625794 472430 470566 488551 
"512/4" 16290 15557 16377 19257 9507 
"512/8" 23141 22272 22904 25457 20587 
"512/16" 47747 59617 48264 54941 66510 
"512/32" 114668 102155 111570 121211 122253 
"512/64" 142578 231564 198605 212900 217603 
"512/128" 331616 282570 330748 322212 288105 
"512/256" 411568 382672 453074 432106 407971 
"512/512" 791318 660803 824431 704137 888930 
"1024/4" 10372 15823 16409 11270 18053 
"1024/8" 25642 27560 26681 28788 29741 
"1024/16" 24057 36623 30718 46807 54459 
"1024/32" 125090 111950 127014 109496 132353 
"1024/64" 214450 174359 211222 200626 185979 
"1024/128" 323957 331049 296904 403935 334191 
"1024/256" 578228 457992 502935 503701 511500 
"1024/512" 801179 729344 690530 694663 593571 
"1024/1024" 904621 1146913 899694 929082 870871 
"2048/4" 18997 19916 14175 16667 16031 
"2048/8" 19044 23631 19648 46488 33596 
"2048/16" 77968 72057 65100 47477 49703 
"2048/32" 85558 80254 82447 67922 112489 
"2048/64" 182792 237449 263238 172247 233518 
"2048/128" 385981 323090 370802 420955 390828 
"2048/256" 602007 657033 538391 555773 581626 
"2048/512" 769100 682889 809545 792809 913453 
"2048/1024" 929263 984541 963774 1105837 865239 
"2048/2048" 1060511 1105268 1063399 1348327 992734 
"4096/4" 18843 18499 19408 17378 13411 
"4096/8" 32359 35806 29714 29437 32499 
"4096/16" 45673 90941 80426 50903 74292 
"4096/32" 112734 141284 152544 98863 80558 
"4096/64" 196516 171639 165648 176940 133090 
"4096/128" 379256 384958 422922 498779 409719 
"4096/256" 585907 665478 788761 628912 601540 
"4096/512" 896708 857972 1007096 919850 875416 
"4096/1024" 974533 1312361 1392683 1099314 1254114 
"4096/2048" 1110901 1195886 1338954 1339059 1180762 
"4096/4096" 1305282 1214656 1425738 1125603 1183773 
"8192/4" 17732 17480 14331 17421 17020 
"8192/8" 29562 36796 34420 32552 32131 
"8192/16" 63447 72214 70792 52793 63457 
