Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 30962 30432 30246 30445 23738 
"64/8" 50832 58715 49120 46172 46283 
"64/16" 95535 106826 102738 96082 79002 
"64/32" 194545 158761 176276 150907 162411 
"64/64" 256188 267951 184897 265565 223732 
"128/4" 13606 12864 13004 57139 24686 
"128/8" 61625 50572 60521 45993 50553 
"128/16" 90461 71997 109480 93437 108463 
"128/32" 128659 113364 114892 121113 116261 
"128/64" 317711 256042 249034 242839 255433 
"128/128" 404939 468962 370816 508012 330828 
"256/4" 21375 19976 21042 26879 25502 
"256/8" 44707 26633 50751 24724 29363 
"256/16" 20527 92215 102762 82419 79402 
"256/32" 40253 138016 163162 182988 159006 
"256/64" 286040 203947 277323 196771 276751 
"256/128" 399337 488551 548161 494172 467900 
"256/256" 639967 502028 699594 487664 71407 
"512/4" 25035 25842 17947 40289 20015 
"512/8" 52319 50214 50799 50507 46494 
"512/16" 52654 51256 92037 83291 94641 
"512/32" 135737 159797 165371 146368 66727 
"512/64" 223491 251349 215139 261766 305482 
"512/128" 388206 575917 292580 497585 446387 
"512/256" 520879 663252 617659 726285 57663 
"512/512" 1103080 845197 906185 895230 804962 
"1024/4" 32661 24655 30693 20072 27338 
"1024/8" 37121 37102 29736 48052 58198 
"1024/16" 98027 97840 91202 103120 57063 
"1024/32" 100578 84184 86152 185705 165109 
"1024/64" 261699 286105 294260 273202 232994 
"1024/128" 443291 425969 468432 438136 558382 
"1024/256" 699984 669331 621755 753528 331304 
"1024/512" 843505 742584 921705 788819 831100 
"1024/1024" 959810 953630 1164956 908640 1164956 
"2048/4" 29972 31110 30395 35273 33902 
"2048/8" 46238 49784 46948 59168 69295 
"2048/16" 97333 95607 128378 83783 71066 
"2048/32" 146591 158993 107174 130737 133055 
"2048/64" 203216 224094 196999 199007 260586 
"2048/128" 485422 176824 449527 472758 509552 
"2048/256" 664505 678359 676542 694034 614277 
"2048/512" 784626 827482 794055 798409 834232 
"2048/1024" 983189 1199744 1263447 941176 1056727 
"2048/2048" 1480817 1234575 1509175 1186650 504820 
"4096/4" 31577 28760 30816 35418 33018 
"4096/8" 42634 66719 61796 55308 49108 
"4096/16" 107365 109751 125283 100375 109779 
"4096/32" 178732 170015 220702 193080 136774 
"4096/64" 257057 192571 200991 244116 196046 
"4096/128" 428363 219883 371450 366075 226635 
"4096/256" 739211 681881 745142 720003 374200 
"4096/512" 870536 373444 858015 825288 917149 
"4096/1024" 1123101 1003156 944010 1033076 1069743 
"4096/2048" 1190994 1242324 1226274 1183773 1236690 
"4096/4096" 1344298 1373531 1363935 1508619 1362205 
"8192/4" 38121 44944 43276 47663 42121 
"8192/8" 61600 67209 60689 69817 58389 
"8192/16" 109126 117303 105398 98997 94059 
"8192/32" 150757 167961 203927 120715 176657 
"8192/64" 334135 254671 247745 246058 226975 
"8192/128" 577592 359265 468698 531293 465454 
"8192/256" 755860 423860 743704 734907 728951 
"8192/512" 899332 912444 954548 888794 863314 
"8192/1024" 1232998 1012611 1235792 1065424 1076608 
"8192/2048" 1234505 1102694 1195753 1111684 1385428 
"8192/4096" 1269864 1139520 1152477 1163128 1350257 
"8192/8192" 1312201 1233352 1336133 1262445 1297876 
"16384/4" 46773 45784 46656 45455 48391 
"16384/8" 82857 70902 73103 78058 76401 
"16384/16" 129283 114581 90714 118582 110408 
"16384/32" 185989 199607 228900 120832 169935 
"16384/64" 367873 307877 316758 262555 251381 
"16384/128" 458243 436126 394009 466835 480244 
"16384/256" 751666 687422 486982 726945 742024 
"16384/512" 889379 896128 883513 890820 958914 
"16384/1024" 1060734 1076976 1063821 1028568 1006262 
"16384/2048" 1165550 1177675 1150659 1144298 1236611 
"16384/4096" 1249540 1197750 1340297 1485961 1528226 
"16384/8192" 1261375 1333638 1282515 1492318 1383080 
"16384/16384" 1867133 1790977 1414860 1957496 1367040 
"32768/64" 362353 284681 244670 247546 281829 
"32768/128" 396122 430874 356476 385006 448427 
"32768/256" 514710 648331 600884 477563 688969 
"32768/512" 904067 888044 902477 909837 879115 
"32768/1024" 1228968 1126707 867868 1119475 1154252 
"32768/2048" 1168452 1118091 1275277 1197476 1130089 
"32768/4096" 1379593 1325405 1370705 1425629 1437002 
"32768/8192" 1569048 1358873 1471118 1505474 1821135 
"32768/16384" 1527713 1685151 1608643 1948637 1826314 
"65536/64" 253214 287614 227884 321985 297330 
"65536/128" 392287 439871 458489 440015 403117 
"65536/256" 680552 645388 676451 614329 657562 
"65536/512" 697644 679179 810897 694883 736168 
"65536/1024" 1168928 1075717 1302672 1052144 1256752 
"65536/2048" 1313610 1436340 1321396 1398280 1349784 
"65536/4096" 1468131 1422625 1364620 1444385 1396525 
"65536/8192" 1628869 1306877 1507371 1582570 1549788 
"65536/16384" 1680667 1872671 1795017 1995066 1625228 
"131072/64" 249136 338182 318870 315557 357623 
"131072/128" 426077 531878 531217 491799 524649 
"131072/256" 678588 660299 686445 709870 706446 
"131072/512" 779252 718899 810432 742978 872719 
"131072/1024" 1030464 933614 960601 788987 1204572 
"131072/2048" 1478216 1800590 1508793 1441903 1445353 
"131072/4096" 1561008 1672155 1491219 1486530 1637353 
"131072/8192" 1644794 1514738 1565935 1902435 1916147 
"131072/16384" 2069795 2226806 1914046 1991884 1866186 
"262144/64" 315431 331789 388764 336775 281930 
"262144/128" 576180 505875 646456 603815 541113 
"262144/256" 826647 804378 767132 813853 839489 
"262144/512" 978601 929001 952578 1029791 1026329 
"262144/1024" 1104462 1295569 1141305 1052626 1272000 
"262144/2048" 1189552 1330355 1576797 1486827 1316955 
"262144/4096" 1462873 1404497 1655315 1375399 1546626 
"262144/8192" 1580160 1668422 1654563 1719204 1779540 
"262144/16384" 2030361 1976906 2073549 1822952 2156286 
"524288/64" 340656 309930 343196 331039 295344 
"524288/128" 566362 591179 552912 559881 536436 
"524288/256" 902752 863219 1032585 999532 939222 
"524288/512" 1073414 1071591 1107632 1091623 1231220 
"524288/1024" 1272710 1275640 1397373 1376434 1383812 
"524288/2048" 1598574 1460010 1569038 1565170 1550533 
"524288/4096" 1588775 1646525 1658493 1670089 1533126 
"524288/8192" 1842567 1818696 1865807 1889672 1980080 
"524288/16384" 2071646 2116069 2062169 2071646 2093993 
