Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 18002 19076 17279 16310 13649 
"64/8" 31588 32752 29264 26801 30175 
"64/16" 48817 49120 39751 37294 40276 
"64/32" 65651 71112 61840 58231 62140 
"64/64" 160854 150232 176741 232048 170240 
"128/4" 2544 13257 16186 15149 14507 
"128/8" 31381 24796 28532 27765 26111 
"128/16" 51346 50773 58179 48985 48393 
"128/32" 2803 59147 73184 78286 65473 
"128/64" 88712 118860 88028 117972 116361 
"128/128" 216934 330015 244275 281260 247086 
"256/4" 3888 10058 8045 10180 12892 
"256/8" 30922 31276 38693 31307 24770 
"256/16" 52578 52457 60677 50581 67051 
"256/32" 94679 115210 75894 84488 101874 
"256/64" 191883 175711 141527 174031 172604 
"256/128" 263960 245943 212967 238991 232471 
"256/256" 511840 501091 572721 436870 556687 
"512/4" 16294 16053 13837 30176 12240 
"512/8" 22634 24356 20882 18446 23359 
"512/16" 46775 55700 54151 73343 64744 
"512/32" 112059 104833 109942 126988 128508 
"512/64" 145328 158511 142181 205957 198918 
"512/128" 372322 244287 344103 275714 307670 
"512/256" 519744 400664 490426 422832 432802 
"512/512" 718990 688338 810124 859060 664895 
"1024/4" 13041 13774 16013 12871 17564 
"1024/8" 22155 28373 20572 29420 36346 
"1024/16" 36606 56778 43310 42279 39757 
"1024/32" 117042 105014 113548 119182 141222 
"1024/64" 221027 190440 241008 204514 200196 
"1024/128" 352977 385689 340200 388164 368483 
"1024/256" 496826 509981 586839 538702 485317 
"1024/512" 780504 699984 754057 885048 733078 
"1024/1024" 927477 913471 813933 1056623 1083546 
"2048/4" 16715 20389 13424 15873 15669 
"2048/8" 27175 20158 23903 35155 24560 
"2048/16" 80791 67044 63389 43760 43728 
"2048/32" 81933 104134 59040 78224 78284 
"2048/64" 190279 219951 254502 221619 234942 
"2048/128" 346944 299115 313103 354563 359429 
"2048/256" 439005 534572 446582 511737 683813 
"2048/512" 673255 761599 697755 899770 709864 
"2048/1024" 812686 967465 1052971 1099327 1119821 
"2048/2048" 1055559 1461667 1530689 1079028 1066038 
"4096/4" 18745 17793 19409 16708 17297 
"4096/8" 35538 35953 37524 29557 32888 
"4096/16" 73748 69075 71655 50015 54807 
"4096/32" 145506 122624 144144 78814 96868 
"4096/64" 162397 170467 144108 141066 173037 
"4096/128" 381276 368676 415034 408326 402237 
"4096/256" 532431 554192 657481 535986 616211 
"4096/512" 797661 867284 854600 817240 966257 
"4096/1024" 947237 968763 1110972 1197386 937519 
"4096/2048" 1186880 1137829 1249099 1117840 1216549 
"4096/4096" 1254480 1125308 1459780 1186880 1191407 
"8192/4" 17735 17770 19944 18874 18869 
"8192/8" 34595 37063 32723 33787 33823 
"8192/16" 73200 82282 72735 61510 56152 
"8192/32" 103228 118700 142340 95444 108681 
"8192/64" 231583 281029 175631 156830 159504 
"8192/128" 421096 508469 272677 294231 241538 
"8192/256" 533372 668349 677589 615150 657945 
"8192/512" 704615 977328 1056221 999387 973176 
"8192/1024" 1327050 1092248 974528 1116235 955132 
"8192/2048" 1379809 1293966 1071137 1208454 1214519 
"8192/4096" 1067211 1157680 1208624 1115655 1310899 
"8192/8192" 1591627 1223428 1115764 1237795 1175825 
"16384/4" 19064 19315 18014 17077 17402 
"16384/8" 32860 36177 36304 33108 34170 
"16384/16" 67168 67561 71524 70117 67240 
"16384/32" 123366 140999 139131 114351 97328 
"16384/64" 243404 231265 300457 184876 209249 
"16384/128" 168848 277897 444539 422845 272258 
"16384/256" 737184 843103 577795 792458 736426 
"16384/512" 897803 812260 899224 854488 1005334 
"16384/1024" 1227817 1356944 1177614 1320213 1349350 
"16384/2048" 1667753 1616403 1350040 1598283 1532657 
"16384/4096" 1370010 1478957 1202928 1628469 1579329 
"16384/8192" 1607518 1262533 1566227 1505328 1413027 
"16384/16384" 1286524 1386009 1595944 1555520 1657776 
"32768/64" 209090 218948 243651 231916 250391 
"32768/128" 307608 285006 328412 284753 307880 
"32768/256" 387604 476403 412805 426810 679664 
"32768/512" 1022856 963761 950846 777027 799394 
"32768/1024" 1427361 1365665 1234520 1001531 1270961 
"32768/2048" 1398303 1652450 1518380 1279849 1580015 
"32768/4096" 1515567 1384778 1727622 1604699 1492363 
"32768/8192" 1630745 1381687 1696236 1628292 1534862 
"32768/16384" 1573954 1671319 1641438 1591063 1637917 
"65536/64" 189570 268420 258377 241991 261327 
"65536/128" 289870 334220 305265 299192 291915 
"65536/256" 485545 471644 440037 342505 599131 
"65536/512" 775803 813171 813788 821797 877321 
"65536/1024" 1119871 1121690 1364599 1353966 1386474 
"65536/2048" 1632603 1763102 1733427 1702759 1701663 
"65536/4096" 1627451 1594513 1548653 1329410 1476339 
"65536/8192" 1612671 1578308 1482750 1580241 1624710 
"65536/16384" 1586168 1588257 1498717 1628348 1587514 
