Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 7343 32018 31437 30919 23171 
"64/8" 56148 59430 51485 50440 46540 
"64/16" 88774 107382 105276 102581 99354 
"64/32" 195823 182882 178266 139751 174330 
"64/64" 272300 208606 9488 263222 250919 
"128/4" 29553 27211 26880 31388 27426 
"128/8" 63207 58985 59396 41747 59422 
"128/16" 105958 75692 118729 94890 113077 
"128/32" 137913 172084 135751 104311 154016 
"128/64" 223435 274080 223063 220679 231828 
"128/128" 414314 574312 392792 418187 300464 
"256/4" 30118 28834 30203 29931 28451 
"256/8" 49554 53235 32548 59672 53577 
"256/16" 89952 104360 107742 108057 93087 
"256/32" 153747 154967 176057 175568 179651 
"256/64" 285736 266119 268046 220716 262541 
"256/128" 395659 463058 496228 411425 503913 
"256/256" 727070 775933 596919 602276 706964 
"512/4" 29401 31203 30739 29376 30541 
"512/8" 60987 57657 62447 62823 63022 
"512/16" 91480 104792 52100 88091 100079 
"512/32" 167748 177407 169415 153987 183517 
"512/64" 243926 260939 251703 278575 327969 
"512/128" 71757 555220 372904 537299 371292 
"512/256" 771143 757274 640885 697732 574684 
"512/512" 988801 859060 863203 813808 850554 
"1024/4" 29892 30276 30244 28982 31781 
"1024/8" 52416 51937 59290 56986 62279 
"1024/16" 111523 121238 122458 121643 103091 
"1024/32" 180409 194899 197535 176552 207158 
"1024/64" 272267 204836 313048 305587 247636 
"1024/128" 468637 435559 479198 534744 497344 
"1024/256" 726752 572677 679496 720655 731954 
"1024/512" 763033 758586 889631 841357 825668 
"1024/1024" 1078106 1010864 988529 1125277 1000037 
"2048/4" 30769 23357 30849 30614 30821 
"2048/8" 60231 53201 62030 60184 54636 
"2048/16" 101739 115719 125229 113167 106307 
"2048/32" 214878 171593 194550 199127 192337 
"2048/64" 290663 296165 343627 314986 285315 
"2048/128" 490438 497684 506189 571108 513266 
"2048/256" 650171 723435 759915 621162 632878 
"2048/512" 854736 906225 816315 812993 930068 
"2048/1024" 1088876 1204792 1085985 1155212 1061690 
"2048/2048" 1157703 1155678 1260296 1140942 1056857 
"4096/4" 30818 32677 33506 32068 32882 
"4096/8" 59140 59792 57272 60110 61146 
"4096/16" 107340 112558 109800 113576 110804 
"4096/32" 176475 190974 207730 223545 188054 
"4096/64" 297287 287477 277978 304581 312169 
"4096/128" 382481 415536 397022 475833 430251 
"4096/256" 358012 738957 758231 736170 762167 
"4096/512" 881434 901792 883110 892377 966474 
"4096/1024" 1031526 1215774 1154809 1168634 1164278 
"4096/2048" 1272130 1343877 1192814 1124940 1116387 
"4096/4096" 1373531 1350002 1240889 1297494 1125898 
"8192/4" 48649 44281 44626 43128 40413 
"8192/8" 61344 58846 62218 57182 58500 
"8192/16" 113869 115593 111834 115860 110584 
"8192/32" 200568 186143 204969 186215 203927 
"8192/64" 300392 342905 332386 315673 341334 
"8192/128" 531877 617472 575638 536160 506617 
"8192/256" 842464 728179 735505 739351 763400 
"8192/512" 1014105 875880 1020279 842794 901314 
"8192/1024" 1294551 1067609 1037751 1081589 1031860 
"8192/2048" 1390361 1245784 1466246 665914 1218654 
"8192/4096" 1173295 1290903 1361277 1317231 1412190 
"8192/8192" 1265747 1635803 1373356 1485646 1574199 
