Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 1011 14692 13736 15122 13766 
"64/8" 30549 31559 27433 23469 26777 
"64/16" 39165 45391 44050 35164 44569 
"64/32" 72809 66185 72968 56634 61177 
"64/64" 95944 170240 135313 133895 159991 
"128/4" 35330 33107 33870 43405 21742 
"128/8" 27997 29697 32595 27108 30289 
"128/16" 53511 42909 55030 52094 48393 
"128/32" 76100 76873 76100 76273 67899 
"128/64" 81693 111806 116261 110539 110448 
"128/128" 268999 294207 281407 246180 222601 
"256/4" 3676 7905 7947 9605 9065 
"256/8" 32964 56549 22854 54213 15829 
"256/16" 43331 56117 52902 67868 51138 
"256/32" 60292 74504 72214 102644 87461 
"256/64" 166554 143975 139813 146709 153769 
"256/128" 244766 237248 201724 15344 215705 
"256/256" 543720 474098 489442 430390 424436 
"512/4" 13137 15306 15971 16202 12687 
"512/8" 29539 20203 19341 24035 17157 
"512/16" 134244 120578 131854 47690 65297 
"512/32" 100430 81984 99707 112035 34172 
"512/64" 173270 211308 171581 171815 177774 
"512/128" 334404 242084 230545 286989 287796 
"512/256" 443621 407275 464239 393181 393253 
"512/512" 653961 770037 538918 608041 640694 
"1024/4" 13301 12921 13932 12910 18835 
"1024/8" 20540 18212 18785 31982 36723 
"1024/16" 38011 39524 41479 36308 34548 
"1024/32" 232200 226196 212266 103874 93695 
"1024/64" 185377 202728 207538 222666 175880 
"1024/128" 285706 308905 314608 291247 254927 
"1024/256" 365971 84487 378417 425969 472763 
"1024/512" 650180 693317 657647 84377 625559 
"1024/1024" 867704 804330 1115632 842843 1056883 
"2048/4" 19444 18400 12587 15454 16856 
"2048/8" 33873 28626 27093 30163 33740 
"2048/16" 47673 84315 82361 42133 59498 
"2048/32" 69873 110321 108976 76805 68455 
"2048/64" 412149 520072 504791 429522 302912 
"2048/128" 102713 323991 328464 394453 382594 
"2048/256" 562801 626874 473410 560013 452201 
"2048/512" 739886 766150 258454 739631 755703 
"2048/1024" 958825 1012390 1258634 949394 984090 
"2048/2048" 1319537 292744 1073902 1116038 1157703 
"4096/4" 16852 12354 18773 15876 16882 
"4096/8" 29541 38499 34412 28308 30546 
"4096/16" 84697 80828 68907 55547 55090 
"4096/32" 157368 130102 166220 94158 97183 
"4096/64" 138819 142698 200138 134515 94628 
"4096/128" 492841 698005 353162 398717 406510 
"4096/256" 571903 551064 546280 621810 677819 
"4096/512" 778539 907412 725476 845932 801718 
"4096/1024" 1135573 942043 1100511 1097558 1036192 
"4096/2048" 1254114 1089415 1086452 1206129 1123101 
"4096/4096" 325235 1379598 1180357 722668 1026840 
"8192/4" 18356 18502 16890 17671 18073 
"8192/8" 30956 33909 33245 31315 35251 
"8192/16" 67889 68011 64420 57327 57359 
"8192/32" 153179 144131 108431 91615 115673 
"8192/64" 325167 301642 340722 191146 175926 
"8192/128" 283784 217484 274843 330722 239750 
"8192/256" 434104 481061 133981 289153 631951 
"8192/512" 347753 965573 913171 841412 897266 
"8192/1024" 1098253 1174458 1118815 1277797 1140466 
"8192/2048" 1004059 1379365 1377706 1360145 1237483 
"8192/4096" 1190161 564581 1493849 1146555 1156862 
"8192/8192" 1193468 1219606 1301564 1328538 1326845 
"16384/4" 16270 20539 19473 18357 18680 
"16384/8" 34610 36086 32667 28494 36847 
"16384/16" 63606 69796 61807 61405 66914 
"16384/32" 96632 143565 156528 128066 108473 
"16384/64" 314056 287029 293209 206847 205612 
"16384/128" 276756 279982 481472 210772 324964 
"16384/256" 457371 365576 459269 319549 621334 
"16384/512" 798165 867748 922572 868846 807288 
"16384/1024" 1064035 1185088 1022918 1116231 1056689 
"16384/2048" 1286235 1266536 1215353 1293742 1163636 
"16384/4096" 1147585 1216967 1178038 1173311 1260311 
"16384/8192" 1183210 1154526 1162887 1283017 1154293 
"16384/16384" 1207918 1338548 1196436 1426194 1155749 
"32768/64" 194345 264680 268411 176661 234351 
"32768/128" 272404 281577 377895 264961 298420 
"32768/256" 519995 623071 426338 499153 706315 
"32768/512" 839363 868993 604018 827308 875074 
"32768/1024" 1182526 1144525 1128372 1306742 974973 
"32768/2048" 1219416 1343767 1378887 1183810 1274130 
"32768/4096" 1238815 1527221 1616590 1475445 1349361 
"32768/8192" 1278349 1353480 1138920 1333273 1245642 
"32768/16384" 1331594 1316669 1244987 1247360 1318045 
"65536/64" 217726 240358 229382 214996 245032 
"65536/128" 280673 324831 349762 282117 376970 
"65536/256" 693157 611537 699490 549517 742347 
"65536/512" 489817 753894 848779 725695 964173 
"65536/1024" 1209776 1141738 1076884 1267741 1192276 
"65536/2048" 1433105 1356177 1596922 1392930 1407949 
"65536/4096" 1398252 1328440 1063395 1289950 1258179 
"65536/8192" 1335397 1161902 1270789 1235129 1422683 
"65536/16384" 1334444 1470739 1306641 1548757 1233826 
"131072/64" 234025 268964 239168 251639 213865 
