Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 29797 29642 29612 27680 27515 
"64/8" 50233 43571 54144 45360 42583 
"64/16" 83551 75726 82906 66878 71093 
"64/32" 123771 138168 120493 126512 120493 
"64/64" 200055 162019 176857 176276 165414 
"128/4" 29364 28971 30238 29560 27491 
"128/8" 57395 44093 55030 45730 49845 
"128/16" 99923 77629 94125 83006 73991 
"128/32" 158238 122466 140036 100166 142716 
"128/64" 169960 201240 206822 175803 200939 
"128/128" 328199 360605 258135 301138 272411 
"256/4" 25749 27312 28064 22586 14809 
"256/8" 34948 15827 50049 55689 48485 
"256/16" 104238 110401 102068 102860 106884 
"256/32" 133619 148659 160720 155799 128965 
"256/64" 203985 260124 246395 229392 238991 
"256/128" 318825 385571 351262 324020 391475 
"256/256" 498995 534251 536654 532397 453858 
"512/4" 18268 20504 19195 31694 18621 
"512/8" 28827 28386 27735 59354 21631 
"512/16" 82618 89981 85704 89509 115469 
"512/32" 142143 176300 144428 170844 157246 
"512/64" 59053 264996 183642 266807 247326 
"512/128" 365914 354089 343168 458785 286033 
"512/256" 462540 566348 534358 647260 467168 
"512/512" 717069 639169 632020 658978 677267 
"1024/4" 29364 26299 26901 24487 29840 
"1024/8" 35845 39453 35299 37727 55211 
"1024/16" 50274 63425 56875 115562 59935 
"1024/32" 173851 157274 176552 165160 190651 
"1024/64" 263724 300372 90506 340443 289578 
"1024/128" 406189 466499 468637 525969 503701 
"1024/256" 607680 533019 679927 605197 616490 
"1024/512" 721624 763033 776272 752340 782923 
"1024/1024" 902151 991495 1207534 900637 894448 
"2048/4" 25230 31721 23039 26095 25394 
"2048/8" 49868 53559 33750 41314 42021 
"2048/16" 84072 79909 100289 76009 61302 
"2048/32" 91547 96249 104500 100971 188405 
"2048/64" 268302 264364 342122 317126 285201 
"2048/128" 468121 575933 519286 410161 544811 
"2048/256" 677931 662557 643016 627057 742572 
"2048/512" 812071 903746 725451 862286 826447 
"2048/1024" 736460 1155057 1097501 1109981 907757 
"2048/2048" 1265868 1233157 1249480 1109981 1289623 
"4096/4" 25795 29087 32883 26221 23891 
"4096/8" 62938 50303 49343 52064 54700 
"4096/16" 113819 86868 110071 112927 92538 
"4096/32" 177832 151037 212449 105450 127868 
"4096/64" 355648 278922 310561 204573 189875 
"4096/128" 433028 397509 422308 431982 239028 
"4096/256" 703176 778115 760918 711240 768646 
"4096/512" 951013 964196 997564 851002 871861 
"4096/1024" 1090521 1173985 1232963 1146638 1153878 
"4096/2048" 1405098 1432634 1423257 1295341 1270436 
"4096/4096" 1207230 1627990 1312361 1455081 1471785 
"8192/4" 12455 18134 25337 20233 18444 
"8192/8" 52519 60249 45704 49190 52370 
"8192/16" 67029 105714 109512 94612 95717 
"8192/32" 216662 186418 197397 162372 172140 
"8192/64" 302133 321483 394532 267895 136610 
"8192/128" 505991 549546 529402 528962 370444 
"8192/256" 734311 678257 720242 767252 735301 
"8192/512" 474570 1066383 977105 887256 892673 
"8192/1024" 788523 1178850 1196961 1106600 1070570 
"8192/2048" 1441215 1009725 1545104 1146708 1316424 
"8192/4096" 1268691 1361493 1521836 1513657 1239895 
"8192/8192" 443146 1462813 1502012 1504247 1249953 
"16384/4" 9407 8410 12730 21612 7902 
"16384/8" 43709 44416 28968 37095 39515 
"16384/16" 107222 96463 83821 99179 103827 
"16384/32" 165474 166421 202766 163418 162896 
"16384/64" 308184 302004 287483 244964 231406 
"16384/128" 531790 516323 365624 452695 325893 
"16384/256" 732993 744863 762078 722748 753182 
"16384/512" 725663 738452 905146 929636 890001 
"16384/1024" 1104338 1204256 1106793 928016 1038940 
"16384/2048" 1409375 1301041 1307378 1123421 1231227 
"16384/4096" 917558 1300008 1289663 1151045 1234744 
"16384/8192" 1405743 1621246 1283904 1511022 1420357 
"16384/16384" 1784930 1362486 1823677 1563803 1587135 
"32768/64" 287902 250749 297758 270635 261486 
"32768/128" 461404 491436 507771 491260 434387 
"32768/256" 744899 600650 629270 751645 718925 
"32768/512" 758586 969266 966921 888699 845909 
"32768/1024" 1277505 1152220 918956 1070215 946094 
"32768/2048" 1596645 1406589 1694480 1347535 1169277 
"32768/4096" 1392311 1635539 1712553 1683252 1400283 
"32768/8192" 1615450 1563515 1621281 1658132 1670831 
"32768/16384" 1581397 1494197 1508017 2120094 1721110 
"65536/64" 304733 271377 277618 292556 227907 
"65536/128" 524313 512692 494294 432780 410475 
"65536/256" 712858 528916 706640 671833 744448 
"65536/512" 845396 828509 862430 783818 956926 
"65536/1024" 1187958 1221300 1098602 1203404 1131534 
"65536/2048" 1348030 1377966 1465376 1181062 1333816 
"65536/4096" 1836979 1480004 1333330 1494520 1433830 
"65536/8192" 1594504 1593423 1364051 1837396 1459726 
"65536/16384" 1762096 1622772 1597618 1600548 1739317 
"131072/64" 207697 222600 222339 169819 215051 
"131072/128" 391596 363534 295815 313754 333963 
"131072/256" 466488 470296 459109 482714 495604 
"131072/512" 944390 743476 951887 871055 621663 
"131072/1024" 1307411 1347173 1333673 926159 1298487 
"131072/2048" 1541353 1696746 1596610 1372509 1509332 
"131072/4096" 1523558 1628183 1545113 1531162 1574627 
"131072/8192" 1822623 1891016 1781740 1787034 2169887 
"131072/16384" 1953903 1946825 1861422 2044486 1932420 
"262144/64" 143189 125088 131182 188512 124781 
"262144/128" 223909 231828 234993 214598 266626 
"262144/256" 382654 362480 396597 372517 315618 
"262144/512" 709488 641478 590535 599331 642944 
"262144/1024" 901477 1099633 1415854 1067126 1371290 
"262144/2048" 1634874 1665356 1640820 1544559 1639239 
"262144/4096" 1789916 1675577 1718210 1696275 1887872 
"262144/8192" 1753341 1764127 1765838 2087085 1932018 
"262144/16384" 2008809 2088730 2140336 2198769 2280501 
"524288/64" 127892 120933 133740 132833 120414 
"524288/128" 210352 221478 242169 245602 221025 
"524288/256" 401324 381587 363088 341085 387508 
"524288/512" 577618 535556 512460 505652 540165 
"524288/1024" 1028336 993921 966908 1012299 1038372 
"524288/2048" 1458250 1400121 1640527 1459501 1496904 
"524288/4096" 1504732 1551915 1626525 1665431 1308770 
"524288/8192" 1866312 2015795 1800649 2009281 1796633 
"524288/16384" 1916368 2242407 2203269 2029055 2318720 
