Mode 6-HDD-1-NVMe/lz4-compression-1 6-HDD-1-NVMe/lz4-compression-2 6-HDD-1-NVMe/lz4-compression-3 6-HDD-1-NVMe/lz4-compression-4 6-HDD-1-NVMe/lz4-compression-5 
"64/4" 302 12455 10964 2950 13701 
"64/8" 27107 32029 27720 18908 25898 
"64/16" 39575 43068 37980 35358 40952 
"64/32" 59814 62560 64391 51035 57043 
"64/64" 1593 140335 146142 135313 143104 
"128/4" 5343 15416 12456 9165 16460 
"128/8" 34483 31558 26728 29795 26027 
"128/16" 42230 52225 50218 49151 38741 
"128/32" 83705 65274 77820 74900 66561 
"128/64" 108463 123794 105687 107378 100072 
"128/128" 267791 240554 234871 248573 231828 
"256/4" 10978 11810 10054 8732 7837 
"256/8" 12155 27521 14523 26098 25902 
"256/16" 49621 54593 49392 53420 47189 
"256/32" 77932 84236 96936 74354 88215 
"256/64" 153111 105998 137047 162964 146790 
"256/128" 223379 225585 190049 226537 198004 
"256/256" 439732 412215 399932 420283 400529 
"512/4" 14752 14566 15018 20616 11384 
"512/8" 21335 21947 17006 25717 17439 
"512/16" 52739 53719 24872 26619 47037 
"512/32" 86865 85493 101584 122693 115805 
"512/64" 159016 234856 174736 183642 174325 
"512/128" 246984 247696 231789 257158 273084 
"512/256" 474497 349479 445553 423833 375643 
"512/512" 742096 576535 612550 761841 657969 
"1024/4" 13740 10281 12873 16166 14801 
"1024/8" 18083 21404 18869 28496 30476 
"1024/16" 36086 36521 37297 44922 39498 
"1024/32" 99939 92870 95194 44607 55516 
"1024/64" 174387 164232 210694 173760 186285 
"1024/128" 303128 321893 306678 325899 273568 
"1024/256" 438136 453064 398908 427921 436134 
"1024/512" 642785 676393 673212 605965 599118 
"1024/1024" 942745 958098 906913 977950 1084640 
"2048/4" 19389 18384 17508 15158 15278 
"2048/8" 28417 26675 28167 31309 35046 
"2048/16" 66747 60852 68430 39650 44270 
"2048/32" 82342 99230 74065 65487 71115 
"2048/64" 217544 93665 203925 194898 204762 
"2048/128" 356920 344261 351171 324358 377383 
"2048/256" 538223 505533 484846 490886 523144 
"2048/512" 782838 756568 730635 762749 774858 
"2048/1024" 1009297 1045410 1110125 1050267 934317 
"2048/2048" 934724 1045410 1101018 1464907 1149954 
"4096/4" 18178 17114 14981 16682 17005 
"4096/8" 35593 35809 32062 32261 26199 
"4096/16" 75221 53279 60940 47243 56755 
"4096/32" 136646 132005 163899 83147 79725 
"4096/64" 164656 193354 149965 169263 140163 
"4096/128" 348887 407881 374298 181471 359864 
"4096/256" 571104 535018 562945 615108 500844 
"4096/512" 767479 865231 727658 825169 723155 
"4096/1024" 1178737 987700 886391 1098400 928751 
"4096/2048" 1428108 1427633 1180032 1223044 1113060 
"4096/4096" 1120976 967182 1306572 1306572 1167602 
"8192/4" 17681 18605 14023 17656 18255 
"8192/8" 34305 26935 32487 31479 30197 
"8192/16" 66760 60303 62867 62464 61724 
"8192/32" 135944 147811 121877 99942 105770 
"8192/64" 259518 261366 297178 250236 178680 
"8192/128" 184546 289255 287782 382570 269252 
"8192/256" 507493 536403 499823 526176 589565 
"8192/512" 736356 894812 677589 780622 745139 
"8192/1024" 804398 982133 986164 1077181 959935 
"8192/2048" 1128072 941832 978859 1083158 957581 
"8192/4096" 1031860 1030468 1308204 1106600 1413178 
"8192/8192" 1013627 1141261 1134441 1339414 1320471 
"16384/4" 14302 19301 17636 17932 17433 
"16384/8" 23899 33716 35458 33686 36269 
"16384/16" 70086 71156 70735 64288 62673 
"16384/32" 137829 112881 147716 118200 115622 
"16384/64" 233566 292158 271262 234124 245137 
"16384/128" 232100 317225 299941 298841 278596 
"16384/256" 561113 641429 436275 537287 624894 
"16384/512" 801292 932386 852051 827897 936758 
"16384/1024" 1099603 1164977 1198711 1021960 1195811 
"16384/2048" 1383776 1314078 1167709 944587 1430797 
"16384/4096" 1163557 1439730 1270282 1121350 1403446 
"16384/8192" 1281701 1119723 1170214 1033565 1427320 
"16384/16384" 1162809 1515353 1101135 1129477 1292331 
"32768/64" 176098 224340 266668 229929 249426 
"32768/128" 303284 376700 352890 308901 294028 
"32768/256" 464938 411327 461585 441504 491782 
"32768/512" 992283 815957 835191 992275 904216 
"32768/1024" 1236152 1167489 1232207 1276212 1196215 
"32768/2048" 1349812 1449842 1328582 1528852 1198280 
"32768/4096" 1334257 1408953 1554901 1501395 1534810 
"32768/8192" 1514999 1443143 1402856 1434168 1311555 
"32768/16384" 1415206 1228320 1472189 1179806 1450944 
"65536/64" 221169 257822 262931 204722 235391 
"65536/128" 312771 322430 302257 261582 336492 
"65536/256" 417445 526220 462201 434260 483553 
"65536/512" 647436 689264 814202 951849 724146 
"65536/1024" 1202541 992321 1050303 1289242 1124751 
"65536/2048" 1118077 1366757 1371729 1049986 1265273 
"65536/4096" 1339216 1352207 1144834 1175828 1206902 
"65536/8192" 1292929 1047218 1210580 1043236 1163451 
"65536/16384" 1087153 1180808 1221865 1368812 1481807 
"131072/64" 228535 258045 247569 254384 259686 
"131072/128" 244109 237389 293346 321572 339597 
"131072/256" 600564 583229 691420 608737 655297 
"131072/512" 763062 789171 730539 572509 625477 
"131072/1024" 1194189 1161781 1227186 1144852 1143426 
"131072/2048" 1236738 1435225 1460218 1638890 1247792 
"131072/4096" 1375724 1356290 1338671 1468973 1393982 
"131072/8192" 1359301 1260139 1524605 1627802 1261388 
"131072/16384" 1489317 1440494 1605764 1511402 1339561 
"262144/64" 222904 231494 241413 259549 254701 
"262144/128" 306481 277959 269120 324528 305729 
"262144/256" 658193 707611 516112 553158 747172 
"262144/512" 633701 723651 803671 590409 935887 
"262144/1024" 1096915 1008932 929239 1157333 1039103 
"262144/2048" 1227236 1347203 1495102 1234682 1317519 
"262144/4096" 1290123 1342318 1240383 1215526 1282449 
"262144/8192" 1227157 1391503 1281953 1422924 1264319 
"262144/16384" 1393010 1296624 1311120 1444472 1293229 
"524288/64" 244501 249228 243599 256722 241710 
"524288/128" 308658 280743 277483 292852 287071 
"524288/256" 586341 632977 665549 603829 586779 
"524288/512" 610327 631332 894668 619791 708127 
"524288/1024" 925162 906348 863528 890415 848066 
"524288/2048" 1213767 1205706 1112077 1076029 952117 
"524288/4096" 1120206 1027302 1091411 1079488 1166658 
"524288/8192" 1049501 1246974 1217951 978054 1102362 
"524288/16384" 966473 1063557 1135543 1044978 1052569 
