Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 37231 8714 22863 31055 17907 
"64/8" 34481 24242 27837 30962 34464 
"64/16" 39798 43564 47765 64842 61968 
"64/32" 119368 106487 107727 99834 102385 
"64/64" 175815 160087 143563 162805 62750 
"128/4" 38403 35369 17386 23560 15605 
"128/8" 34180 31722 26689 16204 13729 
"128/16" 63998 28331 25476 23604 57661 
"128/32" 103646 40366 37947 102734 48485 
"128/64" 204459 114086 134729 149888 167363 
"128/128" 235696 67295 199743 229451 193341 
"256/4" 14833 14790 15989 10611 15221 
"256/8" 55883 23025 24820 17345 24608 
"256/16" 76489 87191 24839 49719 86958 
"256/32" 130533 121783 137328 53535 110583 
"256/64" 148742 165374 170440 141285 163585 
"256/128" 191746 207654 191746 200781 195126 
"256/256" 216750 265856 252004 213179 240328 
"512/4" 19892 23831 15022 14302 14828 
"512/8" 27580 34092 26669 28669 16738 
"512/16" 97282 93467 99842 54288 95827 
"512/32" 135199 130714 118189 71397 133294 
"512/64" 197910 175050 189142 125248 175221 
"512/128" 214409 217119 219448 186854 189142 
"512/256" 254236 217691 219471 223282 238349 
"512/512" 366289 289933 257158 250120 257807 
"1024/4" 16408 13654 14080 14966 19056 
"1024/8" 19782 35542 30146 21120 30013 
"1024/16" 86890 62918 86830 89588 87165 
"1024/32" 145292 141632 77852 151772 145681 
"1024/64" 182076 97403 182766 180151 170099 
"1024/128" 224165 225105 226697 213427 225199 
"1024/256" 261349 248554 149771 259627 208809 
"1024/512" 290498 304763 404582 294179 273272 
"1024/1024" 370741 355814 398279 435559 404734 
"2048/4" 22916 13880 21711 20392 23886 
"2048/8" 29118 31533 30468 34347 33084 
"2048/16" 67868 72303 71217 63266 88058 
"2048/32" 99479 108936 88723 138989 97611 
"2048/64" 180503 160854 199901 145590 115380 
"2048/128" 206867 225671 227711 211372 220075 
"2048/256" 314790 284559 180090 246180 224933 
"2048/512" 412327 345021 365578 135691 267884 
"2048/1024" 149424 174048 219979 306358 204879 
"2048/2048" 505325 316099 566364 530412 558048 
"4096/4" 22132 21520 24063 22191 18576 
"4096/8" 27342 37248 34228 28647 21189 
"4096/16" 48780 49855 56943 50727 57237 
