Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 3588436 5860307 2892445 5283570 2133730 
"64/8" 2662899 6271021 6421025 4018152 7100397 
"64/16" 4274062 5283570 3738358 5735102 7940539 
"64/32" 3958892 4897948 4564786 4564786 4564786 
"64/64" 4274062 5389653 4897948 5283570 4897948 
"128/4" 3867787 3560017 3560017 4934216 5325799 
"128/8" 6406138 4407601 4407601 4444086 4717434 
"128/16" 6727225 4267461 7476717 5325799 5122535 
"128/32" 4934216 5325799 4889281 5122535 7082197 
"128/64" 4267461 5325799 4759253 4557257 6114306 
"128/128" 4934216 7176872 8036304 5122535 7582312 
"256/4" 3410808 6107548 4496299 3605511 3605511 
"256/8" 6761355 7518900 4572895 4652146 4652146 
"256/16" 4264168 6554972 4572895 6073004 5217259 
"256/32" 5022044 5022044 6073004 4840911 6719046 
"256/64" 4755158 5810112 7314033 5347168 7965107 
"256/128" 6107548 5217259 7314033 5540300 5117791 
"256/256" 8024634 8888172 5347168 5687020 5217259 
"512/4" 3768799 5951911 3653390 4742616 6104175 
"512/8" 6491676 6821616 6909408 6821616 4690818 
"512/16" 7211022 8140399 5822804 5384786 8394979 
"512/32" 6821616 7211022 5684095 5822804 5214798 
"512/64" 5509113 7309196 6156675 5509113 5398323 
"512/128" 7871843 5951911 6018636 5639315 7758090 
"512/256" 5951911 6491676 7211022 5439343 6018636 
"512/512" 5760329 6246213 6821616 4660280 8109658 
"1024/4" 3821805 3764854 4014717 5303701 6059442 
"1024/8" 6559147 7472033 4470172 6918376 7101400 
"1024/16" 7356843 5917516 8457895 7769397 5363307 
"1024/32" 5958564 5950309 6025439 7020149 8457895 
"1024/64" 8122014 8988941 6128613 9220512 5917516 
"1024/128" 8262639 6559147 7066349 6650556 5782087 
"1024/256" 8183918 8610501 6172653 9045736 9064828 
"1024/512" 8680108 4594502 6244448 8457895 5720477 
"1024/1024" 6172653 8122014 6441107 4762630 5917516 
"2048/4" 5531879 5225638 5319484 5225638 4094723 
"2048/8" 4775354 6851089 5172149 7726111 4293237 
"2048/16" 6990474 7999524 7705319 5754221 7817519 
"2048/32" 6007763 6037320 8531869 8253158 6543188 
"2048/64" 6243566 6483920 9431138 6132138 7135648 
"2048/128" 7336772 8866519 9483197 7036283 6623917 
"2048/256" 7846081 8221561 6207471 6003564 5836323 
"2048/512" 6401772 6303124 8565901 6225466 7969835 
"2048/1024" 6401772 6303124 6420913 9015410 9101380 
"2048/2048" 6420913 8749118 8940345 8977721 7293167 
"4096/4" 4452120 5611025 5572803 6096896 3889659 
"4096/8" 7625987 6595451 6758923 7572208 7087972 
"4096/16" 8409937 7784948 5988509 8459632 8535284 
"4096/32" 6649056 9038203 6672297 8324363 9202815 
"4096/64" 8256354 8811067 7001316 6735075 6618318 
"4096/128" 7286380 6758923 8209013 8939441 8625273 
"4096/256" 7027089 6625976 6941906 7076294 7001316 
"4096/512" 8865630 6410863 7087972 8811067 9461292 
"4096/1024" 9267351 6727163 8497289 6542703 9368423 
"4096/2048" 6391782 8660056 6850558 6638778 8962759 
"4096/4096" 7612471 7742845 6321227 7209932 5603704 
"8192/4" 4327528 5550123 5940679 4692154 4143818 
"8192/8" 5257958 5261984 5257958 5512724 7523801 
"8192/16" 7468200 6104267 7067279 7875605 8000301 
"8192/32" 6160081 7400641 8723390 6429825 6220301 
"8192/64" 8417779 9536939 9502650 8835550 8498983 
"8192/128" 6511465 6687628 7287625 7802283 6804170 
"8192/256" 6770651 7920995 7025373 8594649 6877717 
