Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 3057153 5860307 4564786 5389653 3791156 
"64/8" 3588436 4018152 3791156 2561267 2923952 
"64/16" 2801873 3791156 2892445 4018152 3791156 
"64/32" 2467108 2358717 3363612 2379626 3022727 
"64/64" 3363612 2379626 3363612 3791156 2467108 
"128/4" 4934216 3445772 3657016 4267461 2843510 
"128/8" 5122535 2985839 3785961 3560017 3657016 
"128/16" 3785961 3199360 5122535 3759450 5325799 
"128/32" 5545860 4104338 5122535 5545860 3759450 
"128/64" 3053774 3785961 4557257 5325799 4889281 
"128/128" 2969325 3199360 3895854 3053774 5325799 
"256/4" 4572895 3197509 3605511 3123106 4819184 
"256/8" 3823789 5687020 4054829 3879045 3879045 
"256/16" 5022044 5687020 4734192 4496299 3935921 
"256/32" 4009406 3654598 3605511 5428265 3605511 
"256/64" 3368013 3605511 5971678 4132864 4070199 
"256/128" 3935921 5455847 4197489 4070199 4117018 
"256/256" 3368013 4350555 5347168 4197489 3605511 
"512/4" 4973263 4030519 3346002 3795443 5331314 
"512/8" 3372274 3905895 4305250 4061007 4061007 
"512/16" 3504346 4000485 6395018 4131319 4457157 
"512/32" 5331314 4411377 3849877 4305250 3877684 
"512/64" 5744919 3822466 4701087 5164632 6319739 
"512/128" 4131319 4927617 4305250 4271001 3877684 
"512/256" 4195896 6472112 4262523 4296637 3934520 
"512/512" 6018636 4411377 4305250 4331300 6571132 
"1024/4" 3880507 4110780 4265934 3712781 6172653 
"1024/8" 3458646 5821271 3791442 4433259 6692005 
"1024/16" 3808251 4876180 5623115 6787181 4146499 
"1024/32" 4474829 4265934 4374559 4356809 6559147 
"1024/64" 5444898 4356809 5251818 4300102 4321737 
"1024/128" 4211554 4854136 6244448 4410497 4064103 
"1024/256" 4614246 7257394 6163794 5444898 4995276 
"1024/512" 5917516 4720752 4356809 4720752 6650556 
"1024/1024" 6692005 6650556 4433259 3880507 5564829 
"2048/4" 5564129 4114336 4081105 5507054 4663865 
"2048/8" 4128177 4231899 4453499 3814687 4170264 
"2048/16" 4531020 4321315 4385291 4079167 4460436 
"2048/32" 4490751 3855782 6280083 4900677 7065219 
"2048/64" 3821475 7165410 5032754 4820915 6363830 
"2048/128" 6445001 5836323 4720248 4886737 4911886 
"2048/256" 4751580 4911886 4581773 6603549 7159438 
"2048/512" 4807425 6873016 6483920 7286980 4829046 
"2048/1024" 4611288 4762117 4911886 4911886 6401772 
"2048/2048" 4829046 4562305 4785996 5738844 5107566 
"4096/4" 3937802 4100397 4256862 4125010 4935601 
"4096/8" 6682678 5713661 4526013 4348447 4718699 
"4096/16" 5057654 6883496 4707064 4423462 6953144 
"4096/32" 6953144 6826060 4835578 4819300 4576653 
"4096/64" 4703198 5902100 4934183 7237268 6682678 
"4096/128" 4751325 4934183 6178018 5020702 4853336 
"4096/256" 4922872 4734303 5312585 4187346 4929936 
"4096/512" 6735075 6703539 5936773 4887857 7326777 
"4096/1024" 6272759 6659365 4917236 7264812 7342434 
"4096/2048" 7024216 4801789 4847858 6058196 4841028 
"4096/4096" 5263753 5953231 4423462 4521249 4487004 
"8192/4" 5550123 4137332 5638469 5588034 5535816 
"8192/8" 4553488 4449702 4493345 4508675 6665573 
"8192/16" 4660334 4660334 4732221 4707583 6000856 
"8192/32" 5094251 5740202 4818493 4835445 4793620 
"8192/64" 5905961 5368872 4836126 4902367 6660405 
"8192/128" 5696426 4961834 4896080 6601541 5357988 
"8192/256" 6781341 4721816 7185515 4835445 7293813 
"8192/512" 6758664 6737460 4923441 4866952 4988488 
"8192/1024" 5793435 6682426 6715075 7269124 6742748 
"8192/2048" 5579867 4765695 5139206 6775991 6233844 
"8192/4096" 5165475 4430195 4409161 4049561 4354953 
"8192/8192" 5171695 5063472 4162392 4833405 5177930 
"16384/4" 5214393 4564014 5155324 5576609 5746830 
"16384/8" 5775325 6646751 4634813 4595758 6933793 
"16384/16" 6159422 5158807 4672948 4691772 5997088 
"16384/32" 6553571 4863096 6348333 6884473 6812133 
"16384/64" 6809433 7145026 4917383 6820923 5946749 
"16384/128" 6896218 7132419 7471290 4976857 6921919 
"16384/256" 7340408 7454271 6039252 4951396 4996760 
"16384/512" 6058953 7102196 7502285 6878271 5010605 
"16384/1024" 7464797 5012066 7423670 5024526 6465399 
"16384/2048" 7356911 4937877 4946763 4945339 6736671 
"16384/4096" 5716711 4783544 4902299 5362924 4779552 
"16384/8192" 5033359 4192562 4366799 5124951 5039634 
"16384/16384" 4333206 5002944 4892178 5055205 4686652 
"32768/64" 6114429 7254320 6667002 7367087 6647975 
"32768/128" 5997038 7230278 6702441 6258374 7552086 
"32768/256" 6855560 7137533 6782819 7545038 7214338 
"32768/512" 6709312 6958650 5804792 5114425 6656024 
"32768/1024" 7109473 6032308 7536350 6806669 7022651 
"32768/2048" 6165170 7248199 6796907 6954073 7472836 
"32768/4096" 6106550 4583619 6168768 5369169 6076044 
"32768/8192" 5384314 5481375 4274954 5482469 5517463 
"32768/16384" 5603393 5040337 5129504 5368330 5283511 
"65536/64" 6705842 7859986 7522697 8277758 7471984 
"65536/128" 7493167 7664066 8731325 5045500 8834880 
"65536/256" 8436546 8249685 8748833 6329537 7076674 
"65536/512" 8556828 6537271 5753255 8577923 8159324 
"65536/1024" 8798118 8388145 7800210 8189956 8739376 
"65536/2048" 7898607 5249187 7328942 8452110 7795344 
"65536/4096" 5681431 6866830 6770924 6654703 6799060 
"65536/8192" 4923850 5492855 5396131 4179584 5440023 
"65536/16384" 4468846 5091387 5145714 5488249 4691805 
"131072/64" 8722986 7393085 6986455 8761494 8892875 
"131072/128" 8943218 9022625 5691595 8607309 8489676 
"131072/256" 7520722 6867414 5797594 8926809 8370496 
"131072/512" 7222054 7391495 6042414 6321226 8743936 
"131072/1024" 6632529 8069359 8552809 8943218 7245946 
