Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 1105556 2923952 1304314 2662899 2067979 
"64/8" 1421755 3022727 2067979 3541098 2278628 
"64/16" 1879725 1933893 2561267 2561267 4564786 
"64/32" 2801873 3363612 2444640 3541098 2298136 
"64/64" 2379626 3738358 1879725 3791156 3057153 
"128/4" 1939522 2464907 1705404 1526043 1808829 
"128/8" 2367096 2409592 2673584 1858934 2326073 
"128/16" 3657016 2175277 2608629 2558895 2066432 
"128/32" 4407601 3124872 2511022 3124872 3106789 
"128/64" 3982553 4135958 4012317 4267461 5545860 
"128/128" 3359523 2409592 3982553 2558895 2326073 
"256/4" 1707589 3017775 1707589 1445521 1598292 
"256/8" 2872459 3197509 2205688 2097948 2034350 
"256/16" 2170027 1938842 2783115 2392442 3326279 
"256/32" 2486631 2975955 3123106 2205688 2975955 
"256/64" 2812272 3454704 4572895 3368013 3823789 
"256/128" 3605511 3410808 6554972 4496299 3823789 
"256/256" 2509882 3605511 2911402 2726577 3879045 
"512/4" 1848401 1910902 2722449 1753325 1730717 
"512/8" 2449212 2265742 3284589 2483197 2263354 
"512/16" 3762197 4296637 4000485 2402629 3884698 
"512/32" 3140488 2860238 2625909 2894940 2651850 
"512/64" 3437042 3081897 4262523 3158966 3140488 
"512/128" 4660280 4532414 3145087 4457157 2991733 
"512/256" 3970896 5115422 4131319 3742527 3762197 
"512/512" 3481620 3244885 3264616 3086326 3604335 
"1024/4" 2468647 2659742 1868347 2522288 2760606 
"1024/8" 2414523 3778101 2044438 2952261 1973059 
"1024/16" 3529706 3074849 2774874 2844715 3696803 
"1024/32" 3029305 4304412 2892612 4033569 4232305 
"1024/64" 4130547 4995276 4232305 3401130 4589593 
"1024/128" 4095102 3436508 3541348 3369115 3151562 
"1024/256" 3631168 4876180 3450311 3436508 3506651 
"1024/512" 6208343 4629166 4762630 4674510 6830356 
"1024/1024" 4832290 3074849 5251818 3335105 3170172 
"2048/4" 2635106 1921339 2516234 1982991 2868277 
"2048/8" 3194702 3573472 2349026 3542524 2611870 
"2048/16" 3946119 3801182 3644736 3542524 2596083 
"2048/32" 4265523 2897301 3084572 4282535 4071433 
"2048/64" 4385291 4240255 4540600 4521480 3459769 
"2048/128" 4213218 3500658 4031308 4006862 4038890 
"2048/256" 4120256 4259178 3969827 3155969 4295384 
"2048/512" 3885431 4385291 3536690 4451191 4697018 
"2048/1024" 4444282 5719737 5549749 4686767 4686767 
"2048/2048" 3598924 4621211 5080379 5044577 5056455 
"4096/4" 2892815 2585847 2400829 2241981 2876348 
"4096/8" 3605576 2469150 2410937 3670280 2564999 
"4096/16" 2720138 3468014 2564616 4034911 3973321 
"4096/32" 3976080 4188367 3018351 3016231 3202328 
"4096/64" 4481152 4329816 4108241 3357537 4007615 
"4096/128" 3025260 4162994 4047268 3864287 3927001 
"4096/256" 3915366 3602551 3308398 3589754 3696339 
"4096/512" 3838385 4079948 3192806 3269363 4112175 
"4096/1024" 3295072 3810292 3468014 4551192 3379997 
"4096/2048" 5634950 5875858 4530788 4432592 4649735 
"4096/4096" 4184286 4342950 4654774 4196552 4087714 
"8192/4" 2410735 1873403 1878011 2237718 2412935 
"8192/8" 2392438 2919312 2383476 2419392 2382815 
"8192/16" 3853368 3417925 2643299 3631030 2676241 
