Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 1124074 1526887 1002351 1452528 1392258 
"64/8" 1421755 1780008 1460430 1392258 1255511 
"64/16" 1452528 2133730 1279447 1279447 1518251 
"64/32" 1421755 1828508 1526887 2203800 1638743 
"64/64" 1484662 1392258 1304314 1518251 1163036 
"128/4" 1162547 1114289 1105114 877518 1024942 
"128/8" 1471662 1637771 1622919 1622919 1231904 
"128/16" 1684006 2166499 1471662 1727352 1391557 
"128/32" 1598754 1727352 1778862 2035099 2727923 
"128/64" 2286447 2286447 1663139 1802755 1749872 
"128/128" 2409592 1603529 1749872 1436229 1579934 
"256/4" 1184092 969251 1117543 1729594 1108314 
"256/8" 1855098 1463250 2000242 1334162 1122215 
"256/16" 1629830 2242541 1911233 1461259 1652404 
"256/32" 1790149 2486631 1642294 1652404 2486631 
"256/64" 1814348 1842366 2114473 1881098 1897721 
"256/128" 1805197 2170027 1952947 2747508 1956506 
"256/256" 1570244 1911233 2533571 2509882 1642294 
"512/4" 1236455 1938502 1252318 1160923 1917728 
"512/8" 1977778 2317080 1368865 1992458 1236455 
"512/16" 1605228 2548017 2225819 2350044 1938502 
"512/32" 1514652 2560168 1869318 1783912 2294796 
"512/64" 1968713 1968713 1947291 2244430 1827947 
"512/128" 1975959 2205248 1926329 2782414 2065273 
"512/256" 2065273 2307123 2244430 3388236 2081286 
"512/512" 2695115 2452009 1736314 1809465 1940253 
"1024/4" 1050164 1217461 1261442 1185209 1247157 
"1024/8" 1426517 1528019 1549519 2069060 1535668 
"1024/16" 2073055 2188177 1646334 2155236 2316837 
"1024/32" 2360124 1799462 2739476 1806273 1673273 
"1024/64" 1787480 2592318 1818510 2789291 1903961 
"1024/128" 1356245 2625597 1899750 1871603 2547723 
"1024/256" 2398343 2150918 2173780 2852271 2216407 
"1024/512" 3324778 2174880 2306882 2290886 2737730 
"1024/1024" 2279941 2510493 2767722 1865912 2604895 
"2048/4" 1254773 1223496 1253491 1227167 1257344 
"2048/8" 2238241 2332443 1509175 1449336 2293214 
"2048/16" 2455806 2255282 1703741 2500850 1655793 
"2048/32" 2100841 2183619 2250555 1797882 2303669 
"2048/64" 2642401 2794560 1841434 2519185 1815744 
"2048/128" 2491420 2126323 2727131 1767183 1820362 
"2048/256" 1890887 1838281 1894641 2104960 2622235 
"2048/512" 2218586 2293826 2298737 2223755 2211731 
"2048/1024" 2283460 2455104 3136379 3542524 2390205 
