Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 19470 27791 7155 31066 27244 
"64/8" 33454 29251 35792 43325 31555 
"64/16" 27924 75833 66529 102229 60955 
"64/32" 34023 114676 101113 126751 110932 
"64/64" 60886 181767 162510 151675 155362 
"128/4" 27561 31627 28028 31173 30253 
"128/8" 41342 37079 43538 58078 28596 
"128/16" 82955 85860 70098 78768 35330 
"128/32" 149679 135888 44198 114378 116261 
"128/64" 211216 169316 167782 156257 34857 
"128/128" 227313 202226 227313 311445 260768 
"256/4" 30267 20633 16760 31272 18620 
"256/8" 40442 27657 15652 24594 27684 
"256/16" 83282 79874 76147 96971 51353 
"256/32" 118360 125366 50484 128702 129353 
"256/64" 181811 55675 75314 169659 160097 
"256/128" 242883 71569 78964 267512 92589 
"256/256" 373760 88027 401277 78165 285736 
"512/4" 29889 21201 16930 32124 16734 
"512/8" 39692 35679 38911 45665 22679 
"512/16" 79354 66416 86241 77751 51920 
"512/32" 128739 119292 84982 151928 67941 
"512/64" 192481 138112 168976 190839 188378 
"512/128" 262856 235810 237479 78144 286682 
"512/256" 421421 163421 297690 296662 157257 
"512/512" 490426 504482 149050 161309 136976 
"1024/4" 26321 14452 24398 9366 12222 
"1024/8" 37533 16369 27807 30562 23275 
"1024/16" 73221 59782 48953 56032 50200 
"1024/32" 137137 58464 99377 145228 119864 
"1024/64" 191578 95656 99871 147462 162179 
"1024/128" 286029 197917 189207 160374 97347 
"1024/256" 395055 202175 212887 360050 167237 
"1024/512" 501701 319523 312093 388586 325603 
"1024/1024" 651858 297501 720172 316439 323445 
"2048/4" 23350 12220 17583 20917 15904 
"2048/8" 35112 24557 28060 21319 32288 
"2048/16" 40561 56498 43517 70062 54530 
"2048/32" 134480 94156 127443 132393 55994 
"2048/64" 214878 167360 127617 196904 189419 
"2048/128" 298720 236436 177409 183793 164115 
"2048/256" 357039 324972 272119 314352 239088 
"2048/512" 465659 475717 297674 328476 322568 
"2048/1024" 545399 545399 499014 531397 376540 
"2048/2048" 753449 598484 816626 656431 810156 
"4096/4" 23095 11632 19053 17219 13087 
"4096/8" 29254 19911 27066 20303 22803 
"4096/16" 43812 37868 44817 32229 30192 
"4096/32" 78173 133776 108759 50013 53512 
"4096/64" 191340 170305 197044 148922 145244 
"4096/128" 323411 261709 319424 141392 177647 
"4096/256" 398754 293217 405982 251014 215308 
"4096/512" 472171 443193 547011 238305 420881 
"4096/1024" 648497 549935 737877 377689 649944 
"4096/2048" 855494 823666 799070 524931 894700 
"4096/4096" 646472 741348 825328 774014 848564 
"8192/4" 21055 10491 20078 11820 16958 
"8192/8" 23569 14464 23427 15928 23903 
