Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 76481 70237 73810 20486 60028 
"64/8" 34424 86849 121419 20056 131148 
"64/16" 161144 156905 162411 19882 164099 
"64/32" 282027 233461 192178 20151 230257 
"64/64" 269837 363337 231050 19416 313664 
"128/4" 71035 92567 64684 20418 67363 
"128/8" 130504 101587 100147 20326 100711 
"128/16" 206742 153094 165608 20418 162255 
"128/32" 250897 209159 233239 20263 227313 
"128/64" 311445 267791 277624 19835 274641 
"128/128" 402510 298293 404025 19955 304727 
"256/4" 14152 12292 12762 13138 11325 
"256/8" 33626 59895 66338 22000 83385 
"256/16" 55869 53423 24381 26369 44693 
"256/32" 78216 71170 86754 37085 84071 
"256/64" 109724 108845 104026 105529 104066 
"256/128" 150599 130739 148413 150135 137415 
"256/256" 208460 191746 210710 179892 185229 
"512/4" 35063 17742 15944 22808 20481 
"512/8" 20664 20386 31789 28297 21566 
"512/16" 55506 57664 50344 44363 53410 
"512/32" 93925 82418 73870 28630 73627 
"512/64" 115731 119067 119985 34060 134555 
"512/128" 159004 158804 160250 152468 155380 
"512/256" 211038 206790 184780 193139 164472 
"512/512" 263371 262856 249625 213769 258334 
"1024/4" 20507 20072 20144 13556 20369 
"1024/8" 20449 27942 23150 20692 12754 
"1024/16" 54384 61127 51990 56583 51336 
"1024/32" 92981 91839 96033 103133 79570 
"1024/64" 134437 121950 129211 114530 130614 
"1024/128" 163035 180918 162923 165135 146013 
"1024/256" 205168 207028 231724 214268 199452 
"1024/512" 254474 243453 287484 249695 260367 
"1024/1024" 354961 332458 435736 342807 331074 
"2048/4" 15391 18372 20937 16725 20635 
"2048/8" 18735 23905 23283 20826 23402 
"2048/16" 46839 54561 39603 58678 52040 
"2048/32" 82898 82127 81779 90073 71289 
"2048/64" 127228 131449 131865 122980 132436 
"2048/128" 177746 172916 162966 196828 174582 
"2048/256" 259179 248000 228414 211092 251036 
"2048/512" 356550 316448 307136 298844 269506 
"2048/1024" 362998 440626 408775 378131 349542 
"2048/2048" 641384 562764 653684 486246 599152 
"4096/4" 19270 17346 19553 17386 18393 
"4096/8" 31119 27206 26356 24681 25758 
"4096/16" 50440 50428 46372 29162 45294 
"4096/32" 59961 53430 57593 80134 73133 
"4096/64" 133207 129599 118199 123066 125298 
"4096/128" 182433 167176 177941 180662 165910 
"4096/256" 226698 215749 204974 220773 236325 
"4096/512" 309197 295721 264599 296379 252902 
"4096/1024" 434726 435244 358296 413605 377614 
"4096/2048" 551949 468220 556833 586047 548758 
"4096/4096" 516721 439767 455206 535368 469026 
"8192/4" 17918 19117 17281 20343 17342 
"8192/8" 23455 27282 22810 23384 24815 
"8192/16" 66157 55339 56071 53517 64317 
"8192/32" 57637 59937 66738 67424 47716 
"8192/64" 121239 128808 118169 103144 120064 
"8192/128" 173706 167508 170085 152824 152642 
"8192/256" 216232 226372 253544 240911 229590 
"8192/512" 342802 267432 335449 304378 324305 
"8192/1024" 472540 448140 404442 449224 402891 
"8192/2048" 697365 536654 563220 628082 577301 
"8192/4096" 635188 368711 630537 548467 619342 
"8192/8192" 638208 515093 496874 153428 468756 
