Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 34135 29318 26502 23738 26328 
"64/8" 34318 47621 52502 50355 50280 
"64/16" 62560 87930 85467 67078 70256 
"64/32" 133629 98443 127473 95535 128265 
"64/64" 14545 180788 169809 159991 165312 
"128/4" 30659 14112 13486 13319 13220 
"128/8" 55623 51509 52894 47545 52936 
"128/16" 96320 89511 83666 68123 93016 
"128/32" 150941 105417 138518 130346 129810 
"128/64" 173699 145461 150223 161231 184124 
"128/128" 192164 216235 245280 192164 201240 
"256/4" 28412 15176 24288 30117 21315 
"256/8" 52946 53420 52915 26053 53612 
"256/16" 91298 69301 76582 21174 91360 
"256/32" 137415 136681 137715 112471 138229 
"256/64" 171255 149279 172743 208501 150514 
"256/128" 241517 109255 23628 198627 215489 
"256/256" 325296 278257 34891 21770 288966 
"512/4" 15962 31439 18915 34576 27516 
"512/8" 49829 32547 34256 40904 31916 
"512/16" 89793 82050 95152 84527 84004 
"512/32" 135267 115625 129321 134093 126450 
"512/64" 207871 177466 175953 174085 184241 
"512/128" 206790 227854 223096 191691 222703 
"512/256" 220598 319385 264312 260149 264866 
"512/512" 541909 304400 312370 323036 92203 
"1024/4" 25225 28087 40584 19723 24149 
"1024/8" 39793 41512 50500 37629 35276 
"1024/16" 40512 83517 72239 54833 72061 
"1024/32" 136150 137563 129570 149928 83907 
"1024/64" 167590 169957 99950 184105 44009 
"1024/128" 93797 221929 215569 225105 215938 
"1024/256" 302871 140754 248066 261492 251966 
"1024/512" 356908 311143 184739 306481 181814 
"1024/1024" 535879 115705 245093 204602 133297 
"2048/4" 25093 26376 30746 25400 29426 
"2048/8" 25881 40676 40030 32930 27008 
"2048/16" 61760 61483 48672 56081 74074 
"2048/32" 86849 82391 110078 129024 89019 
"2048/64" 176414 178071 156050 183460 182334 
"2048/128" 207412 225927 213707 225157 231411 
"2048/256" 274677 269185 269076 234084 245245 
"2048/512" 385254 249360 289468 440242 360439 
"2048/1024" 425058 176963 488903 178008 158049 
"2048/2048" 634842 252127 776680 250487 103911 
"4096/4" 34892 33176 30999 32375 28889 
"4096/8" 42696 48834 42877 41213 42952 
"4096/16" 71150 63001 76725 60499 57840 
"4096/32" 74145 84938 69761 77943 81974 
"4096/64" 187451 146332 180839 193108 188763 
"4096/128" 236735 233349 191573 224400 221188 
"4096/256" 257724 229212 264836 293623 297978 
"4096/512" 343132 388730 290373 343970 370010 
"4096/1024" 431115 298958 459910 423485 452699 
"4096/2048" 656727 234164 668092 196487 375091 
"4096/4096" 677231 118821 694590 111823 38838 
"8192/4" 20464 35541 39508 43357 30811 
"8192/8" 67472 59414 59911 59811 58661 
"8192/16" 80656 76897 83061 82784 66995 
"8192/32" 98772 77012 96397 85785 109130 
"8192/64" 114402 137798 139236 148491 109999 
"8192/128" 210672 249300 245785 215482 252706 
"8192/256" 268360 298099 254505 257293 299077 
"8192/512" 412755 306207 342416 287438 301531 
"8192/1024" 499452 443221 424698 455338 355555 
"8192/2048" 696785 435999 701493 302064 272649 
"8192/4096" 732729 60284 507403 196757 218944 
"8192/8192" 876729 827989 851209 763027 350624 
"16384/4" 28537 41486 30968 40886 30127 
"16384/8" 51740 69756 66776 74588 66288 
"16384/16" 109559 97232 112797 102853 102918 
"16384/32" 130127 137780 136195 132491 135013 
"16384/64" 150935 141429 138561 149303 135403 
"16384/128" 173025 196543 217211 185416 209425 
"16384/256" 282395 265585 306597 276522 241983 
"16384/512" 381713 404344 404842 407603 341975 
"16384/1024" 447541 531412 475669 427134 460846 
"16384/2048" 668706 469146 416303 703028 716053 
"16384/4096" 581093 380102 503547 471997 751387 
"16384/8192" 885767 220511 250926 833278 227259 
"16384/16384" 1484035 563894 202724 289097 226248 
"32768/64" 214710 194256 194131 162078 191916 
"32768/128" 204434 211234 221913 225972 231654 
"32768/256" 221465 289219 228057 220107 242282 
"32768/512" 321636 386879 277450 280257 253214 
"32768/1024" 395356 509476 426006 528447 418498 
"32768/2048" 680964 741791 570582 769854 642058 
"32768/4096" 896525 900761 586116 430495 439414 
"32768/8192" 914085 972146 648254 340037 330715 
"32768/16384" 1394500 977331 1057574 397076 944813 
"65536/64" 183592 237433 209688 211588 222120 
"65536/128" 247879 218347 216717 252173 250789 
"65536/256" 279453 268184 254386 246457 292238 
"65536/512" 286393 350925 362867 384657 333057 
"65536/1024" 458220 422444 439491 469599 413962 
