Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 95808 82906 59974 20513 64779 
"64/8" 112892 119634 137040 20617 91810 
"64/16" 212570 133363 169701 20207 205099 
"64/32" 297664 188269 227718 19832 181399 
"64/64" 369844 224480 277078 19446 232854 
"128/4" 15314 19674 13887 16223 13407 
"128/8" 31067 30345 25931 21080 21077 
"128/16" 46579 40176 48267 23791 37316 
"128/32" 61653 57218 66290 67085 64552 
"128/64" 88043 88580 92694 82840 95379 
"128/128" 3223 154237 152182 159034 138518 
"256/4" 14464 10272 12062 12541 3308 
"256/8" 33324 24295 29177 20237 28850 
"256/16" 43347 54295 47629 22877 47187 
"256/32" 86929 64173 69265 24850 70387 
"256/64" 105260 114693 108198 115371 118138 
"256/128" 150874 143417 143821 151748 155528 
"256/256" 173441 232976 216053 196771 227545 
"512/4" 18386 20205 23831 12683 18509 
"512/8" 19673 19981 27096 23025 39252 
"512/16" 55208 56171 56888 32759 54643 
"512/32" 98274 87610 83906 47547 87954 
"512/64" 118574 112824 121382 72460 124630 
"512/128" 149882 163222 171171 149579 161503 
"512/256" 208133 202443 209330 199139 203575 
"512/512" 339963 250733 272772 231364 241512 
"1024/4" 19071 16654 18678 17853 21688 
"1024/8" 33175 20890 25607 19841 22490 
"1024/16" 54436 61742 55692 58013 62313 
"1024/32" 86567 91583 83942 86121 80516 
"1024/64" 133107 133771 138209 135467 125258 
"1024/128" 160326 172448 177964 169174 169114 
"1024/256" 216307 213236 219884 208677 204914 
"1024/512" 271390 299848 313139 255945 231412 
"1024/1024" 415421 411245 404772 396112 351044 
"2048/4" 17557 18566 19676 20926 20152 
"2048/8" 28955 25460 26740 31427 25080 
"2048/16" 57719 55706 44943 52223 31631 
"2048/32" 92720 90204 94556 94365 90618 
"2048/64" 145073 128756 121976 133074 133066 
"2048/128" 182125 139558 141622 162617 193572 
"2048/256" 226028 178352 199395 209941 220001 
"2048/512" 300254 259038 287444 242943 232042 
"2048/1024" 419926 347646 457963 367675 413916 
"2048/2048" 462202 610956 624186 430793 519914 
"4096/4" 14993 18718 18108 17205 18444 
"4096/8" 20530 23029 28244 27425 25618 
"4096/16" 54860 35379 51477 48967 45790 
"4096/32" 61200 64124 77764 80699 86175 
"4096/64" 134378 123993 121068 132419 137021 
"4096/128" 174445 180472 174796 178420 194593 
"4096/256" 216469 228368 219635 233762 216950 
"4096/512" 290540 315488 262092 300028 289589 
"4096/1024" 473956 423976 406231 458572 317394 
"4096/2048" 535501 588416 440862 533738 578528 
"4096/4096" 616035 354539 524723 554031 33733 
"8192/4" 18320 20792 16768 18206 20968 
"8192/8" 23144 24041 24810 34788 37152 
"8192/16" 54652 56847 61640 55701 73955 
"8192/32" 69454 61751 51153 71550 68978 
"8192/64" 114565 132670 119762 119653 120099 
"8192/128" 174156 174186 162347 130906 183512 
"8192/256" 234593 229166 237828 241708 258342 
"8192/512" 338050 263756 263458 298433 281153 
"8192/1024" 483532 395768 470450 468277 437420 
"8192/2048" 622021 468002 631127 548835 523913 
"8192/4096" 515055 194703 679828 543599 445046 
"8192/8192" 689209 105015 539765 630051 131122 
"16384/4" 17798 20215 17736 17220 18506 
"16384/8" 21170 26453 27161 48360 25855 
"16384/16" 67243 78961 84790 75063 64301 
"16384/32" 83280 77049 79389 78508 85280 
"16384/64" 101772 85477 109927 132769 106376 
"16384/128" 162025 153746 171787 127166 173708 
"16384/256" 196359 194473 220040 205813 240774 
"16384/512" 347457 264487 242313 254881 331030 
"16384/1024" 398443 417053 361493 275644 470453 
"16384/2048" 652979 652719 192943 485019 458497 
"16384/4096" 688897 303002 523849 265508 480411 
"16384/8192" 503657 249083 167709 305746 108852 
"16384/16384" 569993 91797 161442 78500 146865 
"32768/64" 139795 145708 146906 128550 144821 
"32768/128" 137968 150031 149339 144597 148175 
"32768/256" 179644 186443 181139 210626 203744 
"32768/512" 237370 253283 221255 266725 228537 
"32768/1024" 367857 363620 351796 324082 353457 
"32768/2048" 583434 556918 225923 80395 461561 
"32768/4096" 664624 631137 588727 350703 234985 
"32768/8192" 478679 505882 516787 280437 436760 
"32768/16384" 647958 459301 179456 167576 248942 
"65536/64" 161462 147275 149673 155335 147360 
"65536/128" 138457 178102 168995 179910 152382 
"65536/256" 198631 187582 173644 202813 201692 
"65536/512" 259200 218536 234527 214023 275129 
"65536/1024" 326592 306902 298645 345475 363299 
"65536/2048" 392941 469280 152254 366676 444628 
"65536/4096" 392052 253943 380788 289082 447824 
"65536/8192" 495887 126527 435165 356889 412960 
"65536/16384" 452483 220105 314095 156145 423448 
"131072/64" 161432 181174 154315 168375 165284 
"131072/128" 184312 191570 187470 179410 159975 
"131072/256" 232000 227391 189304 186065 192375 
"131072/512" 307605 273491 217943 231806 261078 
"131072/1024" 279459 348071 191580 258177 324434 
"131072/2048" 431379 356385 137636 346777 458362 
"131072/4096" 346341 406058 281227 410703 436861 
"131072/8192" 245223 349769 133838 254829 390714 
"131072/16384" 414942 265716 152915 137066 401214 
"262144/64" 165865 163064 166434 165744 169078 
"262144/128" 186546 184104 186564 186661 173446 
"262144/256" 208932 219763 203153 209657 226653 
"262144/512" 292518 303728 226178 232676 314806 
"262144/1024" 342977 295978 336876 345111 327500 
"262144/2048" 394168 384822 399271 423708 401870 
"262144/4096" 411218 405192 281163 403574 286274 
"262144/8192" 326196 440152 407683 387653 248583 
"262144/16384" 200862 447571 404266 393587 330176 
