Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 35205 27921 28867 27538 24643 
"64/8" 19578 13710 30724 35358 33022 
"64/16" 65031 64068 57299 84101 61135 
"64/32" 138240 129565 95944 106319 109217 
"64/64" 201255 139171 166233 151333 144180 
"128/4" 28014 27101 9185 27526 23214 
"128/8" 40827 33161 30345 50119 28380 
"128/16" 87128 90081 73940 79456 17000 
"128/32" 96964 110722 76457 108836 111111 
"128/64" 183935 150223 162648 177079 174433 
"128/128" 336005 308403 215109 245729 330828 
"256/4" 29832 17310 13517 20124 29843 
"256/8" 36420 11161 42794 48029 17186 
"256/16" 65373 29412 59646 29496 17488 
"256/32" 122074 107429 147800 125366 51737 
"256/64" 187821 159906 74899 186744 157145 
"256/128" 325790 58716 146190 235118 98419 
"256/256" 365740 358534 399337 324020 365242 
"512/4" 29265 20275 11750 31591 15928 
"512/8" 40667 40078 19154 47926 25558 
"512/16" 75095 51728 79381 73690 40071 
"512/32" 116921 71889 110798 82634 76179 
"512/64" 182860 131991 166293 171691 106575 
"512/128" 276887 289114 181164 144341 238243 
"512/256" 411253 278106 119180 325731 158511 
"512/512" 731480 372904 160549 154076 149277 
"1024/4" 26883 15948 27997 13280 19083 
"1024/8" 37576 30682 31051 32633 19217 
"1024/16" 71111 63720 51272 38496 66013 
"1024/32" 125320 104521 117822 116870 48379 
"1024/64" 192774 185409 159451 133996 128254 
"1024/128" 282400 262499 252781 216264 240886 
"1024/256" 363770 167701 187129 152499 200233 
"1024/512" 484168 188891 239543 396624 246570 
"1024/1024" 659768 311798 283256 438539 357532 
"2048/4" 27528 24712 23146 19727 27903 
"2048/8" 37272 25946 28468 28671 24955 
"2048/16" 75753 44438 53870 55355 56619 
"2048/32" 93255 103612 79534 132155 125613 
"2048/64" 124649 117142 212223 128440 163918 
"2048/128" 300864 155505 185492 228444 166572 
"2048/256" 353599 172739 265943 147252 193224 
"2048/512" 459212 277885 188948 346412 126287 
"2048/1024" 524454 378431 524999 406839 254224 
"2048/2048" 721127 343284 798706 688196 543089 
"4096/4" 27990 24604 29468 22159 18514 
"4096/8" 39968 33383 38095 32480 33197 
"4096/16" 76580 54875 75544 48292 65533 
"4096/32" 128971 90850 128035 87334 81117 
"4096/64" 192300 176855 203678 127011 145671 
"4096/128" 307481 208216 311078 124241 185961 
"4096/256" 381878 288408 388765 244961 162599 
"4096/512" 498605 365974 528305 294762 288675 
"4096/1024" 603590 470039 594319 410463 586227 
"4096/2048" 952753 724192 757396 678702 788725 
"4096/4096" 824338 818057 782118 920441 190538 
"8192/4" 31520 21756 31714 24978 35384 
"8192/8" 34851 33443 40368 35557 37287 
"8192/16" 76245 60677 74210 53599 64162 
"8192/32" 127260 71469 123384 82763 118059 
"8192/64" 180722 135021 163777 119251 184293 
"8192/128" 217727 162262 318914 211416 253536 
"8192/256" 76094 231706 378470 188864 203491 
"8192/512" 338934 237670 557545 369210 342075 
"8192/1024" 598968 270703 551655 490245 353849 
"8192/2048" 1017258 655035 717280 605108 577505 
"8192/4096" 792560 780551 1019401 735962 819595 
"8192/8192" 1118087 724632 737225 770712 864226 
"16384/4" 31625 23123 34224 24909 21528 
"16384/8" 38111 42215 40696 39376 36274 
"16384/16" 70063 70170 67947 62027 63870 
"16384/32" 106327 102981 100409 93582 89150 
"16384/64" 172279 169022 174007 124556 106430 
"16384/128" 178267 184222 151392 142791 130694 
"16384/256" 378436 280557 267940 55181 221420 
"16384/512" 626346 630732 424643 270363 284806 
"16384/1024" 630617 583724 386588 438133 315629 
"16384/2048" 729476 501255 486258 435154 667342 
"16384/4096" 837115 915297 894076 674263 803099 
"16384/8192" 874696 425990 1082165 454771 674296 
"16384/16384" 932867 910785 1050390 904539 637686 
"32768/64" 168151 132635 144657 136010 175026 
"32768/128" 212226 166856 56064 154751 236383 
"32768/256" 277895 210917 167003 241495 290082 
"32768/512" 374384 247131 220030 255688 358971 
"32768/1024" 470520 655098 317861 318476 553270 
"32768/2048" 733145 1002269 561383 364636 624618 
"32768/4096" 667659 831316 767438 550657 663079 
"32768/8192" 891258 1209681 886263 804951 925728 
"32768/16384" 952896 964674 883756 933848 587934 
"65536/64" 188201 171891 175348 53478 161518 
"65536/128" 248869 171885 155972 70819 105457 
"65536/256" 198900 334653 198608 208599 207820 
"65536/512" 304078 252204 144872 269245 248863 
"65536/1024" 479852 284269 292516 304313 289144 
"65536/2048" 815103 457231 468687 584499 577887 
"65536/4096" 915625 642239 750973 703583 541579 
"65536/8192" 687406 927392 1058346 654463 751137 
"65536/16384" 977420 947600 845856 1021908 931569 
"131072/64" 187436 150199 225750 99844 187623 
"131072/128" 245785 179717 198592 227730 162495 
"131072/256" 330827 132253 89274 189194 198294 
"131072/512" 365897 75835 252912 233447 217792 
"131072/1024" 454615 379381 111163 192414 397578 
"131072/2048" 595145 484526 342680 273824 576959 
"131072/4096" 726145 580323 140170 494770 524120 
"131072/8192" 754879 1034132 662651 810006 703028 
"131072/16384" 792402 965695 868458 888738 1127549 
"262144/64" 176687 162430 209125 107080 207476 
"262144/128" 177075 148505 115330 264086 125621 
"262144/256" 305521 217699 278921 188721 239456 
"262144/512" 171719 209806 248055 236625 146440 
"262144/1024" 566783 406136 417406 440817 403974 
"262144/2048" 791846 592675 369725 522813 319469 
"262144/4096" 494394 625810 491791 278270 254249 
"262144/8192" 663722 725849 644455 814050 664323 
"262144/16384" 928929 1035209 789578 954687 961220 
"524288/64" 158653 197215 156303 192017 125709 
"524288/128" 162773 237015 195294 119333 127626 
"524288/256" 219865 222358 211365 309514 205921 
"524288/512" 245678 195520 243262 197414 124455 
"524288/1024" 280388 582126 404728 595800 211085 
"524288/2048" 153896 682063 612755 726278 316066 
"524288/4096" 480291 768971 479846 186766 255552 
"524288/8192" 739057 482236 851538 767111 652684 
"524288/16384" 548614 963899 355721 900153 378840 
