Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 32471 13403 14949 14112 15009 
"64/8" 24798 24352 31127 5135 28430 
"64/16" 160374 35730 41911 33475 38414 
"64/32" 228688 56479 49924 37206 48923 
"64/64" 100809 99207 125507 92762 109040 
"128/4" 2999 7557 34224 40011 35935 
"128/8" 35834 31960 29609 31636 8493 
"128/16" 39119 44384 49532 42454 41001 
"128/32" 62530 60487 63838 58204 56969 
"128/64" 92487 84869 90921 83549 98008 
"128/128" 144288 148684 168202 140036 139128 
"256/4" 16730 10555 10767 16079 13639 
"256/8" 12049 12351 12203 15980 11751 
"256/16" 42524 53256 43835 49354 45478 
"256/32" 77204 16445 69965 81240 71412 
"256/64" 106134 95242 101307 103276 97596 
"256/128" 136542 120471 139740 140361 148577 
"256/256" 237458 229343 245943 220128 224359 
"512/4" 7276 26010 11434 21561 9798 
"512/8" 11133 22270 19264 22148 31757 
"512/16" 35257 36956 35811 47446 35054 
"512/32" 79776 81049 68550 89419 76830 
"512/64" 105715 100982 100214 121726 106180 
"512/128" 151339 155290 143819 118027 157396 
"512/256" 214046 213323 220213 201493 207450 
"512/512" 16581 227564 242878 265816 205288 
"1024/4" 16867 17185 23702 17447 19749 
"1024/8" 15341 67192 17682 27253 28306 
"1024/16" 48402 57984 56011 31268 39245 
"1024/32" 73737 88912 76435 71096 50041 
"1024/64" 119431 111220 109076 113955 113210 
"1024/128" 147149 142757 154263 147063 42146 
"1024/256" 224470 211618 182626 199184 150279 
"1024/512" 290498 259517 215299 263854 319594 
"1024/1024" 451303 374948 341689 389361 351648 
"2048/4" 16895 17669 17322 17734 15587 
"2048/8" 22589 21257 26987 25543 21807 
"2048/16" 26801 37225 49379 34535 23610 
"2048/32" 68694 54126 48124 78407 50193 
"2048/64" 118854 114727 125758 115270 123596 
"2048/128" 148741 184353 117958 161605 170057 
"2048/256" 209276 232992 221431 197948 115981 
"2048/512" 316238 207452 265008 194603 317020 
"2048/1024" 346119 199321 407650 169802 394834 
"2048/2048" 435643 469092 578532 575586 645869 
"4096/4" 12365 17228 16679 18635 11220 
"4096/8" 26067 22843 23392 26983 22858 
"4096/16" 56452 52630 46425 56192 51459 
"4096/32" 52906 51801 70524 41022 59998 
"4096/64" 117812 120286 116821 121546 125340 
"4096/128" 161711 174638 174180 168511 152345 
"4096/256" 207991 210267 205818 226158 145666 
"4096/512" 312124 189122 204401 305214 241253 
"4096/1024" 355648 395787 365095 358857 430251 
"4096/2048" 580915 594648 487278 529886 322089 
"4096/4096" 488844 611605 562006 281200 560557 
"8192/4" 15670 13358 19751 16791 16425 
"8192/8" 22006 21508 22991 18649 24466 
"8192/16" 75776 52299 50239 54211 48411 
"8192/32" 59218 60639 63426 55971 63574 
"8192/64" 89056 112259 76780 91687 96376 
"8192/128" 158950 172155 113994 165621 171230 
"8192/256" 185468 220719 197774 234608 251751 
"8192/512" 331527 255273 303496 275204 351784 
"8192/1024" 410462 282757 346253 352842 357166 
"8192/2048" 531672 504994 501684 483077 512864 
"8192/4096" 489951 497658 412943 440290 502483 
"8192/8192" 502211 497932 381093 525066 415420 
"16384/4" 19166 18361 16214 17977 18888 
"16384/8" 19513 20184 22966 26582 24599 
"16384/16" 63196 68308 81959 53837 65560 
"16384/32" 92713 87004 93933 76541 86051 
"16384/64" 96088 104393 108362 127655 111635 
"16384/128" 139149 121292 132093 138721 128336 
"16384/256" 152444 162525 196453 196107 155301 
"16384/512" 273924 332373 342604 254670 249364 
"16384/1024" 411814 414575 432704 403120 397689 
"16384/2048" 548510 493065 470343 579721 521353 
"16384/4096" 624888 535791 502251 636345 575584 
"16384/8192" 545861 577873 486661 448397 522781 
"16384/16384" 559623 532916 522964 573969 547265 
"32768/64" 144795 153456 153522 162419 146877 
"32768/128" 144944 168895 129886 130386 130907 
"32768/256" 247068 228716 214098 228011 182062 
"32768/512" 321661 288249 256599 233970 230502 
"32768/1024" 283263 350302 326422 350624 305017 
"32768/2048" 465724 553150 431453 593484 543353 
"32768/4096" 575200 565471 450630 579317 346413 
"32768/8192" 591565 419709 435253 443338 456295 
"32768/16384" 476957 454794 455560 461573 576818 
"65536/64" 161087 159642 167123 162719 158974 
"65536/128" 158134 176688 168804 167672 170058 
"65536/256" 194125 199915 179500 192989 191440 
"65536/512" 227046 222331 252247 245607 239465 
"65536/1024" 265261 280438 331153 315702 258941 
"65536/2048" 422314 438497 416860 441308 487310 
"65536/4096" 466605 432287 460981 497200 427119 
"65536/8192" 334797 460947 434188 402822 428427 
"65536/16384" 455187 461673 395772 477615 434660 
"131072/64" 163908 169705 169138 168887 183053 
"131072/128" 172499 164814 178951 154581 156174 
"131072/256" 215069 188265 190707 200098 186730 
"131072/512" 244851 239934 228114 245856 263323 
"131072/1024" 301260 293832 305693 309443 303909 
"131072/2048" 395045 373738 360927 378338 391424 
"131072/4096" 390242 385141 372450 369985 424142 
"131072/8192" 390739 419887 390356 368176 392250 
"131072/16384" 376266 371453 400568 456849 389991 
"262144/64" 156490 159843 163889 159856 169832 
"262144/128" 157582 183526 168656 171325 181912 
"262144/256" 215755 217355 203519 218994 205988 
"262144/512" 241187 251595 255812 261057 251687 
"262144/1024" 333649 317246 331948 316252 331626 
"262144/2048" 362633 397501 406640 402266 363044 
"262144/4096" 384255 392361 384607 390134 392732 
"262144/8192" 402572 385778 393686 364401 389994 
"262144/16384" 358616 430634 393651 419831 387519 
"524288/64" 165357 167232 162561 161788 172109 
"524288/128" 186779 181558 187717 167517 183586 
"524288/256" 204046 219111 216227 197808 202080 
"524288/512" 264330 249780 256296 247096 254015 
"524288/1024" 320916 326132 240499 323072 323379 
"524288/2048" 372602 362452 367856 374406 390251 
"524288/4096" 394702 357338 358831 397666 388326 
"524288/8192" 386011 371271 360177 385946 376174 
"524288/16384" 406433 389311 369467 392700 380234 
