Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 38228 30490 25619 36018 23827 
"64/8" 31544 27211 32752 39923 13217 
"64/16" 67875 5947 45003 48091 70718 
"64/32" 126274 94260 93832 110932 27571 
"64/64" 205099 190947 37649 173429 181767 
"128/4" 29251 19768 7199 17365 22126 
"128/8" 52697 39458 40251 45777 53892 
"128/16" 74588 71872 82572 84655 75246 
"128/32" 101741 130219 90598 116995 108550 
"128/64" 152225 54627 189921 163689 147499 
"128/128" 115734 172471 183369 217373 194814 
"256/4" 14563 14711 10168 11377 10222 
"256/8" 39125 33534 28952 16049 36097 
"256/16" 110106 58065 91492 83256 93565 
"256/32" 110446 138069 121963 123081 111455 
"256/64" 155799 154122 143016 162865 170197 
"256/128" 215489 207454 206139 196626 210876 
"256/256" 237721 263636 216053 239257 259370 
"512/4" 32004 22553 19225 16271 13325 
"512/8" 24081 21545 22624 26004 19222 
"512/16" 76507 54742 41615 68083 61309 
"512/32" 124608 77120 146617 56312 83239 
"512/64" 181946 181746 146168 181546 174637 
"512/128" 218155 262823 226246 196695 206037 
"512/256" 238587 249278 232517 233477 226651 
"512/512" 449847 285235 258179 289269 287334 
"1024/4" 23842 16029 17225 11710 18028 
"1024/8" 29703 27841 25684 27565 25511 
"1024/16" 64108 79502 55033 84197 53048 
"1024/32" 129017 83062 102955 141315 118820 
"1024/64" 193468 120018 90234 201265 189943 
"1024/128" 253154 181622 254851 228470 204924 
"1024/256" 318103 357919 113061 244048 276830 
"1024/512" 251848 92720 361961 264879 273498 
"1024/1024" 451683 447168 405728 431359 356050 
"2048/4" 21219 15514 17202 16611 18556 
"2048/8" 29847 36368 28412 33934 25233 
"2048/16" 67883 44643 50427 49571 65605 
"2048/32" 124558 115627 100549 97305 115451 
"2048/64" 142408 107732 106421 120046 160779 
"2048/128" 284004 278832 292903 259038 281316 
"2048/256" 309370 154295 235432 212670 128168 
"2048/512" 531397 285999 267010 329687 112453 
"2048/1024" 488569 429071 489376 189052 250795 
"2048/2048" 515082 461779 554554 546857 428451 
"4096/4" 28134 15339 26638 18421 16367 
"4096/8" 35359 25958 30327 27551 25207 
"4096/16" 61192 54233 63365 46077 59613 
"4096/32" 120120 135025 117667 91898 89753 
"4096/64" 183455 140649 179679 133177 151692 
"4096/128" 253844 217098 272394 136224 165595 
"4096/256" 407968 172863 342988 280933 259468 
"4096/512" 407851 313897 442622 221359 467634 
"4096/1024" 543240 407030 551435 248017 586147 
"4096/2048" 678702 318950 497926 202142 203761 
"4096/4096" 805968 761626 749498 700795 301513 
"8192/4" 26907 14850 26123 10175 22845 
"8192/8" 24653 21056 27539 23370 32756 
"8192/16" 54268 36712 59586 43427 55823 
"8192/32" 100940 80784 103451 67051 93726 
"8192/64" 83484 132018 190857 148327 193435 
"8192/128" 50522 190689 223581 154167 174520 
"8192/256" 334271 198532 363442 23553 208261 
"8192/512" 265293 215777 447504 306701 266468 
"8192/1024" 587498 261549 568805 339299 298749 
"8192/2048" 642865 283321 627588 552355 257311 
"8192/4096" 711355 439631 737289 182645 776933 
"8192/8192" 746272 723152 631998 697435 315438 
"16384/4" 20241 21728 21538 12857 9256 
"16384/8" 24257 22934 21809 19165 19592 
"16384/16" 42721 43826 56486 31114 28023 
"16384/32" 83571 97072 78712 59173 49469 
"16384/64" 161747 159109 104041 147683 105047 
"16384/128" 284103 300261 191254 181646 182504 
"16384/256" 378209 372463 188579 265151 246002 
"16384/512" 454239 504667 285082 251659 302662 
"16384/1024" 495197 298145 299246 480200 314188 
"16384/2048" 594162 424467 502236 446686 651500 
"16384/4096" 726077 434843 549690 705598 314817 
"16384/8192" 868209 670958 777635 464820 919523 
"16384/16384" 905194 585769 711508 910278 849922 
"32768/64" 141181 106448 112082 119735 118703 
"32768/128" 185258 155009 150752 159142 199659 
"32768/256" 403750 211145 202652 243880 359318 
"32768/512" 513692 544727 238137 264315 420485 
"32768/1024" 719309 649335 335637 448869 683807 
"32768/2048" 764731 828960 593084 508449 516274 
"32768/4096" 824930 790656 486251 488885 483703 
"32768/8192" 766715 1004539 337029 818850 427948 
"32768/16384" 746116 1070390 843583 967179 672965 
"65536/64" 143755 77761 95355 91682 82523 
"65536/128" 123287 214766 122116 128242 143103 
"65536/256" 85037 198217 185921 154183 115073 
"65536/512" 320172 246683 216265 228615 213463 
"65536/1024" 553112 308428 333114 348571 451838 
"65536/2048" 983477 402765 368583 502623 634910 
"65536/4096" 714514 736336 900628 596025 640907 
"65536/8192" 853645 746892 1077822 671234 378855 
"65536/16384" 821262 1374267 1039048 558203 982489 
"131072/64" 142330 84201 90257 63286 94081 
"131072/128" 195316 118477 138637 125331 116279 
"131072/256" 264158 132979 161290 131512 149467 
"131072/512" 338490 245987 178725 145501 122975 
"131072/1024" 380473 323105 177030 264638 395537 
"131072/2048" 476427 395606 346363 330009 576995 
"131072/4096" 536079 531452 599356 438630 636426 
"131072/8192" 663450 515546 705614 291886 586420 
"131072/16384" 896935 473403 237865 1162810 759041 
"262144/64" 135927 72734 86639 97515 71455 
"262144/128" 209756 114404 119991 202870 111995 
"262144/256" 253960 140786 190145 155660 134437 
"262144/512" 296926 221123 220044 220149 236976 
"262144/1024" 407776 397942 259159 331703 312876 
"262144/2048" 345824 513653 421447 488474 478407 
"262144/4096" 409219 482607 212462 613829 386064 
"262144/8192" 562683 595781 466415 653808 562992 
"262144/16384" 362874 387950 959893 1060758 909575 
"524288/64" 72784 92445 84025 83850 85543 
"524288/128" 126483 178595 127305 95072 107926 
"524288/256" 115965 221624 121409 211956 136940 
"524288/512" 178666 261364 219207 284233 154635 
"524288/1024" 250724 363253 303241 231250 355811 
"524288/2048" 433039 316100 301515 359589 218540 
"524288/4096" 195204 531929 402182 344497 374361 
"524288/8192" 215108 528737 442027 539846 442139 
"524288/16384" 750815 766527 383847 764033 342729 
