Mode 6-HDD-1-NVMe/read-caching-1 6-HDD-1-NVMe/read-caching-2 6-HDD-1-NVMe/read-caching-3 6-HDD-1-NVMe/read-caching-4 6-HDD-1-NVMe/read-caching-5 
"64/4" 853 13524 12324 10927 12463 
"64/8" 100809 24777 28521 24271 20163 
"64/16" 153848 32064 41937 35049 41748 
"64/32" 269025 54374 53689 48701 54885 
"64/64" 1070 100809 99390 112655 106487 
"128/4" 351 14923 13215 5735 6591 
"128/8" 28237 26267 24878 30849 22273 
"128/16" 45730 39517 40933 41790 40482 
"128/32" 70135 63581 60521 60747 68515 
"128/64" 95159 83393 89317 91697 95243 
"128/128" 53114 137807 138090 135443 146613 
"256/4" 14253 11747 12136 14468 12416 
"256/8" 11967 20612 27155 33560 10255 
"256/16" 44622 48410 47399 41369 39831 
"256/32" 76900 67084 90582 61805 77853 
"256/64" 118295 104665 119069 105003 110005 
"256/128" 156275 152200 169418 21978 169338 
"256/256" 270272 259935 285356 222177 253431 
"512/4" 20691 17996 19460 19776 18507 
"512/8" 23727 21922 17441 16347 23330 
"512/16" 50116 49694 48645 52127 49512 
"512/32" 71238 75827 64932 85649 73068 
"512/64" 107359 103834 104827 125394 95733 
"512/128" 149746 155346 158172 155155 151297 
"512/256" 210438 236720 211495 206294 231364 
"512/512" 220779 223770 234856 263662 236929 
"1024/4" 17682 20083 18681 18686 20297 
"1024/8" 25524 24474 31468 19126 17597 
"1024/16" 21484 34914 23925 54953 28005 
"1024/32" 70305 70051 77102 82434 85299 
"1024/64" 107449 120869 105274 111645 109087 
"1024/128" 153272 153914 142856 154102 145228 
"1024/256" 244104 199953 198145 205335 224905 
"1024/512" 264536 237700 215677 243178 278788 
"1024/1024" 471673 319808 310491 360412 298452 
"2048/4" 23127 19625 21362 18192 23600 
"2048/8" 23277 24215 35187 20955 26684 
"2048/16" 31014 30362 47793 26700 38868 
"2048/32" 81286 80254 79800 81469 84398 
"2048/64" 127211 115464 116595 121839 123835 
"2048/128" 150421 181464 160036 163643 171305 
"2048/256" 217275 248631 235187 199571 233340 
"2048/512" 303629 347112 231230 296462 320594 
"2048/1024" 362401 396053 337074 349969 374749 
"2048/2048" 521240 558774 573357 547450 585991 
"4096/4" 16476 16399 12585 17177 16578 
"4096/8" 21229 22163 29013 26318 23550 
"4096/16" 26459 43048 34250 26468 35211 
"4096/32" 74374 74792 83807 68206 62279 
"4096/64" 125748 121290 114470 124185 133017 
"4096/128" 174173 176787 167095 132839 159055 
"4096/256" 218129 220807 226522 227418 236094 
"4096/512" 288331 302240 262697 317470 352286 
"4096/1024" 353933 385788 415416 348060 448621 
"4096/2048" 552624 473198 476057 510913 417871 
"4096/4096" 601371 549794 520920 506305 485364 
"8192/4" 12163 18465 14967 16994 17285 
"8192/8" 21718 25345 22821 25301 19850 
"8192/16" 41924 51712 58489 51507 47808 
"8192/32" 61205 63726 64226 50499 64495 
"8192/64" 121472 106766 122733 125233 120633 
"8192/128" 151437 162884 160225 177666 174057 
"8192/256" 195415 216771 218733 227884 206409 
"8192/512" 312447 250740 297415 266751 359690 
"8192/1024" 407909 370743 374849 441427 339141 
"8192/2048" 508123 595790 482419 420967 473034 
"8192/4096" 520122 520493 482792 608656 595089 
"8192/8192" 592421 541799 466566 360467 580903 
"16384/4" 15967 18433 17262 16989 17006 
"16384/8" 19327 21330 23692 24440 38823 
"16384/16" 82323 80833 74587 55935 70393 
"16384/32" 66610 87542 96759 92142 87910 
"16384/64" 99791 101487 99585 112502 109925 
"16384/128" 159151 170472 146267 164919 171060 
"16384/256" 214982 203849 212509 198629 245130 
"16384/512" 278118 368023 315521 287791 251435 
"16384/1024" 422541 444686 429507 454164 383871 
"16384/2048" 544481 464676 531169 706577 534217 
"16384/4096" 559164 571406 482449 601731 516843 
"16384/8192" 539692 537446 487431 525246 530534 
"16384/16384" 512702 541226 527407 621975 554543 
"32768/64" 142232 128611 143866 142918 148804 
"32768/128" 134118 147956 141467 154479 133927 
"32768/256" 158668 152427 201385 215894 175061 
"32768/512" 284622 265203 279975 260092 219484 
"32768/1024" 378353 352272 277285 354022 361192 
"32768/2048" 531465 604284 532744 599618 592162 
"32768/4096" 590957 501538 461494 527988 481655 
"32768/8192" 505733 474843 503124 590424 551715 
