Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 24913 30104 32322 32889 32014 
"64/8" 5565 31066 34428 33864 33006 
"64/16" 59934 14756 59921 64515 53603 
"64/32" 105111 103053 93407 35030 43920 
"64/64" 143793 184389 155722 50355 171985 
"128/4" 8655 33375 6837 16612 12577 
"128/8" 13510 28920 13264 10249 32561 
"128/16" 44198 54722 64715 42353 60378 
"128/32" 74032 95108 120298 99998 18419 
"128/64" 39000 127347 86538 91822 42782 
"128/128" 231030 216235 30511 44213 231030 
"256/4" 8564 12560 17790 10618 8649 
"256/8" 15213 16967 19393 21906 18554 
"256/16" 18510 25707 17717 39758 58515 
"256/32" 92685 115421 74272 34006 86370 
"256/64" 167751 179022 73736 47258 38022 
"256/128" 69319 160504 61158 115620 137697 
"256/256" 71053 74072 73539 84828 79898 
"512/4" 11708 7345 8899 10379 10578 
"512/8" 13344 17923 24691 17297 21517 
"512/16" 51272 29552 35293 55083 38137 
"512/32" 62113 93756 51477 60540 74635 
"512/64" 63886 120925 51401 66754 72860 
"512/128" 82969 77365 92349 59259 40576 
"512/256" 73584 92552 75371 73183 84640 
"512/512" 389050 191332 75261 219740 194821 
"1024/4" 7501 8856 7803 8888 8668 
"1024/8" 13549 17732 17566 20407 16845 
"1024/16" 28321 33741 39950 36213 36972 
"1024/32" 48167 39886 93483 47879 64382 
"1024/64" 44920 102420 79085 65239 76733 
"1024/128" 60819 75875 73011 98299 100155 
"1024/256" 78359 71623 89052 86735 119278 
"1024/512" 156147 143900 151997 212982 164603 
"1024/1024" 227153 203371 201652 311143 203333 
"2048/4" 9287 10769 8599 9181 8425 
"2048/8" 16396 15910 17648 19539 16262 
"2048/16" 32450 30231 61779 31031 42134 
"2048/32" 68403 83735 54517 104971 124272 
"2048/64" 46886 95969 90820 153419 73064 
"2048/128" 68844 60150 91147 55915 79413 
"2048/256" 70187 80668 100362 77912 390029 
"2048/512" 166601 166870 174461 104468 168160 
"2048/1024" 234807 95043 73064 332520 406743 
"2048/2048" 334475 331878 705955 374471 142342 
"4096/4" 10911 11598 34953 7129 30701 
"4096/8" 18972 17517 17078 18071 28329 
"4096/16" 45527 34384 36951 45316 50728 
"4096/32" 71513 68887 82472 59358 113481 
"4096/64" 149429 95067 102129 78596 216240 
"4096/128" 85929 84743 116469 172376 280625 
"4096/256" 78876 81939 74589 81209 364607 
"4096/512" 158592 190158 278429 137114 389833 
"4096/1024" 279798 405867 252590 290451 612805 
"4096/2048" 389320 610800 416463 295741 730380 
"4096/4096" 362606 116542 608270 421221 1250645 
"8192/4" 8984 10966 9538 10751 34685 
"8192/8" 15484 19096 16513 17644 24021 
"8192/16" 35391 32498 29970 34640 48083 
"8192/32" 73043 50937 51858 51279 96216 
"8192/64" 126809 119696 91078 58737 200474 
"8192/128" 92269 119502 46195 66435 300295 
"8192/256" 73542 99886 77540 76448 367736 
"8192/512" 164889 227922 151331 166551 507973 
"8192/1024" 285802 250759 280481 287719 673630 
"8192/2048" 156481 554978 398638 378241 798046 
"8192/4096" 333713 426046 529133 708407 937847 
"8192/8192" 432155 932072 810929 613579 1114425 
"16384/4" 10921 10852 10444 10315 34711 
"16384/8" 17038 17069 18976 17059 33904 
"16384/16" 33107 54989 68364 33174 41690 
"16384/32" 69757 68805 67263 43799 132619 
"16384/64" 65835 77854 81502 80701 86798 
"16384/128" 64539 87476 93659 55425 83293 
"16384/256" 76857 115982 92918 73933 421042 
"16384/512" 143302 140678 154919 149057 495372 
"16384/1024" 302533 262513 281618 276560 700441 
"16384/2048" 243143 412487 387685 394101 628081 
"16384/4096" 498965 546843 503812 299690 750386 
"16384/8192" 595650 661337 465519 328344 855477 
"16384/16384" 781011 411918 726691 314122 1426431 
"32768/64" 87420 85416 81465 69541 207136 
"32768/128" 72666 102846 69447 68878 286759 
"32768/256" 81900 100836 67697 81204 356630 
"32768/512" 148176 148237 340921 115881 110566 
"32768/1024" 200872 139270 176545 267660 761089 
"32768/2048" 373982 364599 364146 240925 708496 
"32768/4096" 413242 485459 536556 407668 1128289 
"32768/8192" 598818 226421 592593 450548 938080 
"32768/16384" 501814 729228 509817 733129 874511 
"65536/64" 59163 76944 47694 51229 72694 
"65536/128" 69829 39884 79263 72576 79823 
"65536/256" 81231 82151 81777 81012 82725 
"65536/512" 149002 384521 156151 134260 111067 
"65536/1024" 156107 265081 174707 296691 652287 
"65536/2048" 325952 369424 382537 266406 410683 
"65536/4096" 366671 528396 505374 527592 558042 
"65536/8192" 520024 607788 434059 591533 657675 
"65536/16384" 590925 845812 820759 629554 785765 
"131072/64" 65360 51273 52063 53063 67288 
"131072/128" 76549 74486 60860 69063 60243 
"131072/256" 89404 80076 75366 83915 80094 
"131072/512" 154067 149166 150163 121068 112995 
"131072/1024" 155059 283732 290011 170785 283722 
"131072/2048" 248811 235227 376240 158086 293990 
"131072/4096" 380442 340398 346472 508957 1151473 
"131072/8192" 571521 531195 545701 559390 1216333 
"131072/16384" 694097 683115 706930 619079 243632 
"262144/64" 54157 80673 46707 54851 157412 
"262144/128" 83848 60268 74624 66545 63204 
"262144/256" 87203 65884 82187 77517 391404 
"262144/512" 117175 142981 114498 136280 379097 
"262144/1024" 265756 225612 259258 173371 259795 
"262144/2048" 266496 260416 230301 282464 367785 
"262144/4096" 383125 402041 345734 504978 513117 
"262144/8192" 439511 605083 533367 463089 524443 
"262144/16384" 740471 646050 655897 618181 694925 
"524288/64" 98187 95704 44192 58724 111133 
"524288/128" 57104 55511 62888 132054 104378 
"524288/256" 70008 133556 146958 165173 386551 
"524288/512" 138903 122306 113614 240495 260658 
