Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 3791156 5860307 6421025 5389653 5860307 
"64/8" 4564786 7940539 7100397 5860307 4018152 
"64/16" 4018152 4564786 4207076 4897948 6421025 
"64/32" 5860307 3791156 4018152 6421025 4564786 
"64/64" 5735102 3541098 3791156 4564786 4988978 
"128/4" 5603747 3468030 5325799 4759253 3468030 
"128/8" 6727225 5122535 3468030 3867787 4407601 
"128/16" 4557257 4934216 4934216 4889281 4267461 
"128/32" 7082197 5122535 4407601 2905056 7082197 
"128/64" 5325799 6727225 7917784 7082197 5603747 
"128/128" 5122535 7082197 5325799 4267461 7176872 
"256/4" 5022044 3326279 3087188 3557725 3705040 
"256/8" 4264168 6107548 4070199 5971678 4840911 
"256/16" 6719046 4840911 6398720 5022044 5217259 
"256/32" 7518900 4652146 5217259 7314033 5455847 
"256/64" 5687020 6761355 5569035 4264168 5971678 
"256/128" 5540300 5810112 5428265 7518900 5687020 
"256/256" 7965107 5810112 6936061 7120034 5810112 
"512/4" 3710197 3556580 3459188 3388236 4131319 
"512/8" 6652558 4742616 4532414 4262523 6246213 
"512/16" 7091952 6821616 4701087 4784885 7022379 
"512/32" 8109658 5453155 5278892 6246213 7211022 
"512/64" 6018636 5384786 4447925 5495016 7871843 
"512/128" 6086873 5760329 5566231 8362289 5951911 
"512/256" 5384786 5760329 5509113 7620440 8562340 
"512/512" 5177083 5760329 5624545 5566231 6018636 
"1024/4" 3738636 5330028 3849207 3684119 3937426 
"1024/8" 6559147 4433259 3631168 4249053 6733974 
"1024/16" 7020149 5144870 5018624 4949226 5789881 
"1024/32" 5144870 4715569 5444898 5593820 7369466 
"1024/64" 7941793 5564829 5821271 5144870 6441107 
"1024/128" 6364746 6025439 5958564 5593820 6163794 
"1024/256" 6208343 5720477 5720477 6244448 8457895 
"1024/512" 5444898 5983467 5950309 5720477 6172653 
"1024/1024" 6016997 5089995 6244448 8610501 6280976 
"2048/4" 3709263 3736694 3555722 3677503 3955204 
"2048/8" 6321679 4686767 4730646 6629029 2147051 
"2048/16" 7726111 5293261 5475461 5238385 6132138 
"2048/32" 7999524 5475461 5416763 5032754 6563185 
"2048/64" 6075753 5953632 6321679 8292998 6440169 
"2048/128" 6321679 5489457 6340344 6608629 8608824 
"2048/256" 6321679 6185123 6378005 6080053 7106133 
"2048/512" 6266340 6440169 2345819 6280083 7874853 
"2048/1024" 9349021 6225466 6092991 5564129 5769681 
"2048/2048" 6167360 6149699 5884299 7754008 8261095 
"4096/4" 5784846 3673419 3992713 5563779 5340661 
"4096/8" 4149921 4935601 5057654 5030994 6500617 
"4096/16" 5826043 4735608 6005255 3084464 8497289 
