Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 2358717 5735102 6421025 5283570 5860307 
"64/8" 2358717 3363612 4018152 3588436 2561267 
"64/16" 3541098 4018152 6421025 5389653 3791156 
"64/32" 3738358 4207076 4564786 3363612 3203069 
"64/64" 3541098 3057153 3022727 5283570 3363612 
"128/4" 3759450 3560017 5122535 1997245 3468030 
"128/8" 3657016 3785961 3468030 3124872 3759450 
"128/16" 4012317 4012317 3867787 3759450 4012317 
"128/32" 3867787 4135958 3124872 4135958 4267461 
"128/64" 3657016 5122535 3867787 5325799 4012317 
"128/128" 3297617 3867787 3759450 5325799 3895854 
"256/4" 3465855 3123106 5217259 3605511 3770085 
"256/8" 3123106 3368013 5320671 3770085 3823789 
"256/16" 3667079 3368013 4281170 5117791 3950402 
"256/32" 5938650 4070199 4132864 4332998 6107548 
"256/64" 4070199 4070199 4264168 4070199 4332998 
"256/128" 4132864 3499745 5455847 3557725 4070199 
"256/256" 5938650 4734192 4404088 4197489 4132864 
"512/4" 4340054 3628697 5019764 3366987 4827914 
"512/8" 4784885 3934520 5331314 3941742 4340054 
"512/16" 4068701 5509113 5331314 4061007 4494470 
"512/32" 3762197 4163357 5624545 4262523 5331314 
"512/64" 3877684 3822466 3905895 4163357 4262523 
"512/128" 4271001 4228947 3684733 3934520 4305250 
"512/256" 4228947 4228947 6086873 3905895 5453155 
"512/512" 5760329 6491676 3934520 4305250 3970896 
"1024/4" 5303701 3696803 3544270 3751699 3849207 
"1024/8" 4415030 3735385 5444898 4079544 5782087 
"1024/16" 4142499 4110780 4146499 3849207 4304412 
"1024/32" 3544270 3937426 3748425 4162573 6317933 
"1024/64" 4146499 5169641 4048778 4451639 4048778 
"1024/128" 3735385 6128613 5390231 4064103 4550690 
"1024/256" 6317933 4095102 4392454 6059442 6137371 
"1024/512" 6102490 4146499 4339202 6059442 4396951 
"1024/1024" 4321737 4396951 4410497 4396951 3761557 
"2048/4" 3917325 3885431 3604966 3779440 4071433 
"2048/8" 4231899 4056054 3993821 5852228 4238163 
"2048/16" 4213218 4204968 5222461 4403275 4623699 
"2048/32" 4330028 4284671 4405533 6185123 4960102 
"2048/64" 4301837 4338776 6807652 4783331 4531020 
"2048/128" 4265523 4394265 3413030 6321679 5032754 
"2048/256" 4469720 4071433 4579330 6851089 5119743 
"2048/512" 4613765 3075736 4829046 4403275 4829046 
"2048/1024" 4414590 4572018 4284671 4581773 4490751 
"2048/2048" 4248644 6317030 4730646 4481379 4842658 
"4096/4" 3821310 5558378 4058742 3792628 5719367 
"4096/8" 4214051 4201683 2762123 4470657 4418911 
"4096/16" 6261328 5934722 4686519 5833956 6955959 
"4096/32" 3824713 4623457 6585338 4385074 7161842 
"4096/64" 4801789 4540367 4607338 4864330 7004170 
"4096/128" 4842392 4681411 4917236 4746074 7277121 
"4096/256" 4680135 4471821 4887857 4718699 6669706 
"4096/512" 4530788 4757904 4887857 5171846 4941279 
"4096/1024" 4576653 4763181 4756587 4946971 6370451 
"4096/2048" 6169144 4643451 4830139 3923414 7222056 
"4096/4096" 4348447 4536770 3175103 4447510 6272759 
"8192/4" 4071635 4175036 5075439 5319004 4158362 
"8192/8" 5385702 4257814 4452008 4246763 4531269 
"8192/16" 4708228 6827153 7217210 5564505 4713395 
"8192/32" 4893290 6339662 4699856 6359610 6623173 
"8192/64" 4686395 5059743 6948652 4069706 7224798 
"8192/128" 6753351 6580049 6832584 4884942 6737460 
"8192/256" 4931921 4979812 6277120 4847725 7307775 
"8192/512" 4719221 5697371 4357162 5649594 5191229 
"8192/1024" 5207752 5573531 5309142 4875931 4751197 
"8192/2048" 6559949 5329730 4708228 6954278 5231540 
"8192/4096" 5429103 5761377 6085887 4222755 5553712 
"8192/8192" 4177066 5267631 5410295 5428245 4807033 
"16384/4" 5326345 5514407 5847069 5758869 5841105 
"16384/8" 6450228 6082012 4586862 5736755 5710535 
"16384/16" 4714949 4713332 6633278 5488861 4921609 
"16384/32" 4741954 4914218 5166564 5731014 4920199 
"16384/64" 7160661 6197193 4856223 5078742 4929022 
"16384/128" 6612216 7288248 4213900 4876209 4850396 
"16384/256" 4738030 4854508 4303626 6854943 5028571 
"16384/512" 5498083 6855627 5153778 4877594 6901066 
"16384/1024" 5439333 5806066 6277582 4883486 4996397 
"16384/2048" 5576609 7242926 3542459 6097662 7157678 
"16384/4096" 4017553 5373408 5797739 4437578 4522266 
"16384/8192" 5085131 5007319 5042962 4661221 5234251 
"16384/16384" 5056693 5016457 4917031 4607467 5343741 
"32768/64" 4990556 7327417 7004755 6657313 4956540 
"32768/128" 6510668 7703197 7292813 5028167 5197003 
"32768/256" 6681912 5389592 6414945 6180418 6755149 
"32768/512" 6919064 4521047 6884061 5746783 4246818 
"32768/1024" 4986753 6960060 5484219 4939439 6045842 
"32768/2048" 5489695 3971902 5844286 6406273 7373411 
"32768/4096" 4896501 5761961 6276380 5653410 4757186 
"32768/8192" 3541711 4889185 4029427 4240659 4098519 
"32768/16384" 4889359 5119187 4939439 4959581 3855034 
"65536/64" 7246442 8024506 6787811 6593724 5504074 
"65536/128" 7223211 5030358 7901559 4988274 5510915 
"65536/256" 3776843 5211567 6665515 5941147 5037733 
"65536/512" 6631904 7496641 5381868 4347008 5507162 
"65536/1024" 5471425 5564802 6712557 6603069 4332688 
"65536/2048" 7723718 8712507 6381259 6649391 6717642 
"65536/4096" 3675584 6036257 5031186 4634533 4654545 
"65536/8192" 4772201 4226497 4291828 3760155 4197006 
"65536/16384" 3828233 4626576 3277435 4568217 4702963 
"131072/64" 7571997 6032932 6742094 4958302 6034919 
"131072/128" 7280974 8551744 6944534 6456412 6339303 
"131072/256" 8099914 7678925 4738016 6409367 7074289 
"131072/512" 4508345 6509930 5609993 6202832 8362347 
"131072/1024" 6336599 6912749 7285412 4537256 4705008 
"131072/2048" 6367645 5103667 5008306 5046881 5360396 
"131072/4096" 4022569 5883969 4461115 4852350 5700270 
"131072/8192" 4736628 5259472 5422895 4297727 4489862 
"131072/16384" 4759180 4489532 4809265 5484406 5528806 
"262144/64" 4578612 4574535 8210714 6716100 5764699 
"262144/128" 7080157 8358330 7070232 7840169 8236300 
"262144/256" 5229175 7462724 8253116 4956197 7387661 
"262144/512" 7580391 8769447 7125213 7620478 6722670 
"262144/1024" 7887355 5488534 7563496 8711707 5374907 
"262144/2048" 5116891 7660510 8681990 5749266 8321261 
"262144/4096" 5752665 7197414 4715254 4784254 5488671 
"262144/8192" 4798975 4755718 4669636 4810334 4286063 
"262144/16384" 4999579 4509839 4750704 5299264 5458047 
"524288/64" 7619786 8900556 6360396 8741205 7509048 
"524288/128" 7216518 8620618 7988407 6148056 7903877 
"524288/256" 7811672 7350492 7781156 7642003 7863320 
"524288/512" 8967998 7270969 8144536 7253676 8932880 
"524288/1024" 6173601 8020544 8546839 8578413 6541503 
"524288/2048" 7600035 8952263 6092830 6167662 8554220 
"524288/4096" 5208304 7336905 4889882 7045942 5455932 
"524288/8192" 4973705 4811521 4947230 4544565 5286815 
"524288/16384" 5540220 4804562 5665223 5649838 5648749 
