Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 1947927 1460430 3057153 1638743 2772930 
"64/8" 2561267 2067979 2203800 3057153 2052169 
"64/16" 2772930 2561267 1828508 2358717 3363612 
"64/32" 2561267 4988978 2379626 3203069 4564786 
"64/64" 2561267 2133730 1828508 3363612 2662899 
"128/4" 1778862 1705404 2464907 1508887 1663139 
"128/8" 2409592 3199360 2132084 2202044 3277486 
"128/16" 3560017 2558895 2558895 2098744 3657016 
"128/32" 2905056 3199360 4596273 3053774 3867787 
"128/64" 3053774 3053774 4135958 3895854 4267461 
"128/128" 2727923 2336194 2985839 2969325 2784517 
"256/4" 1673001 1981783 1570244 1629830 1743637 
"256/8" 2165650 2842047 1707589 2392442 3009318 
"256/16" 2187712 3087188 2533571 2975955 2639446 
"256/32" 2588541 2719671 2726577 2911402 3078337 
"256/64" 3454704 3123106 2975955 2943325 3465855 
"256/128" 4332998 5022044 3499745 4197489 6107548 
"256/256" 4070199 3052087 3017775 2392442 3078337 
"512/4" 1736314 2494736 1630828 1642050 1963313 
"512/8" 1854787 2668325 2116152 1797349 2350044 
"512/16" 3431550 2391924 2039772 2370799 4195896 
"512/32" 3736016 2768068 2695115 3941742 4340054 
"512/64" 3822466 3029721 2891043 2782414 4420457 
"512/128" 3284589 4610256 3158966 3481620 3459188 
"512/256" 4123387 5760329 4131319 4532414 6319739 
"512/512" 2875558 3122224 3104171 4375425 3086326 
"1024/4" 1777861 1777861 1715375 1701108 1796451 
"1024/8" 2331932 2353657 2260740 2306882 3259181 
"1024/16" 4064103 2640123 2522288 2565989 3142339 
"1024/32" 4265934 2892612 2813041 2861774 4317393 
"1024/64" 2934110 2900425 3037876 3133170 4854136 
"1024/128" 2993413 3151562 2993413 2031864 3151562 
"1024/256" 3057339 2985091 3304314 3369115 4018473 
"1024/512" 6093831 3835457 4654248 4304412 3984917 
"1024/1024" 3304314 3181915 3390391 3220084 2892612 
"2048/4" 2813783 1848567 1621413 1726687 1820362 
"2048/8" 3523633 2275596 2288326 2316716 2432165 
"2048/16" 2793651 2741055 2537792 2255282 4056054 
"2048/32" 2816551 2925920 2984890 2752473 4162181 
"2048/64" 3102397 3024831 3065856 2934917 4276140 
"2048/128" 3051697 2998435 3038742 2941954 3136379 
"2048/256" 3012103 3093459 3108009 4162181 4500161 
"2048/512" 3530875 3764533 3224685 3644736 1492654 
"2048/1024" 4330028 4818211 5238385 4697018 4772701 
"2048/2048" 3657149 3180508 3500658 5044577 3777778 
"4096/4" 1859131 1441771 1507031 1559140 1966378 
"4096/8" 1857522 2525409 2453984 2362206 2476625 
"4096/16" 2227447 2618960 2314159 2730948 3751222 
"4096/32" 3845258 2285527 2964189 2964189 2728780 
"4096/64" 3070133 3086681 2932315 3977000 3210107 
"4096/128" 2022873 2860067 4144915 2650884 2773270 
"4096/256" 2955520 2741845 2908979 2959594 3057021 
"4096/512" 2640698 3080040 3107900 2946902 3945943 
"4096/1024" 4334185 3546038 3368069 4516494 4587653 
"4096/2048" 4362802 4511750 3820460 4389555 5679660 
"4096/4096" 3814522 3045641 3605576 3276846 4188367 
"8192/4" 1366474 1624128 1719895 1556231 2195537 
