Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 1599680 1049372 1017549 929467 1083249 
"64/8" 1330167 2379626 2467108 1879725 1421755 
"64/16" 1163036 1518251 2467108 1484662 1357066 
"64/32" 2278628 1553394 2467108 2298136 2561267 
"64/64" 1484662 1392258 1304314 1330167 1828508 
"128/4" 1727352 1093856 1220700 1030846 1085013 
"128/8" 1471662 1291158 1291158 1827299 1291158 
"128/16" 2784517 2004703 2166499 1543594 1557024 
"128/32" 2660335 1732927 2608629 1622919 1778862 
"128/64" 1749872 2326073 2784517 1598754 1939522 
"128/128" 2098744 1436229 1878447 1579934 1521718 
"256/4" 1673001 1775350 1132871 1070737 1132871 
"256/8" 1952947 1384034 1334162 1306564 1938842 
"256/16" 2152625 2266207 2247235 1479379 1552085 
"256/32" 1600674 1696795 2509882 1642294 2392442 
"256/64" 1707589 1897721 1894373 1911233 1938842 
"256/128" 1842366 1790149 2842047 1817419 2000242 
"256/256" 1673001 1686137 1673001 1686137 1619994 
"512/4" 1103647 1180062 1176828 1171691 1199171 
"512/8" 1399189 1242896 1322500 1387437 1426135 
"512/16" 2256220 2124526 1379416 1566585 2486072 
"512/32" 1672748 2285029 1514652 1677976 2736325 
"512/64" 1904125 1848401 1821745 2486072 2796910 
"512/128" 2039772 2024389 2039772 2024389 3029721 
"512/256" 2143612 3201349 1910902 2124526 3163620 
"512/512" 1574625 1783912 1821745 1829505 1712772 
"1024/4" 1229309 1158358 1189146 1192117 1214706 
"1024/8" 1442326 1486247 1610528 1460969 1432225 
"1024/16" 1385560 2522288 1532928 1615374 1582636 
"1024/32" 2710090 1743932 1771993 1736178 1744641 
"1024/64" 2751762 1809317 2586074 1793451 2338280 
"1024/128" 2638501 1973059 2516377 1983996 2659742 
"1024/256" 2174880 2174880 3345496 2226749 2174880 
"1024/512" 2188177 2265510 2169388 3506651 2279941 
"1024/1024" 2934110 1861867 1917562 1793451 1939207 
"2048/4" 1674514 1244231 1253308 1211247 1265681 
"2048/8" 1470172 1511565 1526066 1508115 1494992 
"2048/16" 1627866 1680082 1687011 1659632 1650385 
"2048/32" 1771556 1737163 2285282 1659632 2716781 
"2048/64" 2572756 1828499 2585145 1814210 1790388 
"2048/128" 1820362 2730599 1883837 1754908 1856959 
"2048/256" 1871932 1923059 1887563 1972971 2848305 
"2048/512" 2537792 3126106 2233585 2209455 2275596 
"2048/1024" 2550602 2817475 2398213 2400894 2384234 
"2048/2048" 2566606 1982533 1928240 1958129 2592948 
"4096/4" 1253748 1264173 1562828 1222696 1261110 
"4096/8" 1499272 1523874 1521041 1501499 1515941 
"4096/16" 2240811 1700336 1693965 2539595 1681365 
"4096/32" 1780148 1752724 1809206 1777753 1788488 
"4096/64" 2469150 1814939 2786765 2684016 1888560 
"4096/128" 1777753 2574223 1918508 1793342 2497507 
"4096/256" 2143516 1865186 2216526 1805972 2294686 
"4096/512" 1888353 2344476 2747106 1958756 2914902 
"4096/1024" 2603876 3138560 3119752 2872500 2907010 
"4096/2048" 3471518 3522048 3506950 2391139 3107900 
"4096/4096" 2850576 2848213 1933841 2876348 3385325 
"8192/4" 1265561 1239135 1202785 1543300 1270474 
"8192/8" 1710647 1632539 1658304 1426200 1517870 
"8192/16" 1673488 1833907 1924289 1627667 1678721 
"8192/32" 1764045 1925799 1761332 1972112 1790147 
"8192/64" 1813197 1791360 1987857 1795291 1815208 
"8192/128" 1790987 1792949 2222952 1804816 1840982 
"8192/256" 1903396 1781330 2001871 1788283 1777736 
"8192/512" 1816456 1829805 1990391 1804816 2647780 
"8192/1024" 1898558 1919452 2546334 1803963 1436635 
"8192/2048" 2814110 2772107 2276714 2108113 2658845 
"8192/4096" 3064603 3100554 2373761 2288238 2315376 
"8192/8192" 2080793 2142154 2169475 1451198 2941555 
"16384/4" 1582238 1686292 1277698 1653110 1257014 
"16384/8" 1913562 1839642 1545063 1527649 1535088 
"16384/16" 1694818 2045721 2542923 1966627 1649935 
"16384/32" 1797912 2204539 1705460 1741329 1815775 
"16384/64" 2296942 1705079 1859051 1813810 1830186 
"16384/128" 2228850 1789578 2181376 1782615 1781644 
"16384/256" 1773185 1774330 1757000 2033794 2083683 
"16384/512" 2071310 1795094 2028211 1832871 1769533 
"16384/1024" 1833066 2147295 2292421 2114327 2721045 
"16384/2048" 1947013 2245895 2359158 2194192 1884956 
"16384/4096" 2285711 2235811 2848852 2065024 2699666 
"16384/8192" 3054361 1916497 3369790 2345870 3624864 
"16384/16384" 1844629 2070749 1982856 1863083 3135755 
"32768/64" 1855908 1935383 1830498 2464662 1877509 
"32768/128" 1908322 2376200 2341546 1847352 1776619 
"32768/256" 1912678 1871272 1791393 1828574 1504221 
"32768/512" 1675087 1774119 2271162 2278089 2269737 
"32768/1024" 2580344 2229277 2335061 2387468 2820660 
"32768/2048" 1865734 2349632 1826217 1817811 2327942 
"32768/4096" 1814092 2318869 2477546 1936883 2680647 
"32768/8192" 2239155 2646629 2586852 2062446 2073023 
"32768/16384" 2275863 2888841 2878434 2278089 2291458 
"65536/64" 2077799 2242989 2125797 1878469 2092127 
"65536/128" 2070584 2035080 2054550 2040988 2582594 
"65536/256" 2005517 2297737 2037811 2491013 1974218 
"65536/512" 2274146 1836770 2203486 1961860 1994400 
"65536/1024" 1975040 2496692 2539362 1969296 1890380 
"65536/2048" 1972079 2502420 2185702 1951816 1965437 
"65536/4096" 2383490 2411192 1920694 1955246 1831801 
"65536/8192" 1821664 1790061 2604667 2271853 2053338 
"65536/16384" 3300536 3149856 2266907 2477430 2503583 
"131072/64" 2269806 2483270 2891187 2847962 2293919 
"131072/128" 2785325 2212859 2582943 2243463 2729470 
"131072/256" 2151932 2155298 2599603 2349295 2139154 
"131072/512" 2449064 2633979 2429282 1981017 2083949 
"131072/1024" 2072080 2644546 2150307 2075961 2107435 
"131072/2048" 2244388 2034642 2385070 1815809 2061397 
"131072/4096" 2052677 2098562 2333490 1847125 2505680 
"131072/8192" 2116457 2556851 2396642 2050433 2639822 
"131072/16384" 2874332 2401552 2688426 2143666 2347740 
"262144/64" 2551676 3005864 2585219 2522262 2598213 
"262144/128" 2893514 2447085 2882484 2717730 2439051 
"262144/256" 2751008 2757611 2736479 2378351 2145627 
"262144/512" 2369791 2482047 2702493 2360060 2342222 
"262144/1024" 2411274 2409657 2712888 2340632 2604929 
"262144/2048" 2628192 2449418 2535167 2520712 2290965 
"262144/4096" 2542941 2328946 2314572 2265330 2405808 
"262144/8192" 2567399 2490440 2450450 2368356 2279097 
"262144/16384" 2811224 2464870 2710675 2446284 2831692 
"524288/64" 2869241 2803186 3000077 2758624 2726690 
"524288/128" 2682688 2884317 2893102 2903500 2680559 
"524288/256" 2549776 2830055 2539528 2758842 2421552 
"524288/512" 2778243 2464372 2750839 2497536 2514497 
"524288/1024" 2469015 2718562 2696038 2452291 2515403 
"524288/2048" 2455487 2440672 2458179 2447771 2464571 
"524288/4096" 2485261 2516223 2469608 2353072 2335858 
"524288/8192" 2332790 2234977 2454864 2400827 2396471 
"524288/16384" 2773292 2779405 2478281 2613691 2768341 
