Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 24419 35067 35067 28737 38741 
"64/8" 34261 31637 33580 34953 30679 
"64/16" 75280 57867 70812 64655 65715 
"64/32" 115914 91559 99060 109618 16636 
"64/64" 198869 181276 174444 156905 217039 
"128/4" 36046 37371 17815 27022 8036 
"128/8" 11744 31918 35379 33421 35172 
"128/16" 65673 62348 77017 66183 70135 
"128/32" 128382 114183 121910 103807 114281 
"128/64" 20578 177254 32963 171589 32762 
"128/128" 232330 242949 39071 38955 283188 
"256/4" 8251 15381 4928 5058 8113 
"256/8" 13417 12863 10726 18764 9029 
"256/16" 18535 26697 37734 20804 20283 
"256/32" 51864 69078 66996 75894 58248 
"256/64" 64875 63318 43077 67298 35300 
"256/128" 42132 80910 63396 236153 291239 
"256/256" 100907 69225 74899 268649 70465 
"512/4" 14051 13622 14372 9199 7528 
"512/8" 15642 13806 13682 15471 18276 
"512/16" 24346 44865 19452 24102 19415 
"512/32" 66329 68799 30693 46272 70776 
"512/64" 71210 106819 107112 122427 50946 
"512/128" 49747 70368 103854 50279 51251 
"512/256" 79838 76863 75406 74395 79392 
"512/512" 174269 147251 173089 146168 144720 
"1024/4" 7934 10732 8040 12095 8923 
"1024/8" 16424 16959 17913 11416 17309 
"1024/16" 33501 34960 37403 33539 30054 
"1024/32" 49521 73526 73012 129192 67890 
"1024/64" 141534 54226 62412 46854 63801 
"1024/128" 77207 103696 53010 77564 140368 
"1024/256" 75079 75829 81991 76140 77161 
"1024/512" 140043 150363 150855 237529 165619 
"1024/1024" 326419 402987 385240 362358 306875 
"2048/4" 8556 7671 10337 19914 11223 
"2048/8" 18874 15101 23704 32493 26020 
"2048/16" 24986 22217 67859 69657 66086 
"2048/32" 55043 79509 69390 98220 116179 
"2048/64" 74299 69477 64756 73310 97337 
"2048/128" 84023 60923 104086 66299 88093 
"2048/256" 72908 180090 109366 220024 391362 
"2048/512" 145270 141240 364338 255047 152802 
"2048/1024" 290447 290949 488652 539778 341333 
"2048/2048" 481990 628985 570805 607500 570463 
"4096/4" 18005 14558 5634 10482 21626 
"4096/8" 27904 28203 20241 34916 34129 
"4096/16" 37769 58488 44727 30342 70189 
"4096/32" 89078 86991 98765 105648 131252 
"4096/64" 80558 116485 102012 80868 218024 
"4096/128" 177731 210061 185558 131425 315853 
"4096/256" 75953 75967 150086 280282 382337 
"4096/512" 152881 168642 141606 185911 439812 
"4096/1024" 292882 299171 295096 275473 664192 
"4096/2048" 433618 342762 338507 359834 1079557 
"4096/4096" 567389 220453 590458 542879 1249553 
"8192/4" 9549 10440 9289 12036 15868 
"8192/8" 19930 19082 15651 26486 34485 
"8192/16" 30512 62107 31365 36388 69338 
"8192/32" 71121 48377 97173 75544 39444 
"8192/64" 139623 83005 131032 71534 216364 
"8192/128" 172158 72019 74696 94095 276655 
"8192/256" 204819 87015 121723 66019 458418 
"8192/512" 153210 150000 217866 151055 545403 
"8192/1024" 131708 270085 238820 291508 651495 
"8192/2048" 421701 427690 377460 534375 758580 
"8192/4096" 394699 783613 685237 546235 861863 
"8192/8192" 144225 853938 646713 938795 1391544 
"16384/4" 9179 16282 9953 10305 23700 
"16384/8" 19747 18573 19157 14821 33961 
"16384/16" 28741 25829 21318 29954 39613 
"16384/32" 59213 63681 60238 58481 131722 
"16384/64" 107226 113391 119973 126672 111550 
"16384/128" 82138 152761 151889 147734 132118 
"16384/256" 118283 90465 104362 128425 378968 
"16384/512" 183710 182004 106520 161034 492235 
"16384/1024" 286966 298383 334196 287001 651784 
"16384/2048" 379619 390718 315342 316324 946512 
"16384/4096" 546351 555125 521598 702819 824678 
"16384/8192" 590648 802621 686790 875677 648334 
"16384/16384" 670435 765686 708288 573007 1443146 
"32768/64" 75980 75341 72895 77309 124577 
"32768/128" 74824 116338 90281 168162 178205 
"32768/256" 107408 111072 176842 82958 448089 
"32768/512" 131093 142663 394694 141378 237399 
"32768/1024" 289171 309105 301517 224052 670293 
"32768/2048" 279869 319186 357287 380788 1065419 
"32768/4096" 476507 323331 525684 440471 1271996 
"32768/8192" 325079 661165 586219 745185 926695 
"32768/16384" 693149 544880 761018 814478 732672 
"65536/64" 72607 96710 78385 75303 67727 
"65536/128" 76191 90751 84455 76992 92417 
"65536/256" 104598 87352 106648 113953 95962 
"65536/512" 151037 131223 122544 127629 131051 
"65536/1024" 283207 290266 214596 298498 464791 
"65536/2048" 286798 351254 287990 383141 300507 
"65536/4096" 373726 511719 604648 473491 524044 
"65536/8192" 430365 639999 508756 589236 639275 
"65536/16384" 704188 727127 775582 724898 690863 
"131072/64" 64699 62483 152389 90367 66406 
"131072/128" 82332 161400 72913 80815 83230 
"131072/256" 70239 119811 90337 87771 335994 
"131072/512" 116785 154918 119627 149033 146082 
"131072/1024" 203854 198130 265192 323699 197686 
"131072/2048" 288319 385197 280983 152987 271429 
"131072/4096" 368172 510820 465239 563777 1194778 
"131072/8192" 572042 544524 631711 609226 142040 
"131072/16384" 709214 732614 760036 623282 1244664 
"262144/64" 67305 61289 64209 71679 117556 
"262144/128" 131184 236451 59919 79010 253275 
"262144/256" 95390 109794 89598 206501 324664 
"262144/512" 118784 257533 162976 140861 432791 
"262144/1024" 219442 169979 180084 180346 255887 
"262144/2048" 262547 278816 382002 283670 292270 
"262144/4096" 359583 485168 405373 375439 351962 
"262144/8192" 489218 531309 501310 496203 482979 
"262144/16384" 725790 706322 682714 449820 653846 
"524288/64" 92105 61927 92135 66991 86341 
"524288/128" 89097 69826 111772 87637 104858 
"524288/256" 110740 140850 124781 136922 313022 
"524288/512" 171104 178832 125304 184827 297048 
"524288/1024" 264555 214815 200272 213993 262291 
"524288/2048" 288970 289950 256695 299309 378109 
"524288/4096" 342030 488037 489318 513075 427414 
"524288/8192" 538926 525844 597302 519483 615777 
"524288/16384" 665788 666436 689679 693169 1121529 
