Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 93310 31130 22207 17008 94659 
"64/8" 3130 30858 22130 16895 116771 
"64/16" 32064 30445 21813 16864 216165 
"64/32" 216863 27754 21291 16401 199906 
"64/64" 351444 28521 20638 16031 388021 
"128/4" 22582 29969 21603 16565 92678 
"128/8" 146613 29934 21432 16567 151838 
"128/16" 203838 29635 21393 16514 212975 
"128/32" 239695 28679 21073 16402 268999 
"128/64" 222232 27777 20595 15682 300464 
"128/128" 299792 27966 20340 16288 304727 
"256/4" 71208 29147 20892 16758 75515 
"256/8" 129619 28641 20840 16727 72112 
"256/16" 143264 28599 20555 16724 213858 
"256/32" 171010 28428 20497 16686 301544 
"256/64" 243821 27690 19950 16735 262605 
"256/128" 340459 26935 19249 16472 376512 
"256/256" 566377 27533 19785 16709 454627 
"512/4" 81089 28251 18936 16603 68548 
"512/8" 102237 27844 18532 15463 91247 
"512/16" 196767 27341 19630 17207 106734 
"512/32" 242439 26965 19401 17296 266940 
"512/64" 218422 26232 19165 17255 146039 
"512/128" 209821 25492 18802 16699 159405 
"512/256" 147849 26381 18718 17381 139548 
"512/512" 184558 26914 19102 17483 195495 
"1024/4" 76560 25830 19429 13576 76526 
"1024/8" 86772 26483 18763 17705 93695 
"1024/16" 88170 25213 19031 18168 145701 
"1024/32" 89393 24816 19009 18237 159481 
"1024/64" 34406 24538 18709 18185 98594 
"1024/128" 102945 23700 18424 17656 165084 
"1024/256" 148626 23624 18589 18313 99640 
"1024/512" 153152 23203 19062 18733 100759 
"1024/1024" 107414 23455 18856 18903 182665 
"2048/4" 71197 15191 18458 19041 44432 
"2048/8" 99037 22449 19179 20198 75789 
"2048/16" 93901 21684 18985 20568 112776 
"2048/32" 83537 20717 14794 4068 110011 
"2048/64" 173882 19998 17821 20733 99427 
"2048/128" 120194 19271 18308 16580 123112 
"2048/256" 110564 18595 18296 20959 410337 
"2048/512" 119976 19966 19210 22226 124308 
"2048/1024" 113613 20607 18094 22408 122598 
"2048/2048" 119844 20710 20044 22874 361334 
"4096/4" 74004 19501 19699 19332 51564 
"4096/8" 89140 19382 83656 80021 142653 
"4096/16" 102083 19987 145094 92581 226420 
"4096/32" 105244 19797 100404 114808 275619 
"4096/64" 103827 19132 104396 107911 378880 
"4096/128" 107673 18877 103861 113271 427191 
"4096/256" 20877 20743 107647 111604 667210 
"4096/512" 112004 21411 109185 178974 643927 
"4096/1024" 103246 20725 111781 111952 640208 
"4096/2048" 113083 21518 66358 100266 706327 
"4096/4096" 111131 22193 110561 97146 836784 
"8192/4" 69823 22366 76702 73581 69915 
"8192/8" 52496 18773 84240 27379 131412 
"8192/16" 102596 27485 102648 100004 158737 
"8192/32" 95337 117090 109149 93171 184700 
"8192/64" 106243 139638 76487 93414 394985 
"8192/128" 101502 81897 104377 129881 440860 
"8192/256" 109737 126765 111394 21532 578292 
"8192/512" 107257 139047 106046 31924 777601 
"8192/1024" 104869 90543 98106 28842 774726 
"8192/2048" 103136 26140 210841 95074 656411 
"8192/4096" 27362 6660 103701 105394 725274 
"8192/8192" 97899 7536 108602 107989 688809 
"16384/4" 63371 66596 69165 28412 66109 
"16384/8" 122958 83906 90620 89772 129183 
"16384/16" 83903 121970 211885 99323 209256 
"16384/32" 116861 107405 110260 81847 279762 
"16384/64" 103855 101017 104841 115443 110947 
"16384/128" 70592 109765 107749 122505 120787 
"16384/256" 56216 117913 39535 104613 495236 
"16384/512" 63288 104485 115870 118924 654965 
"16384/1024" 105425 113572 99059 97209 712068 
"16384/2048" 48899 101839 98172 68900 317187 
"16384/4096" 33345 142933 100204 101974 339748 
"16384/8192" 45155 21493 109694 7860 477584 
"16384/16384" 42979 19603 128928 8954 739883 
"32768/64" 31714 15931 40237 89374 308482 
"32768/128" 94488 13530 102184 103055 360100 
"32768/256" 97558 16430 46346 123142 452952 
"32768/512" 115066 18972 299073 33693 92758 
"32768/1024" 96281 120253 102923 110134 740069 
"32768/2048" 105061 108693 98806 45697 697352 
"32768/4096" 15713 24027 117560 14345 750938 
"32768/8192" 17266 50475 124624 17765 411616 
"32768/16384" 16239 94879 132337 103495 88856 
"65536/64" 106146 310194 24080 97204 101005 
"65536/128" 105033 15263 28527 44143 44487 
"65536/256" 39227 112038 54707 15221 104184 
"65536/512" 108345 46527 109162 17271 36007 
"65536/1024" 109677 122694 15446 112442 389223 
"65536/2048" 17918 38490 111982 109106 109756 
"65536/4096" 13145 199996 104588 108082 147563 
"65536/8192" 15489 112211 26919 104362 116437 
"65536/16384" 19382 27918 12152 14681 42783 
"131072/64" 18054 102722 125987 100156 98818 
"131072/128" 18842 110267 15796 17824 109436 
"131072/256" 107461 109335 24160 119854 109404 
"131072/512" 106516 109601 109393 14942 17480 
"131072/1024" 15237 107487 118340 28660 131520 
