Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 7865 25245 37803 28206 31294 
"64/8" 33753 30710 34040 34535 15948 
"64/16" 72066 56586 57544 71037 55224 
"64/32" 143871 105276 90908 111485 110932 
"64/64" 8160 174898 180788 210569 176392 
"128/4" 33464 35935 37549 10095 32668 
"128/8" 34435 26999 18496 15910 16318 
"128/16" 71185 66045 60664 53468 64197 
"128/32" 12397 119735 17630 101414 27384 
"128/64" 176788 38130 157264 97280 176323 
"128/128" 240986 239268 237049 242839 315286 
"256/4" 27153 27789 11137 8966 36539 
"256/8" 30277 13503 25236 8846 28548 
"256/16" 12565 21076 13461 55254 32619 
"256/32" 101701 57285 33315 36328 113170 
"256/64" 63475 168752 113927 35466 105695 
"256/128" 118517 71746 37345 41336 166994 
"256/256" 77038 67277 73119 221444 67084 
"512/4" 14860 13188 13626 21248 10193 
"512/8" 17284 21154 9504 13107 18551 
"512/16" 11658 37512 14028 39717 9779 
"512/32" 24738 40390 42563 29398 39680 
"512/64" 68807 109143 47877 167147 58567 
"512/128" 49221 73924 63921 66440 97613 
"512/256" 80364 72624 74604 125029 73255 
"512/512" 167486 152197 128416 149402 173972 
"1024/4" 11752 14153 16164 11252 11420 
"1024/8" 15439 11671 10528 11313 11597 
"1024/16" 9564 9880 10534 29808 10671 
"1024/32" 40459 36774 27064 104544 33505 
"1024/64" 53436 82969 58290 62583 73347 
"1024/128" 77131 71493 62557 89896 60818 
"1024/256" 101789 77599 78371 76848 75177 
"1024/512" 148451 152153 151120 270825 147129 
"1024/1024" 233411 288372 302957 290086 247765 
"2048/4" 11139 11374 13904 11357 10990 
"2048/8" 11045 13494 9388 9688 9952 
"2048/16" 11980 9502 29148 24947 9683 
"2048/32" 37888 37885 32547 30609 48187 
"2048/64" 70973 58925 60355 58911 64843 
"2048/128" 59605 62023 75546 86735 76578 
"2048/256" 72428 74695 75644 192393 364926 
"2048/512" 149993 148792 316588 129646 455028 
"2048/1024" 272888 316390 505533 151199 307004 
"2048/2048" 348365 428451 538526 601291 95114 
"4096/4" 10361 28592 9870 7448 7706 
"4096/8" 19092 16521 13507 13204 34033 
"4096/16" 12976 17267 11577 24730 72683 
"4096/32" 39001 31232 48449 32750 137127 
"4096/64" 55954 66533 96642 69042 217977 
"4096/128" 189508 66161 87934 70672 317740 
"4096/256" 74570 81060 148680 98494 362254 
"4096/512" 148395 153962 146547 171116 445607 
"4096/1024" 267837 311767 374062 281975 575620 
"4096/2048" 244815 363181 397444 433301 741060 
"4096/4096" 555770 530508 577148 462560 1060302 
"8192/4" 10094 9870 9969 10309 34637 
"8192/8" 20175 28837 11928 22840 34124 
"8192/16" 41047 32876 20588 40373 71236 
"8192/32" 29294 35507 82301 56133 22714 
"8192/64" 131279 63465 58041 56430 219430 
"8192/128" 122618 68388 68449 88657 312705 
"8192/256" 104286 74838 81355 80588 387275 
"8192/512" 153869 142553 151080 158855 529296 
"8192/1024" 295248 257981 204866 248323 724189 
"8192/2048" 381911 576459 346341 307530 848392 
"8192/4096" 476663 753770 181010 469595 700178 
"8192/8192" 695529 936237 708334 564228 1051888 
"16384/4" 10498 10913 9843 10981 25305 
"16384/8" 11223 15068 23018 15535 34041 
"16384/16" 19604 18027 58082 21292 44682 
"16384/32" 67659 31329 31204 32479 132294 
"16384/64" 76281 63905 65139 61748 164516 
"16384/128" 85457 212951 137005 144983 73566 
"16384/256" 58936 80301 96715 72214 379435 
"16384/512" 105801 149268 147002 119586 494684 
"16384/1024" 233732 290739 298123 263505 600653 
"16384/2048" 368269 359440 329824 350932 732407 
"16384/4096" 477557 525632 643870 583016 688001 
"16384/8192" 466955 785609 590689 743075 598832 
"16384/16384" 729639 879015 278492 740784 1115851 
"32768/64" 50660 55759 63805 60747 234185 
"32768/128" 66856 116529 113189 118956 233948 
"32768/256" 84091 116729 131974 83422 362129 
"32768/512" 170429 193176 378759 148450 179616 
"32768/1024" 291341 308523 269524 317993 676996 
"32768/2048" 293196 226961 360924 384109 909061 
"32768/4096" 511984 404104 518990 475870 1077852 
"32768/8192" 503812 654665 627017 345829 290991 
"32768/16384" 758556 673117 735519 717416 565257 
"65536/64" 69882 60154 82281 62567 61222 
"65536/128" 73817 82474 100738 72333 74994 
"65536/256" 74398 376754 78734 83881 97242 
"65536/512" 187346 138864 127129 123111 168580 
"65536/1024" 282392 278642 226885 297339 278869 
"65536/2048" 327642 393061 475809 381715 371201 
"65536/4096" 376823 535929 552589 437011 521136 
"65536/8192" 589426 597094 587161 597863 554848 
"65536/16384" 626532 713572 724891 776888 702693 
"131072/64" 78298 99988 62428 90405 60553 
"131072/128" 84788 70572 73251 160682 73903 
"131072/256" 80035 334769 78411 80140 79806 
"131072/512" 161747 152438 149829 146591 190801 
"131072/1024" 266078 309145 305408 289104 216001 
"131072/2048" 489047 379703 416926 165516 430915 
"131072/4096" 513190 528836 483127 505102 1170201 
"131072/8192" 638795 626956 654322 620618 153296 
"131072/16384" 575334 724042 868959 753100 1091129 
"262144/64" 86299 57930 78609 76093 106038 
"262144/128" 135316 103044 84596 113727 340414 
"262144/256" 158191 103874 93882 80700 166510 
"262144/512" 179495 150279 161078 162576 239306 
"262144/1024" 240734 257141 308220 305156 284194 
"262144/2048" 511542 429884 387762 433240 307534 
"262144/4096" 620504 504336 373709 867230 551521 
"262144/8192" 775120 506096 575527 648896 779628 
"262144/16384" 827035 707122 701634 705120 617758 
"524288/64" 63827 134805 120726 101759 70168 
"524288/128" 102176 169524 152275 108106 117079 
"524288/256" 225895 140019 156673 143798 454186 
"524288/512" 191836 166034 173687 157033 179019 
"524288/1024" 287927 302228 304029 299912 730923 
"524288/2048" 358853 466228 509731 369876 391869 
"524288/4096" 508925 506768 519736 454752 463339 
"524288/8192" 628992 606972 413120 692721 617010 
"524288/16384" 765333 799554 846537 835347 437617 
