Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 95399 31130 22314 17012 74673 
"64/8" 7648 30432 22137 16971 117900 
"64/16" 231848 30260 21627 16732 148077 
"64/32" 40531 28737 21425 16524 231848 
"64/64" 481234 28406 20725 16166 300328 
"128/4" 74889 29892 21621 16408 91369 
"128/8" 157034 29788 21600 16668 135000 
"128/16" 213653 29446 20965 16584 184758 
"128/32" 307696 27711 20755 16420 182870 
"128/64" 330625 27402 20704 16297 225027 
"128/128" 280671 26208 20473 16173 284992 
"256/4" 93362 29131 20918 16756 69114 
"256/8" 130200 28638 20660 16711 141434 
"256/16" 216227 28564 20587 16734 237458 
"256/32" 249254 26961 20383 16708 256765 
"256/64" 276751 27399 20059 16742 226776 
"256/128" 316010 26941 19866 15814 329085 
"256/256" 514045 27723 19857 16481 498069 
"512/4" 78421 28229 20065 17144 76052 
"512/8" 132537 27891 19845 17235 123640 
"512/16" 246276 27731 19603 17185 162789 
"512/32" 195193 27104 19375 17319 226651 
"512/64" 152695 26444 19170 17272 157777 
"512/128" 168419 26133 18924 16945 308068 
"512/256" 173620 26195 18443 17100 154220 
"512/512" 153109 26799 19204 17551 189710 
"1024/4" 78305 26664 19424 17433 67346 
"1024/8" 96185 24234 18659 17927 103007 
"1024/16" 130447 25644 19018 18179 104852 
"1024/32" 129079 24944 19015 18241 155621 
"1024/64" 131028 24552 19002 18192 160554 
"1024/128" 151120 23837 18389 17770 138807 
"1024/256" 142596 23899 18573 18203 107732 
"1024/512" 103309 23205 19058 18684 147700 
"1024/1024" 152629 23238 18933 18987 112035 
"2048/4" 81159 22656 19052 19420 68586 
"2048/8" 90216 20988 19211 20088 90700 
"2048/16" 108405 21543 18547 20380 116921 
"2048/32" 114598 20744 18825 21012 142906 
"2048/64" 107789 20131 18554 20903 110786 
"2048/128" 274747 19209 17960 21000 44206 
"2048/256" 110243 19676 18653 20599 449621 
"2048/512" 117369 20151 19209 21993 126536 
"2048/1024" 115588 20633 19774 22610 52997 
"2048/2048" 92582 20447 19996 22858 460739 
"4096/4" 74142 19384 24648 23093 68668 
"4096/8" 86570 19647 87312 82807 139928 
"4096/16" 92934 20079 108765 111986 202321 
"4096/32" 90479 19587 113860 117344 281204 
"4096/64" 137736 19817 104679 106872 383164 
"4096/128" 116955 19174 105602 143090 208438 
"4096/256" 107003 20724 106489 108253 459713 
"4096/512" 107607 20975 146715 141319 504299 
"4096/1024" 107185 21095 409641 412602 639184 
"4096/2048" 105249 20402 96012 104972 823468 
"4096/4096" 119594 22262 99136 17043 797957 
"8192/4" 78422 23950 63286 76714 86956 
"8192/8" 94698 25221 86660 102318 145975 
"8192/16" 94621 97028 102939 110692 28498 
"8192/32" 93562 102326 98557 79289 284642 
"8192/64" 141480 108923 87860 109078 347145 
"8192/128" 100218 103024 40066 98859 415224 
"8192/256" 90174 81416 100603 106334 537073 
"8192/512" 219908 99093 99655 100850 354539 
"8192/1024" 105909 87552 123606 83546 662678 
"8192/2048" 103985 4420 18114 115822 626684 
"8192/4096" 108161 6821 106990 107533 627646 
"8192/8192" 103831 7671 109656 112859 835661 
"16384/4" 26530 79437 73427 79309 89024 
"16384/8" 86413 63259 84192 73338 130055 
"16384/16" 99264 102094 78903 108500 232311 
"16384/32" 39761 112189 104029 100403 231540 
"16384/64" 102648 103867 85202 37288 105780 
"16384/128" 36029 108787 111373 100836 263463 
"16384/256" 106514 113689 30511 96168 568451 
"16384/512" 118000 86888 106453 97607 458026 
"16384/1024" 52692 100312 118131 138906 753661 
"16384/2048" 99613 375272 99985 43509 457971 
"16384/4096" 40903 113311 135561 100446 451624 
"16384/8192" 51159 21550 118255 8122 713221 
"16384/16384" 43986 13612 107777 9551 740353 
"32768/64" 113500 12302 12812 31350 378580 
"32768/128" 108287 13321 109074 99576 390960 
"32768/256" 122459 17172 34619 95781 410729 
"32768/512" 110891 113720 382027 39645 107812 
"32768/1024" 121533 101220 115355 102971 638642 
"32768/2048" 90370 109679 101753 11573 542157 
"32768/4096" 14909 101678 98588 11878 616321 
"32768/8192" 16735 104761 101551 15123 123611 
"32768/16384" 19355 109896 102257 97865 107983 
"65536/64" 102497 104220 19575 106061 38102 
"65536/128" 45116 14101 106162 75420 104653 
"65536/256" 5341 110428 56429 15309 113055 
"65536/512" 111712 117168 105953 29653 103165 
"65536/1024" 27732 42944 16674 110416 403390 
"65536/2048" 16912 342349 106366 113445 105415 
"65536/4096" 15115 108460 121297 71761 109345 
"65536/8192" 16036 106893 19233 51843 118132 
"65536/16384" 16597 120306 14470 103323 15180 
"131072/64" 18414 38378 102004 45041 107586 
"131072/128" 25077 106230 17788 21847 106786 
"131072/256" 121896 106139 20812 110490 108031 
"131072/512" 105528 46821 51531 31477 115089 
"131072/1024" 13046 105716 115357 20861 105252 
"131072/2048" 19108 107746 139586 103440 12549 
"131072/4096" 22363 114232 20346 125983 667206 
"131072/8192" 16311 20686 135128 13976 614210 
"131072/16384" 115855 115253 105378 110986 391724 
"262144/64" 17585 93485 106477 134351 317480 
"262144/128" 22339 43512 149532 189609 413652 
"262144/256" 43010 51264 22946 52174 553968 
"262144/512" 20669 30332 105018 108370 155004 
"262144/1024" 107083 19817 39409 20859 111158 
"262144/2048" 18413 18988 15248 85172 130690 
"262144/4096" 18181 18972 18547 108632 114947 
"262144/8192" 18183 18427 18136 24364 18463 
"262144/16384" 17372 17640 75552 172722 113919 
"524288/64" 21779 49141 22370 342222 108472 
"524288/128" 23243 56039 102300 109274 33133 
"524288/256" 54490 22293 27324 16547 571297 
"524288/512" 51793 143117 17358 618106 598030 
"524288/1024" 19876 114247 110817 59822 574675 
"524288/2048" 109357 25591 30502 33768 28103 
"524288/4096" 23914 53565 19182 28960 46573 
"524288/8192" 64952 25335 109045 20830 16978 
"524288/16384" 108253 17055 31832 174000 161577 
