Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 5090 32852 36423 34858 16486 
"64/8" 34336 15020 15810 16916 31726 
"64/16" 8742 64717 60271 57397 61010 
"64/32" 25558 17972 91716 19452 115714 
"64/64" 11640 158014 168847 19172 204474 
"128/4" 9182 35232 32634 20360 33050 
"128/8" 34744 28796 29398 31233 33844 
"128/16" 12023 54142 72719 65875 66701 
"128/32" 96027 113772 36435 32520 127984 
"128/64" 33350 169960 156303 172084 33421 
"128/128" 277050 272273 35925 82155 242839 
"256/4" 10332 15964 10256 13294 15343 
"256/8" 11997 11401 14265 21002 10755 
"256/16" 15412 42321 13329 12896 10781 
"256/32" 32561 38995 24339 52578 29592 
"256/64" 155348 64711 34119 76713 112530 
"256/128" 73863 65009 210876 260439 270001 
"256/256" 65725 77087 69946 78171 81320 
"512/4" 10340 17926 10680 24538 11438 
"512/8" 10093 12636 11085 9326 23427 
"512/16" 12104 22247 11212 10787 26171 
"512/32" 35642 46351 27743 64377 28121 
"512/64" 76236 52848 50329 145910 51659 
"512/128" 69227 52637 264866 68605 73436 
"512/256" 72695 76417 74919 385212 72450 
"512/512" 141088 167539 134345 143062 152935 
"1024/4" 11299 14111 12989 11583 14381 
"1024/8" 12807 9925 9084 9572 13607 
"1024/16" 10950 19001 9456 14104 10813 
"1024/32" 36705 34133 40097 126060 36995 
"1024/64" 63753 73870 79060 61752 56174 
"1024/128" 60638 73220 62207 63198 83955 
"1024/256" 75556 75806 75227 74171 75818 
"1024/512" 163862 138472 158586 186455 146058 
"1024/1024" 270467 281770 230740 681221 272630 
"2048/4" 10214 11172 11236 12696 9188 
"2048/8" 10187 11533 21301 14299 11471 
"2048/16" 10415 9381 27695 49050 15652 
"2048/32" 43497 35743 33745 46583 92900 
"2048/64" 82700 70620 58768 50340 62179 
"2048/128" 78699 85191 91477 85884 102656 
"2048/256" 72887 75202 85575 175105 350512 
"2048/512" 146671 152155 247614 131772 180188 
"2048/1024" 260863 294803 510491 341279 295910 
"2048/2048" 470145 629584 625322 673677 602387 
"4096/4" 12788 27949 13562 10929 14203 
"4096/8" 29308 29291 35083 24784 34310 
"4096/16" 37901 45934 44633 47237 70447 
"4096/32" 60999 75810 81165 50446 132005 
