Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 5821 30063 22130 14212 79706 
"64/8" 34464 30432 22068 14209 118524 
"64/16" 245190 30682 21599 16701 123543 
"64/32" 4502 28521 21340 16326 136761 
"64/64" 413101 28056 20577 16024 78817 
"128/4" 36292 29816 21556 14977 75384 
"128/8" 119628 28157 18561 16550 105624 
"128/16" 208833 29350 21220 16414 135443 
"128/32" 173868 25127 20870 15085 166688 
"128/64" 304037 24455 20479 16141 280671 
"128/128" 265540 22257 20260 16022 290387 
"256/4" 68834 26744 20826 16557 77410 
"256/8" 132711 28390 20867 16712 112224 
"256/16" 126489 28390 17797 16713 148495 
"256/32" 168991 27702 19097 16641 220897 
"256/64" 309185 27268 19512 16602 274067 
"256/128" 291555 27049 19820 16211 350117 
"256/256" 387799 26927 19219 16594 581719 
"512/4" 77167 28213 20028 17008 73957 
"512/8" 125306 27644 19298 17158 56320 
"512/16" 116100 26743 19613 17190 114107 
"512/32" 167539 26734 19334 17282 137194 
"512/64" 274095 24509 19094 16787 168142 
"512/128" 187001 24988 18040 16866 233681 
"512/256" 403146 25164 18370 17265 171705 
"512/512" 372322 25771 19041 17216 162284 
"1024/4" 71021 25626 19413 17707 77906 
"1024/8" 70334 25827 19237 17945 91773 
"1024/16" 102503 25727 19021 17997 94194 
"1024/32" 149687 24846 18526 15445 127773 
"1024/64" 112948 24513 18701 17854 120571 
"1024/128" 197798 23366 18479 17590 160548 
"1024/256" 155199 23235 18319 18313 148641 
"1024/512" 98425 23420 19087 18661 139262 
"1024/1024" 202728 23213 18889 18993 110178 
"2048/4" 56904 23177 18798 19177 71726 
"2048/8" 81906 22336 19199 20289 81551 
"2048/16" 116072 21812 14211 20586 109302 
"2048/32" 114960 21132 18747 20672 113937 
"2048/64" 123003 20235 18292 20822 98994 
"2048/128" 101753 19480 18063 20675 102909 
"2048/256" 126466 19510 18234 20905 336229 
"2048/512" 116138 20105 19131 21931 406185 
"2048/1024" 109325 20542 19527 21995 119667 
"2048/2048" 140294 20647 20049 22689 26210 
"4096/4" 32471 10261 20214 20783 74892 
"4096/8" 11494 19350 100633 84610 137389 
"4096/16" 101969 19803 99958 117410 201566 
"4096/32" 104620 19824 99708 117340 315245 
"4096/64" 116742 19670 77317 230798 350861 
"4096/128" 116409 19566 106802 111553 399961 
"4096/256" 112050 20590 96424 106031 511430 
"4096/512" 104775 21542 105347 105782 623819 
"4096/1024" 106059 21154 126909 104274 619478 
"4096/2048" 112890 21567 99924 101895 780519 
"4096/4096" 109741 22055 262529 110389 779598 
"8192/4" 18078 19865 71068 74570 70157 
"8192/8" 24246 25225 88784 82167 131995 
"8192/16" 98166 27315 91538 17751 206827 
"8192/32" 85635 295527 103954 94726 141724 
"8192/64" 106483 150546 106929 122294 364556 
"8192/128" 27937 101413 99598 96260 424410 
"8192/256" 123667 164378 108965 108774 325038 
"8192/512" 174927 102922 108710 100033 623398 
"8192/1024" 103024 99186 21060 94540 605065 
"8192/2048" 106093 20496 117958 106281 663061 
"8192/4096" 105286 5742 105271 100636 317705 
"8192/8192" 94287 7378 111921 24138 649132 
"16384/4" 66183 6931 45257 33072 83028 
"16384/8" 82097 84284 19273 88828 127737 
"16384/16" 103944 102782 226092 95753 208408 
"16384/32" 47356 102968 102674 118439 303390 
"16384/64" 96863 121815 112428 104086 287186 
"16384/128" 36438 179735 97037 19989 97827 
"16384/256" 30803 96123 105245 93621 364258 
"16384/512" 88024 105529 114837 98588 573810 
"16384/1024" 43704 104481 118683 111258 680062 
"16384/2048" 38622 114003 98536 44078 441832 
"16384/4096" 101736 109834 93884 19629 63028 
"16384/8192" 40286 21871 114402 7085 49727 
"16384/16384" 58450 20052 112266 9079 687766 
"32768/64" 55471 14117 84093 98979 413309 
"32768/128" 111119 12847 8790 91949 357948 
"32768/256" 109368 15932 39927 103066 581341 
"32768/512" 377607 18260 234311 112917 402901 
"32768/1024" 131112 96996 122126 40899 572467 
"32768/2048" 106314 100738 121657 42654 539738 
"32768/4096" 17308 16927 105384 12214 571648 
"32768/8192" 16516 228755 92248 14888 356844 
"32768/16384" 17290 104951 110732 62225 46409 
"65536/64" 19792 106890 45662 109629 108612 
"65536/128" 103297 100398 14180 141172 95931 
"65536/256" 110786 409356 101151 11225 42350 
"65536/512" 104924 108848 108557 18457 34601 
"65536/1024" 107531 104489 17789 113780 51851 
"65536/2048" 19532 40139 15594 104343 116669 
"65536/4096" 13787 109328 110913 109737 103300 
"65536/8192" 16114 109788 28605 105784 110577 
"65536/16384" 17887 22078 13291 10166 48024 
"131072/64" 17483 284993 100396 104337 102856 
"131072/128" 22913 108586 18083 17271 102610 
"131072/256" 118885 129671 99494 118132 109015 
"131072/512" 99191 109606 22428 17823 14125 
"131072/1024" 18306 107116 35767 107320 40476 
"131072/2048" 16209 112876 19086 15274 16975 
"131072/4096" 20361 107525 25507 106269 608657 
