Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 17149 31159 36056 25386 30591 
"64/8" 12429 22559 34131 29976 33434 
"64/16" 44503 58180 59483 56230 48631 
"64/32" 12671 116165 21024 89157 96082 
"64/64" 35635 180788 64453 173991 29382 
"128/4" 27402 8267 13193 15247 8574 
"128/8" 33943 16056 32778 26063 28551 
"128/16" 25356 28175 23831 54516 62771 
"128/32" 33605 108572 103727 84776 27936 
"128/64" 151666 175631 29506 182870 129279 
"128/128" 41292 253983 36231 223807 76100 
"256/4" 12956 12692 8347 7588 15357 
"256/8" 11901 13136 11592 10128 16507 
"256/16" 69715 60835 61420 60794 59563 
"256/32" 111109 108198 82609 115000 102860 
"256/64" 146529 110005 34800 159597 196483 
"256/128" 136907 44926 38112 266119 271228 
"256/256" 81660 97783 98158 84018 84989 
"512/4" 12386 7990 11824 11289 9617 
"512/8" 15690 14052 12496 35171 16507 
"512/16" 50899 32144 39646 29248 26934 
"512/32" 130120 59088 114515 55465 60655 
"512/64" 176910 132300 58945 85965 110156 
"512/128" 54270 185099 259897 64818 100056 
"512/256" 86324 79255 67922 32514 85208 
"512/512" 263792 143215 185099 340232 311644 
"1024/4" 7366 8636 10041 11527 11470 
"1024/8" 15598 16025 16406 24700 9794 
"1024/16" 27064 25285 31493 32519 31865 
"1024/32" 92510 37358 58588 68989 46349 
"1024/64" 179586 153590 91896 80858 121327 
"1024/128" 73342 249391 108772 67492 76881 
"1024/256" 72312 97134 95378 252410 170802 
"1024/512" 128581 119457 187440 132129 179933 
"1024/1024" 225946 416590 373189 52832 220641 
"2048/4" 10717 8560 9637 13149 12571 
"2048/8" 14413 15729 20675 22161 15922 
"2048/16" 27545 31473 66686 42898 56858 
"2048/32" 57457 54578 71986 125891 130679 
"2048/64" 88287 83493 93682 146234 161386 
"2048/128" 132694 237758 105457 105822 99282 
"2048/256" 73035 77044 76457 86304 383876 
"2048/512" 152064 163605 159478 293323 170581 
"2048/1024" 273140 303995 164272 265393 79642 
"2048/2048" 354753 416687 759915 373998 742572 
"4096/4" 13601 14769 12579 15420 19092 
"4096/8" 22298 24428 25510 23463 30784 
"4096/16" 40557 35162 54178 51863 72921 
"4096/32" 62507 98173 71595 90393 121456 
"4096/64" 128679 136156 149723 139528 213680 
"4096/128" 61834 168372 114278 106572 284539 
"4096/256" 78293 76433 64099 74021 371482 
"4096/512" 146290 157678 154893 148643 425298 
"4096/1024" 277055 311863 268427 283384 628612 
"4096/2048" 471562 158165 382729 476942 912037 
"4096/4096" 624567 520321 541784 581977 1145110 
"8192/4" 13144 10188 11032 11155 34937 
"8192/8" 24931 18557 19368 21461 30517 
"8192/16" 44008 39630 53033 30482 75184 
"8192/32" 84223 74647 94028 64234 109657 
"8192/64" 132466 102781 98753 113473 188409 
"8192/128" 147944 144133 135707 146160 309810 
"8192/256" 72177 187846 71956 148948 357791 
"8192/512" 151024 148339 137171 148287 441733 
"8192/1024" 174331 279522 314823 269005 695065 
"8192/2048" 393772 303655 369822 370815 772253 
"8192/4096" 494059 692306 230942 233077 1002799 
"8192/8192" 610440 334789 567546 634156 1320015 
"16384/4" 10083 8963 9748 9698 16692 
"16384/8" 14144 16794 15415 15917 19892 
"16384/16" 29507 35412 32492 37823 48974 
"16384/32" 55474 65776 80909 85799 59087 
"16384/64" 121661 88045 95185 86389 111410 
