Mode 6-HDD-1-NVMe/write-caching-1 6-HDD-1-NVMe/write-caching-2 6-HDD-1-NVMe/write-caching-3 6-HDD-1-NVMe/write-caching-4 6-HDD-1-NVMe/write-caching-5 
"64/4" 1011 22978 22091 16912 42381 
"64/8" 31098 30890 22046 16864 109040 
"64/16" 19265 29850 21592 16855 119156 
"64/32" 11347 23703 21087 16575 188798 
"64/64" 77385 28685 20472 16101 209911 
"128/4" 60548 29596 21447 16490 62319 
"128/8" 114281 28526 21336 15256 105521 
"128/16" 224556 27880 21045 16469 120758 
"128/32" 172749 28457 20856 16385 147987 
"128/64" 244721 27496 20249 16362 243832 
"128/128" 390222 27285 20106 15657 295665 
"256/4" 64664 29120 20831 16611 73208 
"256/8" 39783 26202 20807 16704 93256 
"256/16" 133669 27981 20540 16695 153198 
"256/32" 198151 26967 20383 16711 254211 
"256/64" 221079 27251 19987 16624 344611 
"256/128" 293227 26688 19237 15913 306188 
"256/256" 424604 27479 19214 16552 395659 
"512/4" 75827 28170 19498 16970 67130 
"512/8" 76382 27951 19842 16744 92218 
"512/16" 172741 27537 19594 16983 111791 
"512/32" 250120 26940 19413 17276 133162 
"512/64" 132260 26191 18804 17094 165269 
"512/128" 217141 25136 18115 16838 359784 
"512/256" 132300 26291 18746 17380 184701 
"512/512" 140700 26333 18103 17199 137669 
"1024/4" 74799 27187 19422 17676 71146 
"1024/8" 101728 26627 19206 17924 107654 
"1024/16" 112874 25598 19030 17788 101265 
"1024/32" 90221 25274 18985 18145 145499 
"1024/64" 93748 24538 18762 18124 125967 
"1024/128" 114322 23548 18123 18150 152629 
"1024/256" 138454 24466 18533 18323 185577 
"1024/512" 245205 2127 18883 18489 152765 
"1024/1024" 168114 23559 19017 18863 90933 
"2048/4" 77938 23357 18843 19165 67971 
"2048/8" 93231 22573 18472 20091 89844 
"2048/16" 99267 21890 18997 20580 111322 
"2048/32" 121760 20900 18845 20670 145270 
"2048/64" 112342 6621 18444 20941 118821 
"2048/128" 115706 19522 17982 20857 133916 
"2048/256" 106711 19392 18486 21283 448940 
"2048/512" 175116 19977 18932 21732 410671 
"2048/1024" 93421 20539 19458 22253 109865 
"2048/2048" 103901 5058 19992 22587 31455 
"4096/4" 42921 20426 20301 22957 82928 
"4096/8" 92939 19503 85490 87580 124565 
"4096/16" 110068 20063 90714 133759 208067 
"4096/32" 107135 19040 119532 108609 339692 
"4096/64" 108690 19459 109982 119111 322900 
"4096/128" 93224 19549 150500 117847 363181 
"4096/256" 118166 20204 111696 199076 613264 
"4096/512" 110918 16625 106495 101959 599441 
"4096/1024" 104181 20955 103745 102551 256995 
"4096/2048" 23053 21418 102538 87883 802842 
"4096/4096" 108010 21890 455472 110273 630157 
"8192/4" 31899 21545 69307 27991 76161 
"8192/8" 88223 13901 87375 70048 91085 
"8192/16" 95690 27223 106486 110869 226806 
"8192/32" 101414 279220 76262 99869 324525 
"8192/64" 107076 82089 167384 104536 386799 
"8192/128" 106514 127266 100577 108356 437587 
"8192/256" 102483 128391 108229 23307 537746 
"8192/512" 109085 125353 103785 105564 589737 
"8192/1024" 104631 165434 103212 98254 618027 
"8192/2048" 19227 106694 95544 101417 746629 
"8192/4096" 100269 6283 99841 110047 785279 
"8192/8192" 99740 7264 105665 102399 630005 
"16384/4" 57412 7860 27527 34359 86248 
"16384/8" 32617 72816 37986 96215 102816 
"16384/16" 107278 100275 169085 86870 199267 
"16384/32" 34260 93774 102219 108622 295403 
"16384/64" 103962 108589 127702 97416 415678 
"16384/128" 36972 90539 84945 41458 375609 
"16384/256" 39955 106880 98751 87606 362542 
"16384/512" 97224 136255 87865 18836 625246 
"16384/1024" 36538 111884 130872 42238 467779 
"16384/2048" 38769 109151 105834 92827 438357 
"16384/4096" 87539 115681 98928 41701 25856 
"16384/8192" 40780 73292 109702 15039 28438 
"16384/16384" 100896 20313 96357 8798 503053 
"32768/64" 89089 16656 109489 108999 405464 
"32768/128" 90294 12943 6693 69903 387003 
"32768/256" 116231 13952 36876 100102 462192 
"32768/512" 87138 13401 89236 93565 340467 
"32768/1024" 116687 102288 97341 34214 656632 
"32768/2048" 111903 125682 111905 39648 660510 
"32768/4096" 15761 16370 119633 12381 677276 
"32768/8192" 16032 108067 110237 14214 437584 
"32768/16384" 17086 122724 119184 20430 92642 
"65536/64" 17096 105188 104682 104438 108620 
"65536/128" 104407 108859 15543 109844 102257 
"65536/256" 99548 390567 107961 45354 40600 
"65536/512" 129533 104380 163217 17689 102584 
"65536/1024" 112667 110684 40135 106070 38132 
"65536/2048" 18046 106070 14885 246829 114539 
"65536/4096" 15663 104196 109589 115500 116369 
"65536/8192" 17228 103203 30332 10304 122276 
"65536/16384" 18548 20532 15972 12683 99864 
"131072/64" 17163 114405 102086 107786 12896 
"131072/128" 27013 108328 30685 17233 117849 
"131072/256" 114213 253214 105995 104133 114135 
"131072/512" 107930 125408 15767 19324 14146 
"131072/1024" 27022 394670 39083 108368 52498 
"131072/2048" 15834 126897 18313 16615 24718 
"131072/4096" 17671 19066 23314 109139 109895 
"131072/8192" 18527 24981 15410 103850 645175 
"131072/16384" 18722 143182 104929 19043 618608 
"262144/64" 19757 107544 16236 21985 321666 
"262144/128" 18278 17377 27799 14940 225992 
"262144/256" 16438 76547 106270 16765 482833 
"262144/512" 19574 94894 28151 13611 600732 
"262144/1024" 16278 116200 17991 14857 65085 
"262144/2048" 13990 108339 123013 21657 11534 
"262144/4096" 17172 108275 19486 107267 36477 
"262144/8192" 21091 110425 15358 109425 14971 
"262144/16384" 17836 113965 18843 147507 74638 
"524288/64" 27256 38139 13023 126335 106803 
"524288/128" 16411 19289 18464 106763 14196 
"524288/256" 20701 36912 14519 29039 136395 
"524288/512" 73763 33196 12559 20925 201268 
"524288/1024" 26069 27709 16197 110174 612295 
"524288/2048" 16955 18403 67005 15809 46010 
"524288/4096" 76728 111472 40961 13527 19415 
"524288/8192" 14144 48292 19399 14070 72391 
"524288/16384" 17767 20657 76335 106316 18625 
