Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 29590 29347 22416 26291 29684 
"64/8" 51953 49265 43870 43423 38305 
"64/16" 75919 88277 67011 63946 76481 
"64/32" 116366 115515 135041 125448 114676 
"64/64" 197552 200503 63001 178741 172095 
"128/4" 27437 30556 28406 28007 28175 
"128/8" 56662 30761 36865 51509 51077 
"128/16" 81892 95447 93437 76972 81482 
"128/32" 139454 145936 154771 118310 145619 
"128/64" 215800 187729 231828 220679 229353 
"128/128" 371073 457376 403721 394814 313811 
"256/4" 14147 12655 15363 14932 12294 
"256/8" 52673 46946 39880 55545 54271 
"256/16" 108111 109311 98537 102078 94813 
"256/32" 173329 132302 202829 185229 170548 
"256/64" 245887 324510 330300 202371 252716 
"256/128" 440454 485678 389064 405674 405827 
"256/256" 587127 580461 624339 605332 750970 
"512/4" 14581 18709 7412 11492 11921 
"512/8" 29871 30103 29163 51077 58134 
"512/16" 108932 105939 113145 109376 91247 
"512/32" 206631 171294 162284 162690 63665 
"512/64" 272911 334874 356026 290090 292222 
"512/128" 101729 346602 522018 464139 468902 
"512/256" 656360 721163 678122 52756 637650 
"512/512" 932550 914287 1005938 1111070 1123275 
"1024/4" 14710 20952 16680 15218 20780 
"1024/8" 29223 26871 42563 38157 37701 
"1024/16" 58631 34956 58135 54034 69376 
"1024/32" 180758 191510 218009 175736 181883 
"1024/64" 341770 335418 307600 315578 402346 
"1024/128" 498036 547561 431880 548821 478504 
"1024/256" 785357 698050 697030 899883 837257 
"1024/512" 1079190 966941 1028043 998874 1082454 
"1024/1024" 1307525 1185209 1648862 1667426 1367037 
"2048/4" 27003 14432 15806 21294 26956 
"2048/8" 42260 43991 33311 35431 32311 
"2048/16" 90069 60950 56485 57276 57460 
"2048/32" 78236 98918 102185 87439 102734 
"2048/64" 382952 353949 360047 306402 356106 
"2048/128" 496246 570956 559867 563392 541821 
"2048/256" 849159 963774 1045410 933403 836996 
"2048/512" 1224194 240400 1083519 921686 1116038 
"2048/1024" 1646273 1908956 1574169 1510236 1586379 
"2048/2048" 1948800 1959469 1923059 1556202 2245261 
"4096/4" 24737 17385 21814 23725 16333 
"4096/8" 36602 27748 27533 39226 54541 
"4096/16" 51196 83425 64081 56447 99013 
"4096/32" 120130 120421 69020 40955 114384 
"4096/64" 188537 197856 158446 196236 198813 
"4096/128" 598584 644314 629765 551577 580738 
"4096/256" 855494 928601 965117 962414 932178 
"4096/512" 1498618 1560982 1185897 586908 1378601 
"4096/1024" 1872709 1797281 1437669 1674482 1755770 
"4096/2048" 2002827 1748977 1889391 2233528 2114496 
"4096/4096" 1969986 2200909 2671911 2169502 2552044 
"8192/4" 16410 15483 21839 21381 21751 
"8192/8" 40138 42013 42692 41428 40567 
"8192/16" 90685 99306 78315 73305 93967 
"8192/32" 174468 174412 147492 176605 114189 
"8192/64" 259297 228481 167371 269091 185642 
"8192/128" 415475 461571 371132 253566 402222 
"8192/256" 849861 954442 1089650 878320 835661 
"8192/512" 1410683 1303390 1302205 1388507 1478168 
"8192/1024" 1757548 1841377 1617704 1738166 1747448 
"8192/2048" 1790987 2098842 2289000 2172356 856278 
"8192/4096" 1502603 2661522 2781533 2824752 2305743 
"8192/8192" 2656173 2586004 3504019 2737215 2410058 
"16384/4" 7271 10028 9694 8602 8546 
"16384/8" 22582 38352 24356 29639 28177 
"16384/16" 95342 89332 92854 82649 66992 
"16384/32" 104113 106597 133017 151391 150448 
"16384/64" 267961 271545 248483 238785 283759 
"16384/128" 455693 422944 570234 425879 378749 
"16384/256" 580068 741688 880479 1069383 901501 
"16384/512" 810086 1361137 1333768 1492318 1381912 
"16384/1024" 1744290 1702586 1911380 1705587 1940964 
"16384/2048" 1981141 1163065 2013002 1039852 2517860 
"16384/4096" 2638307 2309913 2353664 2544524 2684165 
"16384/8192" 2881947 1269202 2115955 1735567 2629021 
"16384/16384" 3074448 2932618 3284115 3231606 3472643 
