Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 4018152 3203069 6421025 5735102 5860307 
"64/8" 3022727 4274062 4274062 4897948 5860307 
"64/16" 3363612 4274062 4564786 4564786 7293312 
"64/32" 3738358 7100397 3738358 4897948 4988978 
"64/64" 5283570 5283570 5735102 9318832 7940539 
"128/4" 3657016 5325799 5325799 5847904 3759450 
"128/8" 4717434 6406138 3657016 3759450 4759253 
"128/16" 3759450 5603747 5325799 5325799 5325799 
"128/32" 5545860 4717434 5545860 5784891 5847904 
"128/64" 6045455 4557257 6114306 6114306 6114306 
"128/128" 6330599 4596273 9129573 6406138 6406138 
"256/4" 5938650 5455847 3236056 5428265 4009406 
"256/8" 3879045 4070199 7791708 5242734 5117791 
"256/16" 5810112 8815202 5938650 5841722 5938650 
"256/32" 6107548 4907284 4929815 5022044 9434868 
"256/64" 9518507 7120034 5347168 6719046 5117791 
"256/128" 6761355 5117791 6595234 6719046 5117791 
"256/256" 5022044 5217259 5320671 6936061 7965107 
"512/4" 3970896 4000485 3628697 3437042 4131319 
"512/8" 4000485 5822804 7211022 7988981 5331314 
"512/16" 10911694 9145790 6018636 4827914 8992598 
"512/32" 6571132 7410080 9997331 6551087 6652558 
"512/64" 6909408 9468384 6821616 6931711 6909408 
"512/128" 6909408 10434519 8808176 15583417 7115451 
"512/256" 5265948 9814569 7758090 8140399 6999490 
"512/512" 5227492 7211022 6931711 12215097 10641343 
"1024/4" 6172653 4064103 3725664 6402699 7066349 
"1024/8" 9142007 9300377 5529011 6819511 8822754 
"1024/16" 7941793 9655828 6559147 6128613 6650556 
"1024/32" 6317933 6559147 6393168 11132462 11368190 
"1024/64" 6702448 8262639 5720477 10662628 10557785 
"1024/128" 10662628 9320560 6819511 10230845 6918376 
"1024/256" 8199542 6918376 5751117 10255274 5983467 
"1024/512" 5219904 6025439 6692005 6609617 6650556 
"1024/1024" 5782087 8988941 6744549 9142007 9765601 
"2048/4" 4162181 6397004 6378005 4162181 4196751 
"2048/8" 7556202 7846081 7817519 7782107 7477273 
"2048/16" 9015410 8423109 6127764 8758039 5836323 
"2048/32" 9431138 8498106 8903279 9140117 6340344 
"2048/64" 9944290 6608629 9708272 8128206 6420913 
"2048/128" 7311791 9752360 9898453 8866519 6003564 
"2048/256" 9189005 6363830 9268323 6984790 9218589 
"2048/512" 6397004 6127764 8464610 6420913 9024882 
"2048/1024" 8531869 8574451 7754008 6498636 6523312 
"2048/2048" 6459541 8029434 7231767 6261772 5953632 
"4096/4" 5996870 4141917 5633102 4200656 4012295 
"4096/8" 5178081 6919538 5542240 7845385 6122971 
"4096/16" 5036894 8142867 8240513 8906998 5751920 
"4096/32" 6361016 9482180 6263611 6449370 8829180 
"4096/64" 8944095 7742845 9023961 6714018 7146945 
"4096/128" 9100443 9267351 6790983 9081201 8847367 
"4096/256" 8944095 6703539 6122971 9227530 6883496 
"4096/512" 6510471 6861502 6861502 7001316 6638778 
"4096/1024" 6659365 9019223 9658092 9124610 9163546 
"4096/2048" 9685316 6727163 8677553 7742845 8112108 
"4096/4096" 7954358 8096815 8770583 6321227 6207035 
"8192/4" 5181834 6345516 5805180 4318825 5784656 
"8192/8" 8159896 8291831 7379976 5851647 5312425 
"8192/16" 5881698 9092750 9061576 7440706 8393104 
"8192/32" 6501608 8568928 8983394 9023500 5944791 
"8192/64" 7961372 6827153 9319649 10187286 6912307 
"8192/128" 10422130 10450659 10422130 8498983 10668056 
"8192/256" 7173514 10356163 9011667 6978288 10202411 
"8192/512" 10707952 6971209 9526362 6501608 6816318 
"8192/1024" 10585888 7434267 9515809 9635897 9492149 
"8192/2048" 6725591 8876637 9660279 7307775 7012469 
"8192/4096" 7407022 8024590 7906413 7714691 6150158 
"8192/8192" 7122952 6725591 6861236 5704938 6936028 
"16384/4" 4166886 6173255 5137595 6201108 7098528 
"16384/8" 6457501 8142305 7522817 8341963 8159708 
"16384/16" 8432038 8427902 7301412 9097331 9081702 
"16384/32" 10835947 6465399 9122693 9661374 9459231 
"16384/64" 10737744 9740803 10234023 8384712 10967380 
"16384/128" 8885596 7564220 10329397 7918079 10343390 
"16384/256" 10429731 10442410 10456711 9706407 9929404 
"16384/512" 10362106 10488631 8928311 9138464 10401316 
"16384/1024" 10376187 10343390 9666810 10362106 9972633 
"16384/2048" 10082370 8533606 9995842 10247758 9660015 
"16384/4096" 7323979 7824319 7674033 7991746 7922644 
"16384/8192" 5807538 6603320 6422497 6697931 6587495 
"16384/16384" 6720858 6709703 6595715 6824310 6533011 
"32768/64" 11011143 9776004 10233113 10981230 10297516 
"32768/128" 11069676 11217852 7217368 10962836 10243027 
"32768/256" 9807396 8654951 11108147 9589786 10604198 
"32768/512" 9389313 10509328 10915818 11902768 10580524 
"32768/1024" 10107436 10549662 10889871 11092906 10642792 
"32768/2048" 10383090 10959339 10789845 8813688 10352588 
"32768/4096" 8611568 8296044 8094736 7798040 8682837 
"32768/8192" 6494056 5309843 6435370 6220137 6754817 
"32768/16384" 6436575 6553510 6730009 6728362 6784158 
"65536/64" 12002979 9679206 9034367 10420802 11079852 
"65536/128" 10628720 10009826 10649309 10859242 11879006 
"65536/256" 10834417 10332277 7482153 11066470 10692806 
"65536/512" 10272044 11846242 10771581 11850838 11143636 
"65536/1024" 10846388 10724094 10260924 12149941 10657980 
"65536/2048" 12109262 10514476 10568647 10593901 10541492 
"65536/4096" 8448733 9162045 8350685 8441209 8684979 
"65536/8192" 5791560 6646658 6580622 6086243 6635266 
"65536/16384" 6651322 6820316 6833881 6351034 6679932 
"131072/64" 11169402 11358167 11471455 10952662 12196250 
"131072/128" 11269227 9474659 12292241 11447330 10807326 
"131072/256" 10944594 11470498 11779689 11841344 9515988 
"131072/512" 11600474 9573490 10170152 11897208 7820049 
"131072/1024" 9999413 8275864 11466192 10616570 11956982 
"131072/2048" 11369912 11833952 10971898 11515669 12224726 
"131072/4096" 8214529 9229850 8666469 8943800 8830027 
"131072/8192" 6755598 6740027 6757342 6788466 6765741 
"131072/16384" 6720911 6755266 6732022 6775915 6760500 
"262144/64" 12158730 11587002 11784462 11813076 12095464 
