Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 5283570 3203069 3203069 5283570 3541098 
"64/8" 3363612 3541098 3738358 5389653 4564786 
"64/16" 3738358 3738358 4018152 4018152 3738358 
"64/32" 2379626 3363612 4564786 3363612 2467108 
"64/64" 3363612 5283570 4564786 4897948 2278628 
"128/4" 2621367 3468030 4934216 5074121 2714132 
"128/8" 2905056 3560017 3468030 3445772 2714132 
"128/16" 2571150 3982553 3560017 3199360 4934216 
"128/32" 4012317 5122535 3199360 3380677 4407601 
"128/64" 2843510 3982553 5545860 3053774 2905056 
"128/128" 2920861 3036502 3867787 4012317 2969325 
"256/4" 2842047 3159869 3617659 3756894 4819184 
"256/8" 5022044 3285566 3770085 3994490 3326279 
"256/16" 5242734 5687020 3410808 5687020 4840911 
"256/32" 3994490 3605511 3557725 3052087 4907284 
"256/64" 5569035 3994490 5320671 2413957 3465855 
"256/128" 3994490 5217259 4132864 3545976 3557725 
"256/256" 5810112 3159869 4132864 4070199 6073004 
"512/4" 3481620 5278892 5344582 3736016 3822466 
"512/8" 3678421 4000485 4485083 4099771 3710197 
"512/16" 3934520 4131319 4091959 4061007 3325278 
"512/32" 5760329 6104175 4827914 6035551 4375425 
"512/64" 4030519 3849877 3849877 3877684 4340054 
"512/128" 3710197 4305250 5115422 4742616 5886650 
"512/256" 4131319 6156675 5019764 6319739 3970896 
"512/512" 4068701 4420457 4262523 6472112 3941742 
"1024/4" 3529706 3764854 5277632 6364746 6128613 
"1024/8" 6244448 6569179 4550690 4396951 6016997 
"1024/16" 5789881 4654248 6327241 6317933 6733974 
"1024/32" 4195100 3999762 6479979 4339202 5789881 
"1024/64" 5917516 4334822 4079544 4810640 6479979 
"1024/128" 4064103 4972145 4392454 4451639 4512441 
"1024/256" 6393168 4550690 6479979 4410497 6137371 
"1024/512" 3804877 3937426 4126579 3751699 6692005 
"1024/1024" 6529233 3220084 3984917 4550690 4488860 
"2048/4" 5888333 3850597 3841986 4054139 4096676 
"2048/8" 5937172 4772701 6543188 6711905 6243566 
"2048/16" 4666399 4741090 6807652 5290001 3962502 
"2048/32" 4453499 4509611 6459541 4432815 4676561 
"2048/64" 6939647 4581773 7082696 7159438 4831762 
"2048/128" 4762117 4717655 4405533 6266340 4853603 
"2048/256" 6629029 6780783 7135648 4511980 6340344 
"2048/512" 4818211 4621211 5068389 6583305 5723548 
"2048/1024" 4511980 5535444 4623699 4611288 4911886 
"2048/2048" 4154130 4653758 7135648 4347560 6780783 
"4096/4" 5396016 4175134 5679660 4922872 5603704 
"4096/8" 6186918 4633432 6735075 4441761 6737716 
"4096/16" 6358661 4638436 6449370 4623457 5944991 
"4096/32" 5519094 5535098 6500617 4801789 6420447 
"4096/64" 7073381 7277121 5565581 6103394 6703539 
"4096/128" 6661947 4607338 4768469 7264812 6408472 
"4096/256" 6693092 4785737 6398924 6693092 4946971 
"4096/512" 4779081 4763181 4785737 7355007 6758923 
"4096/1024" 4911613 7286380 7261741 5184332 5389246 
"4096/2048" 4664886 6628532 7099689 4535572 7111444 
"4096/4096" 4491697 4470657 6790983 6430059 5859825 
"8192/4" 4104220 6350207 6855760 6196743 5776876 
"8192/8" 5254742 6850292 4563770 6954278 4483963 
"8192/16" 7117050 7097937 7103807 4759753 6511465 
"8192/32" 7373641 5931450 7300012 6621897 4979812 
"8192/64" 4961834 4919916 7386322 5681356 5777847 
"8192/128" 6901200 5465373 5347148 5047850 7326473 
"8192/256" 5000831 7481208 7434267 6809564 5171695 
"8192/512" 5198297 6923450 6305921 7426233 7415014 
"8192/1024" 4985593 5044145 7460092 4995015 4784941 
"8192/2048" 5776876 6359610 5329730 4943274 4934754 
"8192/4096" 4699856 4546258 6220301 5607184 4533661 
"8192/8192" 4378260 5447177 5047850 5630154 4196965 
"16384/4" 4356280 4335393 4955681 6467833 6150051 
"16384/8" 6229778 7089009 4712040 7133159 7117644 
"16384/16" 7116907 6509495 5742507 5720994 7163647 
"16384/32" 7046846 7410062 5359578 5708638 5667209 
"16384/64" 7230732 7550092 5714334 5758869 7529411 
"16384/128" 7516235 5864034 7114697 5883111 7376654 
"16384/256" 7536843 7182365 7575060 5657411 7532712 
"16384/512" 7297535 7609451 6690106 8138448 6097662 
"16384/1024" 5714334 7580910 5033728 6947813 6111219 
"16384/2048" 7451038 6818216 5702953 7308401 7373488 
"16384/4096" 4518400 6355378 5815894 4726949 6166054 
"16384/8192" 5145674 5280100 4762658 5004037 4087815 
"16384/16384" 5288633 5405531 5320984 4218298 4662486 
"32768/64" 7753608 7659836 7365113 6771457 7087841 
"32768/128" 6615973 7748362 7616960 7043886 7010830 
"32768/256" 6416143 6149997 6985175 8860851 6113341 
"32768/512" 5725715 7311047 7666672 8262131 7337197 
"32768/1024" 7657702 5096030 6442610 7616960 5072333 
"32768/2048" 7555407 8120563 7717471 7472836 5332505 
"32768/4096" 6566661 6124783 5791339 5749908 6522409 
"32768/8192" 5441229 5047557 5611171 4191386 5070835 
"32768/16384" 5117662 5529673 5621499 5375259 5386002 
"65536/64" 8309538 8571504 7913160 8277758 8480272 
"65536/128" 8907888 5116024 8424910 8113804 8937140 
"65536/256" 7807521 8971560 5109653 7733714 9090838 
"65536/512" 7850333 8066895 8975075 5174191 8359320 
"65536/1024" 8175584 9038229 8477918 7877781 5608058 
"65536/2048" 8120996 8532392 8522076 8241522 8356016 
"65536/4096" 7034118 6896290 6839493 6903565 6913114 
"65536/8192" 4558445 5393061 5465007 5630689 5620557 
"65536/16384" 5585609 5036625 5637502 5066985 4264396 
"131072/64" 8608388 8777301 8881381 9012123 8382237 
