Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 3057153 2379626 1828508 2561267 2892445 
"64/8" 2278628 2052169 2133730 2067979 2923952 
"64/16" 2662899 1599680 4018152 2561267 2561267 
"64/32" 3363612 3363612 3541098 3541098 3541098 
"64/64" 2689580 2772930 2689580 2662899 2662899 
"128/4" 2066432 1732927 1778862 1749872 1684006 
"128/8" 2558895 1852520 2175277 1827299 2211113 
"128/16" 2969325 2714132 2843510 2714132 2660335 
"128/32" 4934216 2420455 2464907 3277486 4934216 
"128/64" 4267461 4407601 4934216 4444086 6330599 
"128/128" 2969325 5784891 3053774 3106789 4267461 
"256/4" 1894373 2392442 1766587 2486631 2266207 
"256/8" 3756894 3499745 4264168 2305128 2305128 
"256/16" 4070199 3078337 2747508 2692393 2699161 
"256/32" 3159869 2665657 3159869 2613746 3114048 
"256/64" 2783115 4998665 3557725 3087188 3605511 
"256/128" 8534922 3823789 4734192 4819184 4819184 
"256/256" 2639446 3605511 3368013 2726577 4734192 
"512/4" 1835760 2891043 2681653 1599251 1815584 
"512/8" 4271001 2681653 2347475 2370799 3849877 
"512/16" 4927617 2722449 3941742 4195896 3104171 
"512/32" 3029721 3068685 3046915 2381315 3086326 
"512/64" 3279573 5127637 3822466 3284589 3325278 
"512/128" 3610395 5344582 5331314 5453155 3393590 
"512/256" 4163357 4973263 4916336 8265729 4871723 
"512/512" 3388236 3459188 2958758 3459188 5398323 
"1024/4" 1992279 2028027 1799462 2035716 2015654 
"1024/8" 4162573 2128533 4162573 3324778 2338280 
"1024/16" 4876180 3835457 2976816 3778101 2723840 
"1024/32" 3103735 3020783 3103735 3447541 4832290 
"1024/64" 3220084 5169641 5042191 3579719 5114239 
"1024/128" 3696803 5564829 3314514 4700088 4287225 
"1024/256" 3735385 3324778 5444898 3835457 5417427 
"1024/512" 4876180 4898425 4898425 4920874 7160597 
"1024/1024" 3518141 3222500 2942149 5303701 5479632 
"2048/4" 1745990 2615847 1948800 2775597 3065856 
"2048/8" 2549845 3598924 4048407 2582813 3454204 
"2048/16" 2929912 2955111 2947000 2929912 3991965 
"2048/32" 2977647 4405533 3500658 4138120 3506373 
"2048/64" 3871422 3276342 3458376 4971585 5044577 
"2048/128" 3266376 3663388 4775354 3235617 4839929 
"2048/256" 4284671 4633675 3292669 3362265 4707314 
"2048/512" 4741090 3517861 3624742 4829046 3757946 
"2048/1024" 6420913 4911886 4301837 4850862 6568203 
"2048/2048" 3477979 4751580 5107566 3730203 4730646 
"4096/4" 2750624 1940393 2148072 2952980 2732686 
"4096/8" 2880688 2409584 3743865 4034911 2623759 
"4096/16" 2696655 2807716 3072878 4192455 2778652 
"4096/32" 4175134 2923832 3436107 4607338 4171080 
"4096/64" 4257917 4452120 3168077 4628439 3232454 
"4096/128" 3175103 4428023 3102848 4347346 4380601 
"4096/256" 3980686 3764373 3034344 2670249 3061379 
"4096/512" 4091608 3757786 4386193 3703511 3300770 
"4096/1024" 4676314 3408159 4757904 4796426 4324366 
"4096/2048" 5625724 4274869 6015769 6112079 5171846 
"4096/4096" 3195181 3782607 4413235 4442909 3799338 
"8192/4" 1781700 2943571 2826843 3245524 1810808 
"8192/8" 3367015 3495109 3221183 3367015 2489871 
"8192/16" 4612784 3934558 3307062 3655755 3794222 
"8192/32" 4476368 3730372 3554036 3846036 4160376 
"8192/64" 3194826 4518161 4207243 3711835 3102794 
"8192/128" 3105317 4271046 4001923 3067065 3851208 
"8192/256" 4007992 3525230 3622990 3364048 3018299 
"8192/512" 4057690 3957671 3742154 3794222 3978753 
"8192/1024" 4190311 3124235 3192451 3342125 3348965 
"8192/2048" 3250744 3852936 4548665 3375284 4045270 
"8192/4096" 4551075 5550123 5004472 4456628 5247519 
"8192/8192" 3897073 3824630 4179607 4179607 3185053 
"16384/4" 2748030 2314113 2166658 3021193 2145083 
"16384/8" 3260585 2436272 3141058 3247488 3211970 
"16384/16" 3665272 3229631 3712598 3509711 3404852 
"16384/32" 3933614 4480106 3996990 4052380 3541728 
"16384/64" 4284575 4300395 3727905 4338951 3446346 
"16384/128" 4063402 3518877 3599988 3850519 2968597 
"16384/256" 3414156 3061300 3643313 2814203 3722049 
"16384/512" 3554001 3619137 3767348 3948985 3956488 
"16384/1024" 2915819 3833336 3296561 3843412 3360890 
"16384/2048" 2902396 2857381 3042999 3648924 3647374 
"16384/4096" 4120661 3150274 4090979 4007946 4073519 
"16384/8192" 4318501 4199993 5155324 5758869 4407975 
"16384/16384" 3218287 3157366 4175494 4243565 4420735 
"32768/64" 3276115 4087913 4020704 4165724 4131041 
"32768/128" 3938890 2960336 3036063 4055944 4292310 
"32768/256" 4014714 3404836 4107338 3579996 3671912 
"32768/512" 3944543 3685104 3539795 2985933 3527620 
"32768/1024" 3405511 3599687 3579250 3016803 3119585 
"32768/2048" 2981658 2967046 2826286 2855885 3444947 
"32768/4096" 3890280 3940810 3919122 3017333 3770843 
"32768/8192" 3909868 4140001 4244064 3254009 3863270 
"32768/16384" 6352971 6193229 6046906 4685183 5693929 
"65536/64" 4666872 4068058 3270105 3930431 4647226 
"65536/128" 4423326 3774198 4307364 3850973 4234375 
"65536/256" 3963472 4063728 3951790 3396707 3918441 
"65536/512" 3814897 3818448 3127315 4007620 3631829 
"65536/1024" 3782976 3765357 3870985 3880384 3858920 
"65536/2048" 3799185 3271740 3804074 3544396 3743410 
"65536/4096" 3592761 3712870 3739336 2977679 3645121 
"65536/8192" 3951563 3871912 3827593 3897440 3630821 
"65536/16384" 4803642 3572635 4748295 4767236 4541649 
"131072/64" 4835534 4891466 4694883 4790115 4852007 
"131072/128" 4377078 4171079 4076770 4498459 4434701 
"131072/256" 3131284 3975849 3897130 4100733 4025810 
"131072/512" 3943819 3795245 3958928 3960354 3955567 
"131072/1024" 3516641 3940822 3957247 3937153 3941670 
"131072/2048" 3762749 3775541 3403938 3809684 3796346 
"131072/4096" 3663285 3658774 3642701 3656730 3660212 
"131072/8192" 3791816 3617580 3741189 3740323 3714571 
"131072/16384" 4279194 4053833 4328928 4322224 4288607 
"262144/64" 5051143 4946008 4889373 5006204 4872386 
"262144/128" 4563068 4535998 4185398 4553167 4534259 
"262144/256" 4142865 4086115 4079354 4101051 4043306 
"262144/512" 4016982 4027296 3980567 4031372 4024201 
"262144/1024" 4014210 4037515 4010535 3921549 4017716 
"262144/2048" 3857505 3852058 3853476 3888747 3846466 
"262144/4096" 3524620 3681743 3670706 3586683 3693729 
"262144/8192" 3717821 3703171 3718614 3741059 3715711 
"262144/16384" 4197461 4203784 4200411 4192228 4204668 
"524288/64" 4915053 4081654 4546651 4879098 4587713 
"524288/128" 4254575 4521633 4490535 4076925 4450546 
"524288/256" 4064341 3868885 4070713 4064401 4070781 
"524288/512" 3685080 3993295 3987560 3997040 3984590 
"524288/1024" 3979564 3791963 3792100 3990990 3962990 
"524288/2048" 3617672 3673360 3580959 3814028 3613962 
"524288/4096" 3632816 3481815 3455558 3627992 3610254 
"524288/8192" 3653956 3524506 3401087 3523817 3475030 
"524288/16384" 4068002 3942662 3839386 4063147 4035402 
