Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 1017549 1780008 1879725 1562436 1734015 
"64/8" 1226821 1679761 1279447 1518251 1933893 
"64/16" 1226821 1392258 1013707 1304314 1780008 
"64/32" 1518251 1722886 2662899 1648808 1679761 
"64/64" 1310683 1879725 1947927 1330167 1336792 
"128/4" 1732927 992724 1406136 1185654 1802755 
"128/8" 2058509 1229084 1266785 1359835 1778862 
"128/16" 1377278 1455701 1421023 1471662 1455701 
"128/32" 1598754 1642783 1561553 1579934 1603529 
"128/64" 1637771 1705404 1684006 1663139 2420455 
"128/128" 1492113 2202044 2326073 1508887 2066432 
"256/4" 1058076 1704877 1729594 1660068 1740810 
"256/8" 1842366 1907837 1108314 1479379 1319408 
"256/16" 1445521 2266207 2131261 1532153 1487577 
"256/32" 2392442 1673001 1802167 1718521 2441400 
"256/64" 1790149 1755037 1907837 1924938 2692393 
"256/128" 2665657 1752173 1881098 2392442 2754556 
"256/256" 1598292 1523457 2533571 1683493 1549845 
"512/4" 1778004 1599251 1413929 1225169 1289930 
"512/8" 2216629 1221684 1391933 2081286 2370799 
"512/16" 1368865 2405320 1590957 1383861 2625909 
"512/32" 2544997 1677976 1672748 1882427 1730717 
"512/64" 1778004 1795846 2416145 1842059 1760512 
"512/128" 1970519 1999881 2039772 2942541 2906696 
"512/256" 2039772 3201349 2152206 2135087 3437042 
"512/512" 1700565 1565443 2560168 1760512 1842059 
"1024/4" 1163693 1250061 1207534 1286378 2310605 
"1024/8" 2240689 2343383 1458489 2265510 1402756 
"1024/16" 2310605 1828574 2225595 1735476 2008114 
"1024/32" 2343383 1784509 1872419 2146618 1750329 
"1024/64" 1799462 2503178 1855433 1857840 1957770 
"1024/128" 1995982 1987669 2509027 1914144 2789291 
"1024/256" 3094790 2060128 2027069 2369237 2813041 
"1024/512" 2225595 2236023 2220992 2056183 2230218 
"1024/1024" 1848247 1882266 1865101 1855433 2160657 
