Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 32385 32506 29411 33988 33685 
"64/8" 62927 62502 60325 63628 58818 
"64/16" 120062 117435 119421 114091 114480 
"64/32" 230257 188269 198135 172427 197552 
"64/64" 326641 307554 321554 242312 320021 
"128/4" 31905 32258 28816 29479 30117 
"128/8" 63491 51445 56867 52094 51014 
"128/16" 97474 94806 115114 92967 96824 
"128/32" 223807 205476 199966 200339 145304 
"128/64" 404939 356533 336848 336005 258135 
"128/128" 453896 621518 375485 549056 389091 
"256/4" 30468 31030 32096 29077 31789 
"256/8" 55799 55663 44808 59672 61508 
"256/16" 116157 106260 130153 109500 124034 
"256/32" 223193 223565 249951 203483 188118 
"256/64" 388501 384329 332036 320730 412215 
"256/128" 629094 550409 563997 541253 575175 
"256/256" 742146 930608 980760 876662 873809 
"512/4" 32458 33668 34094 30949 15087 
"512/8" 64524 63746 63318 58891 52974 
"512/16" 99962 120952 118876 123882 97229 
"512/32" 244732 205780 194082 182534 218244 
"512/64" 349764 381178 383835 371549 383561 
"512/128" 564561 485767 468391 674502 554217 
"512/256" 628138 922535 1227971 1115109 957072 
"512/512" 1523247 1551867 1267097 1488408 1089647 
"1024/4" 33707 33842 17438 30052 29856 
"1024/8" 64568 63630 62192 60966 58597 
"1024/16" 125489 125507 123429 122427 125503 
"1024/32" 222470 242944 212141 233411 206580 
"1024/64" 383657 356552 392492 323226 425758 
"1024/128" 605965 632467 600207 710052 625923 
"1024/256" 988529 977060 989440 1133893 783494 
"1024/512" 1554004 1317957 1291406 1450607 1439908 
"1024/1024" 1815435 2124322 1727102 1910737 1609925 
"2048/4" 33363 30629 23408 32929 31713 
"2048/8" 52137 35102 60452 58322 60434 
"2048/16" 119437 125336 70481 112213 125620 
"2048/32" 218357 227055 203785 201893 242305 
"2048/64" 156277 339525 376061 345646 427109 
"2048/128" 593317 576397 643594 640571 576900 
"2048/256" 1013824 1028019 1164293 1033337 958397 
"2048/512" 1487227 1471180 1322992 1443248 1368956 
"2048/1024" 1708146 1788896 2013672 1673209 1905146 
"2048/2048" 2485653 2537792 1912356 2085540 1865023 
"4096/4" 29636 21026 26976 28100 25620 
"4096/8" 39093 51970 53874 43870 38022 
"4096/16" 103256 92913 92312 117441 72232 
"4096/32" 222477 214528 212459 223629 243825 
"4096/64" 349072 335985 385970 359608 396399 
"4096/128" 639588 692128 630736 562484 729233 
"4096/256" 1030969 987416 1224526 1166254 1082687 
"4096/512" 1325218 1398009 1385718 1316585 1515272 
"4096/1024" 1705908 1960768 1812450 1797281 1673993 
"4096/2048" 2228314 2096178 2169502 1871281 1913167 
"4096/4096" 2412291 2579247 2389808 2171971 2347359 
"8192/4" 11146 26354 22986 23088 17014 
"8192/8" 48665 51079 27455 58330 40681 
"8192/16" 81999 78446 79146 78466 89691 
"8192/32" 209471 238604 183780 212575 202998 
"8192/64" 350460 354035 369456 374061 338623 
"8192/128" 648458 739829 656888 680164 613579 
"8192/256" 984863 1073379 1184173 1167276 1113053 
"8192/512" 1440248 1364195 1575137 1537568 1481099 
"8192/1024" 1886259 1822526 2187987 1969174 1976878 
"8192/2048" 1978244 2162648 2425027 2159250 2142287 
"8192/4096" 2137224 2383476 2286410 2272348 2471958 
"8192/8192" 2854319 2353438 2801719 2938285 2703616 
"16384/4" 7858 9469 8524 21421 14249 
"16384/8" 50118 44777 31518 26199 19237 
"16384/16" 91722 90521 89870 100525 112671 
"16384/32" 179639 190456 204060 187511 154856 
"16384/64" 282853 333360 359212 229705 272993 
"16384/128" 676074 637733 646669 630200 318203 
"16384/256" 1115543 1164543 1235410 1159591 1285417 
"16384/512" 1490667 1520954 1677647 1541597 1632221 
"16384/1024" 1750823 2002969 2025939 2051829 2030729 
"16384/2048" 2500635 2525262 2297864 2152406 2084758 
"16384/4096" 2505558 2428352 2409028 3142351 2555690 
"16384/8192" 2550000 2509401 2601846 3117829 3401145 
"16384/16384" 3601497 3710193 3424876 3840620 3215727 
"32768/64" 320679 341713 329171 315086 269248 
"32768/128" 576445 669774 679775 652669 708942 
"32768/256" 1304039 1113832 1300374 1162846 1161657 
"32768/512" 1422030 1634722 1616894 1653444 1634644 
"32768/1024" 2186123 2001359 2169490 2228662 2103610 
"32768/2048" 2454187 2724973 2498717 2512282 2463028 
"32768/4096" 2724757 2705661 2869061 2989505 2744398 
"32768/8192" 2683735 2722975 3703475 3138677 3287949 
"32768/16384" 3623603 3165934 3518860 3424091 3779034 
"65536/64" 298482 373492 299107 343075 297839 
"65536/128" 492293 482531 523374 686004 711034 
"65536/256" 641515 682396 821519 558099 705318 
"65536/512" 878771 903808 1415679 1400524 1605006 
