Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 18518 17236 14829 11341 15763 
"64/8" 30901 28905 30291 32389 25951 
"64/16" 45880 38442 47021 50592 43095 
"64/32" 44261 66038 71434 72066 64007 
"64/64" 167897 191083 191083 186568 206997 
"128/4" 19952 16090 16210 17344 14036 
"128/8" 27712 29472 26267 26572 23916 
"128/16" 63649 45926 54170 45812 53898 
"128/32" 95890 78286 83122 70913 92090 
"128/64" 115411 121882 117869 125972 143325 
"128/128" 287742 315286 253983 249034 258508 
"256/4" 11626 14365 6523 14569 9118 
"256/8" 30824 27356 29827 35580 34362 
"256/16" 50794 62045 53703 62362 48301 
"256/32" 128058 91821 107883 98800 83907 
"256/64" 171584 147902 163984 168303 166244 
"256/128" 274698 205272 237039 222592 219947 
"256/256" 433169 412215 592636 461267 482189 
"512/4" 17226 15872 11840 11074 9946 
"512/8" 21999 21172 19333 16897 29554 
"512/16" 48457 49159 54665 59820 47721 
"512/32" 112878 94287 121582 89322 118437 
"512/64" 177466 188925 150628 187131 191469 
"512/128" 282422 282719 269452 277531 269047 
"512/256" 377824 432802 416921 457904 403449 
"512/512" 654759 677267 685263 827289 729244 
"1024/4" 11315 11718 20810 15692 19069 
"1024/8" 20426 25401 37754 21739 23148 
"1024/16" 36627 42184 46717 31741 32520 
"1024/32" 111802 92135 120869 124894 127345 
"1024/64" 240374 185979 251597 239196 236809 
"1024/128" 350443 388164 317609 359056 357919 
"1024/256" 490192 458971 556501 496367 463779 
"1024/512" 795098 645199 720655 658050 676819 
"1024/1024" 894262 899129 819837 1229309 825827 
"2048/4" 20433 17386 17643 16726 17386 
"2048/8" 25568 25415 33240 27702 27321 
"2048/16" 58347 59644 39723 60618 60525 
"2048/32" 67836 110487 82034 96358 85755 
"2048/64" 213447 203317 218452 198952 272524 
"2048/128" 336955 352020 349300 331123 363767 
"2048/256" 552769 648061 606256 559393 560159 
"2048/512" 703527 816548 718113 677931 613750 
"2048/1024" 928359 1024464 1179157 888049 904984 
