Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 30738 31341 24425 26006 28710 
"64/8" 58231 43628 45261 46881 56136 
"64/16" 105442 99686 104376 103891 111300 
"64/32" 153848 143793 165823 180788 138812 
"64/64" 336889 313664 295047 203082 249057 
"128/4" 31365 27333 18342 11286 14215 
"128/8" 58452 55053 52915 42595 53490 
"128/16" 107571 77249 112391 79362 87483 
"128/32" 191070 133756 166895 189854 159034 
"128/64" 286360 311445 227313 267258 235800 
"128/128" 549618 542400 435487 545154 349569 
"256/4" 13239 13586 26402 23295 20359 
"256/8" 53859 51333 27208 54772 26178 
"256/16" 97596 115520 99302 115371 31995 
"256/32" 130216 185517 178664 151299 138372 
"256/64" 336405 333791 216926 285356 297946 
"256/128" 560172 485678 507966 363142 466275 
"256/256" 735537 740100 668246 889002 764334 
"512/4" 25707 25201 29596 20473 18688 
"512/8" 50996 54169 55119 50512 50528 
"512/16" 51011 53365 112801 51261 52470 
"512/32" 56134 63959 157200 154076 209924 
"512/64" 329681 348289 283653 354791 272046 
"512/128" 553502 405353 454705 414187 456347 
"512/256" 690108 980673 955368 922535 840895 
"512/512" 1142396 58898 1110496 1293037 1030064 
"1024/4" 30838 31548 29156 29567 35927 
"1024/8" 54340 48090 72783 39469 41477 
"1024/16" 102125 102935 69063 98377 99874 
"1024/32" 101687 100460 156363 130360 112463 
"1024/64" 148883 358547 247052 303857 402383 
"1024/128" 561447 593571 478078 535812 653047 
"1024/256" 933322 862650 807657 743613 698050 
"1024/512" 1284839 1305935 1349004 1316341 1395464 
"1024/1024" 1744641 1429841 1946237 1395010 1565902 
"2048/4" 37709 38980 29315 28747 33738 
"2048/8" 57304 39166 52297 59953 48436 
"2048/16" 88177 110792 70332 96942 149445 
"2048/32" 176733 179162 102609 116901 139767 
"2048/64" 213045 207117 304404 211024 352381 
"2048/128" 506667 521778 585791 529628 613575 
"2048/256" 901754 973385 965616 977149 827482 
"2048/512" 1196235 1177057 350755 1151341 1420104 
"2048/1024" 2043857 2090107 1825003 1813827 1469167 
"2048/2048" 2485653 2270783 1971160 1982533 2120026 
"4096/4" 36503 36380 35800 41287 34112 
"4096/8" 57456 62150 60221 56453 57695 
"4096/16" 94887 116142 89249 105608 96313 
"4096/32" 262244 181496 204138 173315 177717 
"4096/64" 217008 274935 285874 336980 201377 
"4096/128" 622102 348533 443525 340540 711004 
"4096/256" 867766 870933 1017414 1014351 986282 
"4096/512" 1561549 1300736 1354045 1257602 1492110 
"4096/1024" 1561549 1871077 1773166 1757206 1743652 
"4096/2048" 2041866 2367741 2306392 1956079 2119975 
"4096/4096" 2419425 2423862 1996311 2030764 2081448 
"8192/4" 37545 46557 42570 42942 31497 
"8192/8" 70303 62528 57294 55606 74413 
"8192/16" 102423 134774 103846 112504 111029 
"8192/32" 230447 258357 176810 203892 200941 
"8192/64" 307321 288786 259603 381627 352419 
"8192/128" 577962 571511 451123 470186 417109 
"8192/256" 967967 966959 1000493 1074755 955318 
"8192/512" 589818 1413643 1264210 1354729 1302797 
"8192/1024" 1624742 1720670 1547749 1723951 1843352 
"8192/2048" 2252978 2064415 2004791 2088762 1991314 
"8192/4096" 2471958 2158030 2184510 2462215 2637415 
"8192/8192" 2299878 2250469 2480166 2769426 2520556 
"16384/4" 40822 44069 42687 46373 46593 
"16384/8" 77845 75316 42730 73565 74240 
"16384/16" 127062 126040 99138 115943 112601 
"16384/32" 202436 208564 211934 210466 228670 
"16384/64" 386716 373988 317340 387711 329247 
"16384/128" 623250 525600 417694 452334 451561 
"16384/256" 992786 1013235 1003236 1011550 1025345 
"16384/512" 1329664 1366822 1357641 1343179 1153479 
"16384/1024" 1762453 1742388 1846711 1931200 1681465 
"16384/2048" 2126365 2373417 2031269 2242231 1989746 
"16384/4096" 2408690 2217057 2296251 2420142 2330516 
"16384/8192" 2302406 2373089 2601059 2526005 2460787 
"16384/16384" 2682802 2701364 3369790 3264923 3216329 
"32768/64" 248902 405654 368407 394624 380833 
"32768/128" 518990 554111 466695 530716 314264 
"32768/256" 724007 763962 729816 764055 644023 
"32768/512" 1496051 1295484 1363619 1022179 1215791 
"32768/1024" 1755874 1886477 1738087 1718936 1791487 
"32768/2048" 2033397 2261855 2121861 1506579 2084088 
"32768/4096" 2225018 2245925 2353172 2410668 2325618 
"32768/8192" 2432642 2335260 2742317 2812176 3014818 
"32768/16384" 2812176 2678662 3218800 3444170 3733454 
"65536/64" 290006 370706 357530 373179 378849 
"65536/128" 478071 512993 548574 496232 538760 
"65536/256" 866855 887963 913711 856029 945563 
"65536/512" 954527 985727 998735 941066 1288916 
"65536/1024" 1860818 2004406 2006118 2024334 1869144 
"65536/2048" 2017618 2255264 2224816 2123662 2152312 
"65536/4096" 2348123 2673836 2384937 2511841 2610803 
"65536/8192" 2482980 2502921 3339430 3004563 2754872 
"65536/16384" 3572032 2754403 3128062 3011080 2877434 
"131072/64" 429665 439043 409842 372825 342825 
"131072/128" 691800 688989 659392 603256 685996 
"131072/256" 914848 972821 920552 999618 533248 
"131072/512" 1151147 1174416 983869 1031998 1266284 
"131072/1024" 1357274 1505677 1558636 1821681 1343460 
"131072/2048" 2256900 2267915 2381443 2190665 2215249 
"131072/4096" 2472915 2316460 2882727 2471236 2543460 
"131072/8192" 2702302 2804993 3227179 2590306 2686009 
"131072/16384" 3274737 3380932 3645938 3430232 3441118 
"262144/64" 472773 355256 462025 324798 440010 
"262144/128" 688926 712200 759017 677171 757946 
"262144/256" 1144168 1096230 1148308 1210016 1100858 
"262144/512" 1332824 1287006 1246761 1312274 1407038 
"262144/1024" 1580751 1432465 1507303 1634650 1577668 
