Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 18929 14436 18017 15485 15180 
"64/8" 32064 29143 29740 30563 26468 
"64/16" 49419 38697 46816 44290 40734 
"64/32" 111116 63238 61954 63870 55555 
"64/64" 164502 165823 136205 152710 157643 
"128/4" 3606 14556 15897 16773 15331 
"128/8" 25780 23849 33700 20661 33523 
"128/16" 52073 48485 54329 45977 46346 
"128/32" 3732 57997 85328 83823 85668 
"128/64" 113676 113676 125736 143172 139454 
"128/128" 277624 256042 319983 255920 281260 
"256/4" 4816 10023 11518 11960 9512 
"256/8" 28128 33952 28661 31996 27441 
"256/16" 56551 66929 55459 65789 51927 
"256/32" 117223 82928 91329 95056 88367 
"256/64" 127935 152828 147031 158023 138981 
"256/128" 240113 215879 234656 247303 206934 
"256/256" 479390 537999 504861 593947 453858 
"512/4" 16326 14370 11410 7434 12058 
"512/8" 27426 25028 22474 22456 18841 
"512/16" 52810 45709 54759 60980 56060 
"512/32" 120301 89070 87385 107134 105913 
"512/64" 143540 168247 196102 159346 141209 
"512/128" 263533 245348 291428 304227 302428 
"512/256" 393830 426697 408281 401263 408981 
"512/512" 629796 735740 782951 733478 645509 
"1024/4" 14691 13285 10011 19636 20516 
"1024/8" 19299 21743 33591 27592 25973 
"1024/16" 43043 49941 37270 51059 41615 
"1024/32" 117256 99806 117890 133559 132848 
"1024/64" 209706 181430 249449 194388 253214 
"1024/128" 338618 394330 397984 417928 368198 
"1024/256" 443108 525647 489689 499949 447401 
"1024/512" 716567 589174 602734 726261 730833 
"1024/1024" 1121458 1101046 941299 1128826 910953 
"2048/4" 17834 17864 18438 18051 17138 
"2048/8" 29720 31286 26927 29940 30280 
"2048/16" 72564 59871 48156 61746 64422 
"2048/32" 92414 89701 61271 68383 83592 
"2048/64" 185508 240373 289722 198140 264535 
"2048/128" 330054 444549 373381 361973 376953 
"2048/256" 471228 486935 629400 608059 555163 
"2048/512" 780207 741995 690076 666257 652442 
"2048/1024" 926257 976705 1019963 1108120 961401 
"2048/2048" 1269610 1188785 884301 1346425 1020448 
"4096/4" 19067 19916 16259 18347 19063 
"4096/8" 35562 34544 29394 32767 39904 
"4096/16" 74950 73448 49065 62631 61517 
"4096/32" 140856 129345 93689 114775 131243 
"4096/64" 167957 154630 158025 160351 151367 
"4096/128" 366497 444397 357885 452699 361196 
"4096/256" 473681 494032 633083 598043 706705 
"4096/512" 804722 893537 926098 937059 978251 
"4096/1024" 982728 974312 939673 1334275 945049 
"4096/2048" 1140019 1051090 1197636 1234114 1249917 
"4096/4096" 1288444 1179384 1085011 1173664 1232255 
"8192/4" 19157 16405 15397 17131 18038 
"8192/8" 31145 36300 32196 36674 27871 
"8192/16" 79880 75930 59629 67414 71064 
"8192/32" 147953 136772 82634 94927 114010 
"8192/64" 235896 300193 189012 277412 224986 
"8192/128" 349832 296983 376554 274154 305716 
"8192/256" 622777 696248 605780 625156 584977 
"8192/512" 888702 976272 878500 897852 935167 
"8192/1024" 1039194 1158031 1025394 1205570 1131490 
"8192/2048" 1058140 1101810 1086205 1332454 1079584 
"8192/4096" 1088511 1081045 1233751 1120676 1094161 
"8192/8192" 1100187 1134328 1045169 1139520 1024782 
"16384/4" 17837 19642 17973 17642 17143 
"16384/8" 29642 34619 34486 35228 30507 
"16384/16" 66213 78205 64608 54549 60429 
"16384/32" 141360 140395 108212 128389 141252 
"16384/64" 264989 344346 185898 256428 278345 
"16384/128" 279414 363161 338343 363449 294205 
"16384/256" 752629 805981 709049 700027 711015 
"16384/512" 831765 964391 811569 953552 995446 
"16384/1024" 1093583 1004467 1020685 948969 1172711 
"16384/2048" 1233370 1115163 1129459 1244336 1282515 
"16384/4096" 1427409 1073510 1118739 1271669 1107096 
"16384/8192" 1617849 1330849 1060718 1235144 1575816 
"16384/16384" 1292015 1064381 1243098 1401071 1517729 
"32768/64" 214755 255256 200436 238659 279931 
"32768/128" 322104 311409 283017 376051 328330 
"32768/256" 669484 373105 341282 513516 637150 
"32768/512" 967268 858903 873722 867359 995236 
"32768/1024" 1059318 929113 1329122 778413 1364824 
"32768/2048" 1456803 1479511 1285211 1169197 1557932 
"32768/4096" 1437197 1548942 1093503 1462726 1442325 
"32768/8192" 1290121 1370185 1260944 1448054 1293180 
"32768/16384" 1311030 1512831 1139959 1348355 1361417 
"65536/64" 265202 232005 253052 259393 197531 
"65536/128" 332602 330500 313425 261660 315534 
"65536/256" 440575 428152 427699 470648 542646 
"65536/512" 776992 762967 605017 707810 960135 
"65536/1024" 1109950 1140648 1121594 1169972 1124176 
"65536/2048" 1326965 1506578 1533362 1221724 1566605 
"65536/4096" 1539019 1326990 1344410 1349009 1540063 
"65536/8192" 1440034 1509448 1282978 1535520 1358254 
"65536/16384" 1460122 1553721 1307293 1440351 1316245 
"131072/64" 231927 249973 249165 263149 256673 
"131072/128" 271240 291778 294161 304453 283654 
"131072/256" 600432 492220 591909 675196 850233 
"131072/512" 657734 760211 723703 677045 842002 
"131072/1024" 1157980 914330 1081470 1224973 1007905 
"131072/2048" 1184382 1529585 1426448 1262759 1412840 
"131072/4096" 1303820 1455933 1457149 1493918 1242246 
"131072/8192" 1125785 1479015 1421822 992165 1277391 
"131072/16384" 1319454 1217742 1437492 991496 1417222 
"262144/64" 234148 264930 227529 256958 215880 
"262144/128" 256770 354545 282508 317915 314566 
"262144/256" 891033 817274 687464 742113 717267 
"262144/512" 643661 918974 768656 692712 990953 
"262144/1024" 947165 902796 1000995 995250 1024528 
"262144/2048" 1381341 1404346 1362537 1392051 1332100 
"262144/4096" 1326109 1447676 1261780 1484250 1296088 
"262144/8192" 1261193 1404039 1425588 1317531 1425253 
"262144/16384" 968336 1415625 1370372 1320417 1335589 
