Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 32179 30812 26468 31573 31496 
"64/8" 58934 56491 50554 50280 13579 
"64/16" 105941 106657 114921 105442 104214 
"64/32" 190541 185536 188798 170132 179219 
"64/64" 331481 306151 312204 225234 230257 
"128/4" 31913 28057 29424 28926 28608 
"128/8" 60919 46290 56212 41884 50016 
"128/16" 105958 108748 103487 85220 96684 
"128/32" 200939 189051 182621 191616 125501 
"128/64" 382167 325809 312169 274080 314547 
"128/128" 501839 592699 396271 501839 352553 
"256/4" 29150 30159 31793 27923 30235 
"256/8" 52470 52329 46835 59702 53588 
"256/16" 35427 91524 123492 108526 115371 
"256/32" 162840 192917 189613 192779 186581 
"256/64" 337781 344943 220128 295243 397563 
"256/128" 565185 480248 510866 502028 590031 
"256/256" 746272 958864 917880 924200 705107 
"512/4" 31155 31872 30761 28589 29774 
"512/8" 62729 62751 62875 57450 55065 
"512/16" 101407 118053 118189 121266 94887 
"512/32" 215312 166396 182132 161820 210872 
"512/64" 345487 360025 291073 359784 299601 
"512/128" 422832 373163 639930 348515 488530 
"512/256" 793657 849208 1155924 958781 918982 
"512/512" 1368865 1387437 1387437 1375881 1047141 
"1024/4" 31396 30401 26119 29533 30232 
"1024/8" 61340 63182 62362 57032 55842 
"1024/16" 121485 120358 117754 123849 125816 
"1024/32" 219267 236757 195422 229336 188171 
"1024/64" 364171 355079 373611 303513 413382 
"1024/128" 579163 520047 625468 594639 603835 
"1024/256" 917570 814705 918354 847667 721624 
"1024/512" 1450117 1276438 1247157 1338494 1466957 
"1024/1024" 1665486 1910737 1640674 1935711 1834824 
"2048/4" 30988 30862 29763 30732 30924 
"2048/8" 62045 62070 55835 56862 58224 
"2048/16" 118490 125635 119884 108439 104978 
"2048/32" 216464 216399 196019 199201 234621 
"2048/64" 369414 342422 352497 323442 409106 
"2048/128" 579000 548779 644609 568087 566550 
"2048/256" 991244 1103423 1010365 998968 885030 
"2048/512" 1228396 1453505 1302727 1229979 1400881 
"2048/1024" 1823453 1616531 1977058 1611376 1528239 
"2048/2048" 2223755 2306762 1815744 1773019 1828499 
"4096/4" 30464 32346 30497 30415 28685 
"4096/8" 59665 59501 52883 58341 59076 
"4096/16" 111259 112940 107129 116861 101844 
"4096/32" 226525 216959 212967 220903 242308 
"4096/64" 323746 342707 260049 360241 384029 
"4096/128" 595348 660540 577071 573660 717957 
"4096/256" 947029 944841 1150247 1009345 1049164 
"4096/512" 438029 1459160 1441771 1248010 1511939 
"4096/1024" 1707264 1903416 1655602 1664263 1677917 
"4096/2048" 2056039 2316655 2185788 1748265 2195003 
"4096/4096" 2191643 2374285 2048928 2056039 2494606 
"8192/4" 42635 38989 41192 39867 45412 
"8192/8" 58623 58881 58003 61042 58756 
"8192/16" 111483 111337 116333 112648 110623 
"8192/32" 217947 237127 201159 199246 209357 
"8192/64" 327835 331981 367752 367056 339493 
