Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 608 5361 13576 11611 13252 
"64/8" 31573 28842 26689 29990 27093 
"64/16" 41343 39505 42610 42241 36280 
"64/32" 64515 57495 60271 62198 57031 
"64/64" 68516 144180 157273 142194 165823 
"128/4" 19443 13654 16778 8094 7961 
"128/8" 22041 22836 26116 19178 19198 
"128/16" 52481 45812 12482 46852 52785 
"128/32" 61867 71708 78434 69680 80807 
"128/64" 108572 100315 128015 126745 14045 
"128/128" 263843 219596 241094 227796 270082 
"256/4" 5989 6655 9605 8960 8859 
"256/8" 28632 27303 15194 37166 66821 
"256/16" 44214 56338 54677 54571 16956 
"256/32" 78142 67954 94222 81296 81580 
"256/64" 153571 140896 102811 148474 145438 
"256/128" 222407 198114 213518 217541 196447 
"256/256" 459687 379842 464661 398744 379842 
"512/4" 16606 15567 10233 12168 13159 
"512/8" 19507 13565 27903 24110 11841 
"512/16" 130444 142938 41723 31920 29929 
"512/32" 33997 33860 89902 87610 92302 
"512/64" 182798 149485 160501 162235 180524 
"512/128" 242084 300649 278106 258427 279663 
"512/256" 360812 412279 386182 441432 384109 
"512/512" 799865 392894 718028 844865 579804 
"1024/4" 16301 11518 8158 15461 17391 
"1024/8" 18491 22802 38300 27190 22303 
"1024/16" 56620 29410 68822 50655 24365 
"1024/32" 259627 257943 96007 64641 60581 
"1024/64" 67698 209829 192661 190330 69940 
"1024/128" 295109 298722 351044 285156 335733 
"1024/256" 353471 352601 90460 495393 484168 
"1024/512" 605538 587482 616490 720655 709114 
"1024/1024" 825192 842182 815788 881234 203776 
"2048/4" 16587 17719 17389 18921 13123 
"2048/8" 33217 30561 34323 30966 26961 
"2048/16" 63904 83725 43949 57677 77903 
"2048/32" 110691 82041 49875 77637 99980 
"2048/64" 462301 515360 203496 121826 171425 
"2048/128" 329737 285201 297365 368480 334098 
"2048/256" 538830 529497 195195 528130 563244 
"2048/512" 754309 695608 695664 701115 769651 
"2048/1024" 813609 977149 943761 970087 938195 
"2048/2048" 1426234 1059987 1327285 1295263 1005399 
"4096/4" 19184 20464 16384 16445 14421 
"4096/8" 42218 35159 29053 33614 35246 
"4096/16" 70607 74686 55304 92182 41754 
"4096/32" 123187 160131 75370 123675 132270 
