Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 29976 30373 26790 28094 30020 
"64/8" 52155 43451 33842 42274 51485 
"64/16" 75919 52034 81645 61303 69187 
"64/32" 111300 135586 109798 134702 120115 
"64/64" 190541 203853 187611 218452 244297 
"128/4" 29829 29555 27209 28175 27216 
"128/8" 56758 54329 54605 10085 46819 
"128/16" 94456 92344 83380 95379 91760 
"128/32" 157634 158191 116235 6478 155128 
"128/64" 206107 230238 193063 233950 225310 
"128/128" 370050 361576 407397 345075 330828 
"256/4" 26051 27556 14122 29554 28107 
"256/8" 53399 50363 51727 55956 55219 
"256/16" 108614 109724 110492 101346 88513 
"256/32" 140970 182336 142542 135099 185646 
"256/64" 289277 20026 240382 213475 254452 
"256/128" 452329 484801 322851 374804 336933 
"256/256" 582983 663292 633548 748875 646518 
"512/4" 20126 19118 20412 16548 14265 
"512/8" 29393 28715 28749 27222 29679 
"512/16" 111570 82953 119992 95810 97693 
"512/32" 186643 173789 191332 181746 192275 
"512/64" 254597 254839 334822 256513 303282 
"512/128" 533429 463738 485767 451075 465447 
"512/256" 674502 659788 88338 748563 724325 
"512/512" 929322 915847 982467 1227971 908101 
"1024/4" 24693 24833 27442 25506 33465 
"1024/8" 34845 35592 60948 36946 40040 
"1024/16" 65645 55703 60263 55713 63907 
"1024/32" 194820 191758 197880 192015 190195 
"1024/64" 314977 361596 294421 329575 360050 
"1024/128" 525905 186221 570168 493458 608455 
"1024/256" 757916 848337 791435 839876 867704 
"1024/512" 1229309 1110440 1104727 979958 1193442 
"1024/1024" 1273410 1244266 1385560 1452570 1299612 
"2048/4" 24669 23660 25020 30727 29440 
"2048/8" 44747 38712 50254 48167 47675 
"2048/16" 109723 104357 63568 105036 102430 
"2048/32" 108774 102831 179477 108976 110541 
"2048/64" 345423 357425 359309 331072 347815 
