Mode 6-HDD-1-NVMe/zstd-compression-1 6-HDD-1-NVMe/zstd-compression-2 6-HDD-1-NVMe/zstd-compression-3 6-HDD-1-NVMe/zstd-compression-4 6-HDD-1-NVMe/zstd-compression-5 
"64/4" 393 15424 3821 4069 12926 
"64/8" 28815 27211 24548 25336 26623 
"64/16" 40840 36929 41800 38624 34840 
"64/32" 58231 53646 55752 58818 53958 
"64/64" 1892 138240 124748 153146 130574 
"128/4" 6147 6564 17871 13722 13975 
"128/8" 21202 25911 28394 22722 22007 
"128/16" 45436 39901 46175 37781 40113 
"128/32" 81383 68193 74381 70254 77105 
"128/64" 102734 106042 109324 116462 112579 
"128/128" 243832 231030 277624 265540 288981 
"256/4" 10915 8583 7859 11358 15359 
"256/8" 11408 12465 25208 10808 31102 
"256/16" 45779 55302 47425 51874 45894 
"256/32" 89734 98836 90330 83198 75739 
"256/64" 155326 122074 146111 147983 132237 
"256/128" 221444 189613 210174 209682 193648 
"256/256" 390763 351147 379172 386821 432297 
"512/4" 15703 13492 10015 11080 10585 
"512/8" 16682 15861 16368 18524 25202 
"512/16" 55851 23481 47998 55724 51404 
"512/32" 114442 82956 80717 87792 110821 
"512/64" 180478 165856 162850 164674 144837 
"512/128" 223096 307847 250499 262695 252354 
"512/256" 265291 405736 367543 410231 369122 
"512/512" 542868 824431 600223 849208 587899 
"1024/4" 17235 22608 16344 19905 18598 
"1024/8" 20363 17739 27724 26875 24208 
"1024/16" 44735 31308 39442 36951 35955 
"1024/32" 124089 104128 101738 98263 94902 
"1024/64" 180979 161715 171751 160297 241049 
"1024/128" 310693 356050 328516 301278 261429 
"1024/256" 415100 431533 485976 474277 483460 
"1024/512" 650969 604856 572753 774034 613934 
"1024/1024" 796277 787084 824558 823768 929283 
"2048/4" 18310 17028 16689 18609 17689 
"2048/8" 26610 26652 31232 27487 25377 
"2048/16" 64281 63669 40248 58979 72260 
"2048/32" 86122 78874 81704 104790 87738 
"2048/64" 97449 190617 203921 174358 166695 
"2048/128" 363705 333825 294036 307048 281740 
"2048/256" 508586 524454 510703 427215 489265 
"2048/512" 641575 689799 589328 631714 763020 
"2048/1024" 830843 761599 863413 861249 1059464 
"2048/2048" 964207 1307885 1089428 991702 1361578 
"4096/4" 14783 18142 13528 16471 19125 
"4096/8" 34429 33466 26639 31248 37087 
"4096/16" 69428 73162 52255 62537 59235 
"4096/32" 104447 107481 80661 151266 145905 
"4096/64" 149021 149761 166111 174484 129982 
"4096/128" 344114 405149 312982 337649 427830 
"4096/256" 469615 586227 499156 514308 538726 
"4096/512" 751137 716968 746243 652016 780626 
"4096/1024" 1002922 1189016 618808 901035 1060891 
"4096/2048" 1288831 1194140 1085560 1002922 972437 
"4096/4096" 917345 1178656 1066687 1148939 1162702 
"8192/4" 18281 15515 15283 18568 15690 
"8192/8" 26627 36506 22682 34391 34573 
"8192/16" 66173 52884 55150 65358 60958 
"8192/32" 135662 135072 101418 143991 140367 
"8192/64" 244828 228260 148958 202112 207713 
"8192/128" 305317 303655 383035 400725 268431 
"8192/256" 592370 599491 600371 547366 579306 
"8192/512" 742033 730067 753076 770142 617749 
"8192/1024" 999765 787312 895885 908415 846803 
"8192/2048" 1055151 1066681 1286601 952220 1275237 
"8192/4096" 906091 973258 976522 891515 1368760 
"8192/8192" 1334213 973369 1331576 1150393 1067344 
"16384/4" 16294 17857 16815 16231 15855 
"16384/8" 30121 35919 32821 32160 25110 
"16384/16" 69764 71571 56572 64516 65175 
"16384/32" 140313 129690 113546 128496 137955 
"16384/64" 246943 222935 246150 247342 219748 
"16384/128" 206892 342174 334517 273389 276621 
"16384/256" 524741 372693 377103 393476 629813 
"16384/512" 804877 901560 772252 819319 916628 
"16384/1024" 1040324 960536 1015676 1080872 916738 
"16384/2048" 1278007 1310519 1184414 1188552 1087836 
"16384/4096" 1216967 1370120 1139120 1245847 1305168 
"16384/8192" 1108525 1163478 1022842 1197228 1193817 
"16384/16384" 1065140 1128457 1030187 1115380 1190013 
"32768/64" 255202 275331 219668 201454 252416 
"32768/128" 301945 340301 251890 293933 286168 
"32768/256" 418829 358011 350140 511281 645456 
"32768/512" 687852 989311 1005951 915998 905020 
"32768/1024" 1254133 1186129 1109086 1233545 1252316 
"32768/2048" 1327286 1272043 1189661 1327068 1356459 
"32768/4096" 1337035 1493125 1275762 1257357 1293898 
